Subject,Verb,Object,Label,MSRLM Score,VisKE Score
bat,belonging,man,-1,-15.7740,0.5346
bat,brushing,ear,-1,-14.2230,1.0244
bat,bursting,multitude,-1,-17.4920,0.3972
bat,causing,death,1,-11.5890,0.9048
bat,connecting,ball,-1,-14.9340,0.9168
bat,exerting,ball,-1,-17.1880,0.5475
bat,exerting,force,-1,-13.6930,0.6134
bat,falling,ground,1,-13.8280,0.5021
bat,finding,way,1,-13.8420,0.7125
bat,flitting,close,-1,-13.8040,0.3382
bat,flitting,face,-1,-14.9950,0.7592
bat,flitting,path,-1,-15.5110,0.1369
bat,flying,fox,-1,-9.1010,1.1261
bat,flying,head,-1,-12.4540,1.0682
bat,flying,room,1,-13.4090,0.9152
bat,flying,squid,-1,-12.2900,0.0708
bat,flying,window,1,-13.4040,0.8815
bat,giving,birth,1,-10.0350,0.7492
bat,going,home,-1,-76.4720,0.4977
bat,hitting,ball,-1,-9.7640,0.8930
bat,hitting,baseball,-1,-10.2440,0.8640
bat,hitting,zone,-1,-11.7290,0.8882
bat,loving,morning,-1,-14.7660,0.8796
bat,lying,bed,-1,-13.7970,1.0401
bat,lying,ground,1,-13.2290,0.9957
bat,making,contact,-1,-10.1130,0.8438
bat,meeting,ball,-1,-10.1730,0.6805
bat,overtaking,morning,-1,-16.7770,0.2715
bat,resting,shoulder,1,-14.5600,0.7711
bat,sending,ball,-1,-15.2140,0.9498
bat,slinging,shoulder,-1,-16.0090,1.0507
bat,striking,ball,-1,-10.7200,1.0369
bat,striking,baseball,-1,-14.9680,1.0196
bat,striking,torch,-1,-15.2580,0.0000
bat,sucking,blood,1,-13.4730,1.1781
bat,throwing,ball,-1,-12.6340,0.9076
bat,tying,cry,-1,-16.4580,0.6640
bat,using,echolocation,1,-10.5880,0.7751
bat,wrinkling,nose,-1,-15.4570,1.1314
