Subject,Verb,Object,Label,MSRLM Score,VisKE Score
bear,absolving,mortality,-1,-18.3300,0.5291
bear,acting,lord,-1,-14.3040,0.9639
bear,appearing,door,-1,-80.6210,0.3158
bear,arriving,border,-1,-15.5800,0.9404
bear,arriving,door,-1,-15.6760,0.0000
bear,arriving,water,-1,-14.5400,0.4165
bear,attacking,man,1,-9.3970,1.0377
bear,barking,deer,-1,-9.6910,1.1434
bear,bearding,seal,-1,-18.0170,1.1595
bear,beating,drum,-1,-10.3930,0.9810
bear,bedecking,bay,-1,-18.3370,0.0000
bear,beginning,roar,-1,-81.5800,1.0909
bear,bereaving,whelp,-1,-21.2460,0.4859
bear,bringing,child,-1,-13.7400,1.0571
bear,bringing,home,-1,-11.4680,0.7776
bear,caring,child,-1,-13.1230,1.1200
bear,carrying,tooth,-1,-14.6590,0.7210
bear,catching,cow,-1,-14.6120,0.7655
bear,catching,sight,-1,-12.4670,1.0307
bear,catching,trap,-1,-14.1870,0.1207
bear,ceasing,flight,-1,-15.7510,0.0000
bear,chaining,post,-1,-15.9010,0.8451
bear,climbing,tree,1,-9.6040,1.1428
bear,crossing,mind,-1,-12.8570,0.0446
bear,crossing,path,1,-11.9660,0.5088
bear,crossing,road,1,-10.1640,1.0645
bear,dancing,none,-1,-13.3250,0.6781
bear,dangling,ice,-1,-13.8140,1.0215
bear,decreasing,ratio,-1,-14.2340,0.5804
bear,defending,cub,1,-16.1960,1.1471
bear,denominating,meat,-1,-18.3830,0.8305
bear,descending,tree,1,-14.8360,1.0662
bear,digging,den,1,-14.6460,0.4465
bear,draghunting,paw,-1,-20.5160,0.4166
bear,dropping,four,-1,-13.0270,0.2426
bear,eating,gratuity,-1,-15.9870,0.4635
bear,emerging,hibernation,1,-17.8490,1.0587
bear,emerging,thicket,1,-18.0440,0.7429
bear,exciting,impatience,-1,-17.7680,0.5347
bear,expiating,past,-1,-16.0080,0.6143
bear,falling,ground,1,-13.8670,0.0000
bear,falling,paw,-1,-16.2930,0.5369
bear,finding,south,-1,-13.3420,0.9005
bear,fishing,salmon,1,-10.1270,1.2294
bear,geting,boat,-1,-16.7070,0.2980
bear,geting,cream,-1,-16.7320,0.9916
bear,geting,name,-1,-16.1980,0.9226
bear,getting,name,-1,-13.3290,0.9012
bear,giving,birth,1,-9.9370,1.0989
bear,giving,chase,-1,-12.7720,0.5656
bear,going,hibernation,1,-15.5460,1.1916
bear,growling,prey,-1,-15.4100,1.0729
bear,grunting,sweat,-1,-13.8740,0.4066
bear,hearing,bird,1,-14.4630,0.0000
bear,hearing,voice,1,-13.4420,0.6191
bear,hunting,river,1,-10.3490,1.1373
bear,hurting,feeling,-1,-13.5780,0.8750
bear,keeping,position,-1,-13.9300,0.0000
bear,killing,act,-1,-13.2550,1.0858
bear,killing,forest,1,-13.6100,1.1185
bear,killing,man,1,-11.8410,1.0873
bear,killing,person,1,-13.7060,1.0997
bear,lacking,perfection,-1,-15.1850,0.6908
bear,leading,man,-1,-12.1920,1.0208
bear,leaping,panther,-1,-13.1090,0.9352
bear,leaving,child,-1,-12.9050,0.5578
bear,letting,roar,-1,-15.7950,0.8926
bear,licking,cub,1,-15.2190,1.1405
bear,lifting,head,1,-13.4060,0.6870
bear,liking,honey,1,-14.8290,0.9541
bear,living,creature,-1,-12.1320,1.1411
bear,looking,food,-1,-12.3840,1.0944
bear,losing,sight,-1,-11.6220,0.2409
bear,losing,tail,-1,-13.9750,0.9704
bear,loving,lick,-1,-13.7600,1.1326
bear,lying,bone,-1,-13.9230,0.7695
bear,lying,ground,1,-12.4840,1.0334
bear,lying,guard,-1,-14.1230,0.0272
bear,lying,wait,-1,-13.7020,0.8514
bear,maintaining,grip,-1,-15.0450,0.6262
bear,making,appearance,-1,-13.1540,0.9128
bear,making,current,-1,-12.2370,1.0186
bear,making,dash,-1,-13.7640,0.8324
bear,making,friend,-1,-12.7900,1.0909
bear,making,money,-1,-10.2270,1.0336
bear,making,rush,-1,-13.5680,1.0108
bear,marking,resemblance,-1,-16.3770,0.0000
bear,marking,similarity,-1,-15.5080,0.5305
bear,marking,trace,-1,-14.7310,0.1147
bear,meaning,nothing,-1,-12.4890,0.6423
bear,measuring,foot,-1,-13.6850,0.3007
bear,meddling,monkey,-1,-15.0710,0.8596
bear,mingling,poison,-1,-15.4460,0.9944
bear,offering,libation,-1,-14.8740,0.9999
bear,opening,mouth,1,-13.1170,1.1243
bear,paddling,canoe,-1,-12.9080,1.0839
bear,possessing,temper,-1,-17.5330,0.7550
bear,protecting,cub,1,-15.8460,1.1811
bear,pulling,trigger,-1,-13.1980,0.9266
bear,putting,arm,-1,-14.0540,0.9868
bear,raising,child,-1,-13.5610,1.0530
bear,raising,head,1,-13.9060,1.0670
bear,reaching,door,1,-15.2410,0.2189
bear,reaching,edge,1,-14.4330,0.0000
bear,reaching,foot,-1,-15.1090,0.7300
bear,reaching,shore,1,-13.6900,0.1599
bear,relaxing,hold,-1,-14.6050,0.1754
bear,reviling,language,-1,-15.4220,0.7119
bear,riding,bicycle,1,-12.2080,1.0422
bear,roaring,pain,-1,-13.3630,1.0733
bear,robbing,cub,-1,-16.7310,0.5520
bear,ruling,person,-1,-14.9670,0.6620
bear,scaring,child,1,-14.7910,1.0577
bear,seeing,enemy,-1,-13.6220,0.5542
bear,seeking,cover,1,-13.1430,0.6395
bear,shaking,head,1,-12.1350,0.4825
bear,shalling,friend,-1,-18.2440,0.6803
bear,shalling,neighbor,-1,-19.3960,0.0000
bear,showing,shoe,-1,-14.0650,1.0514
bear,shrieking,hyena,-1,-16.0090,0.7708
bear,sitting,haunch,1,-17.0170,0.8743
bear,snarling,twang,-1,-17.5070,0.7784
bear,sniffing,air,1,-13.5550,1.2210
bear,standing,front,-1,-12.0120,0.8434
