Subject,Verb,Object,Label,MSRLM Score,VisKE Score
bee,accounting,delinquent,-1,-16.0810,0.8538
bee,adding,cylinder,-1,-15.4670,0.8279
bee,adding,faith,-1,-15.1800,0.9313
bee,bearing,name,-1,-13.8440,0.8734
bee,boring,belly,-1,-15.9220,0.9740
bee,bringing,master,-1,-14.8830,0.5522
bee,bringing,nail,-1,-15.2160,1.1919
bee,bringing,pollen,1,-14.9110,1.0800
bee,building,cambridge,-1,-13.5770,0.2264
bee,building,cell,1,-13.6210,0.9317
bee,building,comb,1,-14.4390,0.5024
bee,building,house,-1,-12.6330,0.4276
bee,building,nest,1,-13.8290,0.8614
bee,buzzing,ear,-1,-12.4090,0.4490
bee,buzzing,flower,-1,-10.5580,1.1854
bee,buzzing,path,-1,-14.1880,0.8894
bee,buzzing,stone,-1,-13.9660,1.0170
bee,carrying,antidote,-1,-16.7050,0.6232
bee,carrying,pollen,1,-10.1450,1.2271
bee,catching,kind,-1,-14.5930,0.4043
bee,collecting,honey,-1,-9.9960,1.2171
bee,collecting,nectar,1,-9.5890,1.2453
bee,collecting,pollen,1,-9.2510,1.2216
bee,collecting,treasure,-1,-13.4640,0.0000
bee,computing,time,-1,-13.4370,0.8815
bee,constructing,cell,1,-14.8210,0.8769
bee,darting,flower,1,-15.9820,1.2192
bee,depositing,egg,1,-14.6510,1.1498
bee,determining,meridian,-1,-17.6760,0.0000
bee,discovering,diver,-1,-16.3280,0.4340
bee,disposing,suit,-1,-17.3130,0.5848
bee,drawing,honey,-1,-10.7340,1.1739
bee,drawing,consequence,-1,-15.3430,0.7562
bee,enlarging,cell,-1,-15.6040,1.0534
bee,entering,flower,1,-15.3030,1.1621
bee,entering,hive,1,-15.3190,0.8947
bee,erecting,garrison,-1,-18.0960,0.0000
bee,examining,straw,-1,-16.8190,0.5486
bee,exempting,choice,-1,-16.8460,0.8084
bee,extracting,honey,-1,-10.6590,0.6002
bee,fertilizing,flower,1,-14.2230,1.2093
bee,finding,honey,-1,-14.8960,0.8761
bee,finding,man,1,-14.1490,0.4498
bee,finding,nature,-1,-14.2620,1.0359
bee,finding,source,-1,-14.0320,1.1362
bee,finding,way,1,-13.8360,1.0266
bee,flitting,flower,1,-14.1190,1.1259
bee,flying,flower,1,-12.8330,1.2126
bee,flying,room,1,-13.5100,1.1000
bee,flying,window,1,-13.5050,0.9140
bee,forming,comb,1,-15.1660,1.1270
bee,frequenting,garden,1,-16.6320,1.1320
bee,fulfilling,ideal,-1,-16.0340,0.0000
bee,gathering,honey,-1,-9.9390,1.1628
bee,gathering,nectar,1,-9.7960,1.2297
bee,gathering,pollen,1,-9.5700,1.1790
bee,gathering,spoil,-1,-15.2810,0.4975
bee,gathering,wax,-1,-15.0100,1.1162
bee,getting,honey,-1,-13.6330,1.1643
bee,going,flower,1,-80.6230,1.2259
bee,going,river,-1,-79.9230,0.5063
bee,going,wood,1,-80.2370,0.8315
bee,granting,man,-1,-15.1390,0.4154
bee,hanging,aire,-1,-16.2860,0.5609
bee,humming,bank,-1,-14.3410,1.1501
bee,humming,bird,-1,-9.0550,1.1979
bee,humming,flower,-1,-13.9400,1.2091
bee,humming,thunder,-1,-14.4510,0.4076
bee,keeping,industry,-1,-9.2750,0.0000
bee,keeping,poultry,-1,-9.7510,0.2538
bee,knowing,nothing,-1,-78.0030,0.9715
bee,laying,egg,1,-13.3140,1.1720
bee,leaving,flower,1,-15.1700,1.1767
bee,leaving,hive,1,-15.5570,0.1661
bee,leaving,sting,-1,-15.0810,1.1369
bee,loving,flower,1,-13.8090,1.2005
bee,making,appearance,-1,-14.1290,1.0544
bee,making,cell,1,-13.5950,1.1828
bee,making,comb,1,-14.8660,1.1669
bee,making,haste,-1,-13.7740,0.0000
bee,making,honey,1,-10.0290,0.9515
bee,making,nest,1,-14.4230,1.1198
bee,making,patent,-1,-14.1440,0.9888
bee,making,use,-1,-11.5100,0.8469
bee,marking,place,-1,-13.4480,0.5323
bee,marrying,desire,-1,-16.3750,1.0065
bee,marrying,winter,-1,-16.3750,0.2716
bee,moving,tooth,-1,-14.9670,0.7892
bee,occupying,day,-1,-15.8780,0.5572
bee,passing,flower,1,-15.4540,1.2052
bee,pollinating,flower,1,-10.4000,1.2397
bee,pretending,nothing,-1,-13.4840,0.6556
bee,producing,honey,1,-10.7810,0.6828
bee,punishing,death,-1,-15.0920,0.9831
bee,putting,death,-1,-14.4750,0.7128
bee,putting,execution,-1,-15.5880,0.7121
bee,reaching,hive,1,-17.0740,1.0106
bee,remembering,son,-1,-15.6560,1.0243
bee,retaining,superiority,-1,-16.1840,0.4578
bee,seeing,fig,-1,-14.7820,0.9627
bee,seeing,figure,-1,-14.4220,1.0599
bee,selecting,honey,-1,-15.8200,0.7719
bee,selecting,plant,1,-14.6440,1.0235
bee,selling,shop,-1,-13.1570,0.5272
bee,settling,flower,1,-16.6310,1.1889
bee,shaking,drop,1,-14.7310,0.4850
bee,simulating,mathematician,-1,-18.3290,0.8438
bee,singing,creation,-1,-14.2060,1.0735
bee,sinking,sanctum,-1,-18.0250,0.5175
bee,sipping,treacle,-1,-17.9550,0.9561
bee,stinging,allergy,-1,-15.2660,1.0582
bee,stinging,kit,-1,-14.2440,1.0902
bee,stinging,person,1,-14.0630,1.1463
bee,stinging,west,-1,-13.8850,1.1108
bee,storing,honey,1,-14.5240,0.8129
bee,storing,sustenance,1,-18.4180,0.7817
bee,striking,blow,-1,-14.4590,0.7155
bee,sucking,honey,-1,-10.5060,1.2131
bee,sucking,nectar,1,-10.2850,1.2157
bee,tolling,sweet,-1,-15.9410,0.9592
bee,visiting,flower,1,-14.4080,1.1958
