Subject,Verb,Object,Label,MSRLM Score,VisKE Score
bird,according,kind,-1,-15.1910,0.4769
bird,admiring,plumage,-1,-17.7660,0.7801
bird,alighting,bough,1,-17.2310,0.2639
bird,alighting,branch,1,-15.1520,0.8729
bird,alighting,edge,-1,-15.0000,0.8008
bird,alighting,ground,1,-13.7060,0.6415
bird,alighting,tree,1,-14.8350,0.2761
bird,answering,tone,-1,-14.6200,0.8999
bird,arriving,nest,1,-16.0920,0.9898
bird,atoning,silence,-1,-18.6500,0.4081
bird,attracting,attention,-1,-10.3230,0.8695
bird,attuning,spirit,-1,-18.1910,1.0801
bird,banding,program,-1,-9.2230,1.1377
bird,banding,station,-1,-9.0950,1.0111
bird,bearing,beak,-1,-16.0180,1.0056
bird,bearing,cage,-1,-13.0140,1.0484
bird,bearing,resemblance,-1,-14.0630,0.8517
bird,beating,air,-1,-13.6610,0.7679
bird,beating,bar,-1,-14.4260,0.5391
bird,beating,bug,-1,-15.1070,0.0000
bird,beating,wing,1,-13.7760,0.9471
bird,becoming,symbol,-1,-80.0340,0.8596
bird,begging,food,-1,-13.3130,1.1193
bird,bleeding,beast,-1,-15.2090,1.0172
bird,blooming,water,-1,-12.7790,1.0158
bird,boiling,water,-1,-11.1440,0.9865
bird,breaking,silence,-1,-13.3710,0.6277
bird,breeding,purpose,-1,-12.2200,0.4636
bird,breeding,season,-1,-8.7700,1.0949
bird,bringing,box,-1,-14.5860,0.1820
bird,bringing,fog,-1,-15.0450,0.5442
bird,bringing,food,1,-10.6550,1.0142
bird,bringing,home,-1,-11.4390,0.7616
bird,bringing,look,-1,-15.0760,0.7306
bird,bringing,woman,-1,-14.3600,0.9307
bird,brooding,nest,1,-13.6690,1.1492
bird,building,house,-1,-12.5340,0.8672
bird,building,material,-1,-10.5300,0.4704
bird,building,nest,1,-10.1090,1.1911
bird,building,security,-1,-12.2560,0.3859
bird,building,tree,-1,-13.3740,0.0898
bird,bursting,song,-1,-14.8330,0.0000
bird,carrying,food,1,-10.5040,1.0887
bird,carrying,peach,-1,-14.6040,0.9425
bird,carrying,tale,-1,-15.3650,0.0384
bird,carving,wood,-1,-9.7950,1.0982
bird,catching,cage,-1,-13.0530,0.4554
bird,catching,fish,1,-10.0320,0.8362
bird,catching,food,1,-11.7850,0.8270
bird,catching,room,-1,-12.9290,0.0721
bird,catching,sight,-1,-11.2950,0.3100
bird,catching,snare,-1,-14.0540,0.3370
bird,catching,spider,-1,-10.3320,1.1250
bird,catching,trap,-1,-10.5300,0.7132
bird,catching,worm,1,-14.0250,0.0000
bird,chalking,egg,-1,-17.6660,0.8247
bird,changing,place,-1,-13.2800,0.0000
bird,charming,snake,-1,-14.0790,1.0500
bird,chattering,word,-1,-14.8830,0.9620
bird,choosing,mate,-1,-15.1080,1.1121
bird,choosing,tree,-1,-14.6810,0.4504
bird,circling,end,-1,-13.3790,0.6829
bird,circling,sky,1,-12.0970,0.9828
bird,clapping,wing,-1,-15.3090,0.9278
bird,cleaving,air,-1,-15.8110,0.0000
bird,cleaving,sky,-1,-16.2410,0.0000
bird,closing,wing,1,-14.9340,0.9317
bird,cocking,head,1,-13.5880,0.6663
bird,comparing,heart,-1,-14.5120,0.9082
bird,confining,cage,-1,-15.1870,0.6382
bird,confining,view,-1,-15.8380,0.0000
bird,consisting,insect,-1,-82.3990,1.0882
bird,constructing,nest,1,-15.1250,0.9845
bird,continuing,course,-1,-13.8250,0.8226
bird,coursing,air,-1,-16.2180,0.2552
bird,covering,eye,-1,-14.1740,0.8682
bird,covering,face,-1,-13.5460,0.9535
bird,covering,heart,-1,-14.1650,0.9627
bird,creeping,thing,-1,-10.5740,0.0586
bird,crouching,ground,1,-14.7010,0.6258
bird,crowing,ear,-1,-15.5420,1.0716
bird,crying,dawn,-1,-14.1140,1.0331
bird,cutting,air,-1,-13.5190,0.6499
bird,daring,sea,-1,-14.3570,0.2409
bird,darting,snare,-1,-16.4520,0.4863
bird,darting,swallow,-1,-12.8120,1.0450
bird,declaring,position,-1,-15.9050,0.8002
bird,delivering,opinion,-1,-15.0220,0.7141
bird,depositing,egg,1,-15.3510,1.2101
bird,depriving,wing,-1,-17.3770,0.9146
bird,deriving,name,-1,-15.6240,0.8968
bird,deriving,wing,-1,-16.6600,1.0287
bird,deserting,mate,-1,-18.1370,0.5459
bird,deserving,name,-1,-14.7570,0.0000
bird,designating,clan,-1,-17.1540,0.2998
bird,dipping,beak,-1,-15.4580,1.0999
bird,disclosing,trait,-1,-18.1010,0.7075
bird,disturbing,solitude,-1,-17.3450,0.8514
bird,diving,sight,-1,-13.7250,0.7899
bird,diving,water,1,-12.0340,1.1278
bird,drinking,water,1,-9.6980,0.8276
bird,driving,sunshine,-1,-15.6940,0.4678
bird,dropping,grain,-1,-13.1140,0.5973
bird,dropping,ground,1,-12.7500,0.9914
bird,dropping,stone,-1,-12.8430,0.0000
bird,dwindling,dot,-1,-16.2410,0.0000
bird,dying,cure,-1,-14.8530,0.0000
bird,eating,egg,1,-12.4770,1.0926
bird,eating,insect,1,-12.9750,1.1649
bird,eating,worm,1,-9.8970,1.0914
bird,echoing,tree,-1,-14.8170,0.7343
bird,enjoying,song,-1,-14.6830,0.6028
bird,entangling,snare,-1,-15.3350,0.6914
bird,entering,nest,1,-14.7250,0.4859
bird,entering,water,1,-12.4730,0.2761
bird,extending,wing,1,-14.5640,0.9543
bird,falling,branch,-1,-12.7670,0.8192
bird,falling,cloud,-1,-13.9430,0.4408
bird,falling,flop,-1,-15.4760,0.7076
bird,falling,foot,-1,-14.2510,0.4903
bird,falling,ground,1,-13.6230,0.0000
bird,falling,nest,1,-15.3980,1.0523
bird,falling,sky,1,-12.4830,0.1419
bird,falling,snare,-1,-15.4560,0.2034
bird,falling,water,-1,-11.5970,0.1717
bird,fascinating,serpent,-1,-15.7160,0.7035
bird,fascinating,snake,-1,-15.1040,0.0766
bird,feeing,area,-1,-13.8800,0.0000
bird,feeing,carrion,-1,-17.6340,1.0964
bird,feeing,fish,-1,-15.3680,0.3426
bird,feeing,habit,-1,-16.4990,0.7025
bird,feeing,insect,-1,-16.4330,1.1577
bird,feeing,station,-1,-15.3350,0.5988
bird,fettering,wing,-1,-18.5710,0.7342
bird,fighting,way,-1,-13.6270,1.0964
bird,filling,air,-1,-13.7250,0.6776
bird,finding,breeding,-1,-14.2720,0.0000
bird,finding,continent,-1,-15.2630,0.7467
bird,finding,mate,1,-13.9350,1.1355
bird,finding,way,-1,-12.9280,0.6573
