Subject,Verb,Object,Label,MSRLM Score,VisKE Score
butterfly,alighting,flower,1,-15.4500,1.1935
butterfly,bearing,bower,-1,-15.2210,1.0622
butterfly,beating,wing,1,-14.1860,1.1555
butterfly,beginning,life,-1,-13.6430,0.9913
butterfly,blowing,sea,-1,-14.8200,0.6054
butterfly,breaking,wheel,-1,-14.0100,0.9233
butterfly,carrying,accident,-1,-15.5410,0.3577
butterfly,catching,spider,-1,-13.5700,1.1535
butterfly,counting,month,-1,-14.8340,1.1408
butterfly,courting,bee,-1,-16.4750,1.0434
butterfly,depositing,egg,1,-15.8390,1.1252
butterfly,emerging,cocoon,1,-15.5630,1.1093
butterfly,emerging,pupa,1,-14.5340,1.1055
butterfly,entering,room,1,-14.0140,0.9258
butterfly,expanding,wing,1,-15.3270,1.0814
butterfly,falling,ground,1,-14.2380,0.9481
butterfly,fanning,wing,1,-15.7250,1.0878
butterfly,flapping,wing,1,-10.9930,1.0973
butterfly,flitting,field,1,-14.0490,1.1498
butterfly,flitting,flower,1,-13.2370,1.1483
butterfly,flitting,wing,1,-13.1140,1.1418
butterfly,fluttering,flower,1,-12.7190,1.1092
butterfly,fluttering,past,1,-10.6410,1.0234
butterfly,fluttering,wing,1,-11.6850,1.1203
butterfly,flying,room,1,-13.3230,1.0723
butterfly,folding,wing,1,-12.2960,1.0949
butterfly,holding,wing,-1,-15.0820,1.1054
butterfly,hovering,face,1,-13.6350,0.5535
butterfly,hovering,flower,1,-14.3480,0.1711
butterfly,impaling,pin,-1,-15.6840,0.8847
butterfly,knowing,lizard,-1,-17.1330,0.8192
butterfly,landing,flower,1,-14.3220,1.2171
butterfly,laying,egg,1,-13.3700,1.1547
butterfly,leaving,cocoon,1,-15.9520,1.0454
butterfly,lying,back,-1,-12.7430,0.9780
butterfly,moving,wing,1,-14.3810,1.1585
butterfly,opening,wing,1,-13.9380,1.0447
butterfly,passing,winter,-1,-13.9810,1.0737
butterfly,pinning,board,-1,-13.8810,0.4807
butterfly,pinning,column,-1,-15.9120,1.0154
butterfly,pinning,wall,-1,-14.0100,0.9127
butterfly,poising,flight,-1,-18.4090,0.5845
butterfly,poising,flower,-1,-18.5410,1.2016
butterfly,poising,jaw,-1,-19.3420,0.4968
butterfly,proceeding,instruction,-1,-15.7740,1.1408
butterfly,resembling,grub,-1,-16.8580,0.8621
butterfly,seeking,memory,-1,-15.0230,0.9723
butterfly,shedding,cocoon,1,-17.7860,0.9988
butterfly,showing,segment,-1,-15.0330,1.1354
butterfly,sipping,flower,1,-14.8260,1.2151
butterfly,sipping,nectar,1,-9.8460,1.2034
butterfly,spending,rest,-1,-15.6540,0.9944
butterfly,spreading,wing,1,-14.4970,1.1494
butterfly,sticking,pin,-1,-14.6090,1.0888
butterfly,stirring,air,-1,-14.3910,1.0136
butterfly,sucking,nectar,1,-10.0390,1.2706
butterfly,swimming,stroke,-1,-9.9010,1.1908
butterfly,touching,silver,-1,-14.7520,1.0740
butterfly,unfolding,wing,1,-14.7380,1.0294
butterfly,waving,wing,1,-14.6460,1.0986
