Subject,Verb,Object,Label,MSRLM Score,VisKE Score
camel,asking,servant,-1,-16.2120,1.0383
camel,bearing,spice,-1,-16.2880,0.9893
camel,carrying,load,1,-13.0210,1.1941
camel,chewing,cud,1,-13.2230,1.1327
camel,choosing,victim,-1,-16.7710,0.6925
camel,crossing,desert,1,-13.4510,1.1359
camel,dunging,fuel,-1,-18.9910,0.0000
camel,entering,eye,-1,-14.8050,0.5497
camel,entering,needle,-1,-16.1560,0.8028
camel,exposing,surface,-1,-15.8000,0.1538
camel,finding,companion,-1,-15.8860,0.8911
camel,foaming,indignation,-1,-19.5970,0.1685
camel,fomenting,quarrel,-1,-20.4630,0.7566
camel,gaining,horse,-1,-16.6360,1.1391
camel,geting,hump,-1,-19.2630,0.9641
camel,geting,nose,-1,-18.1540,1.0890
camel,geting,water,1,-16.1050,1.1271
camel,getting,nose,-1,-14.6140,1.0851
camel,going,eye,-1,-14.9760,1.0080
camel,going,needle,-1,-16.1490,0.6774
camel,hoping,day,-1,-15.1660,0.8675
camel,interlacing,track,-1,-16.5830,0.0000
camel,keeping,reserve,-1,-14.7140,0.0000
camel,killing,man,-1,-13.0490,0.9906
camel,knowing,hundredth,-1,-18.5020,0.3466
camel,living,north,-1,-13.7840,0.9776
camel,lying,palm,1,-14.3840,0.7437
camel,originating,america,1,-16.0710,0.6254
camel,ornamenting,fly,-1,-18.9120,0.8518
camel,passing,eye,-1,-14.1850,0.9453
camel,passing,needle,-1,-15.2850,0.4256
camel,putting,head,-1,-14.9410,0.9099
camel,putting,nose,-1,-15.7890,1.1077
camel,riding,desert,-1,-9.2190,1.2072
camel,rising,foot,-1,-15.1600,0.4458
camel,storing,water,1,-12.9440,1.1089
camel,swallowing,gnat,-1,-17.9930,0.5624
camel,swinging,sand,-1,-16.2230,0.7957
camel,turning,head,1,-13.5730,0.7675
