Subject,Verb,Object,Label,MSRLM Score,VisKE Score
cat,abstracting,letter,-1,-16.3780,0.0663
cat,affecting,brainstem,-1,-16.0500,1.0179
cat,arching,back,1,-12.0290,1.1352
cat,assuming,kind,-1,-15.0980,1.0977
cat,attaching,cuff,-1,-15.6710,1.0566
cat,avoiding,object,-1,-14.1490,0.9680
cat,avoiding,presence,-1,-15.0810,0.7297
cat,basking,sun,1,-14.0580,1.0215
cat,becoming,background,-1,-14.1480,0.7878
cat,becoming,representative,-1,-13.8970,1.0391
cat,bending,back,1,-12.9960,0.9447
cat,bending,step,-1,-14.1840,0.5418
cat,biting,dog,1,-10.6200,1.1861
cat,biting,infection,-1,-13.6430,1.1449
cat,biting,scratch,-1,-13.4510,1.1081
cat,biting,wound,-1,-13.6010,1.1835
cat,bitting,dog,-1,-13.4100,1.1712
cat,bitting,mouse,-1,-15.3560,1.1368
cat,bringing,home,-1,-9.6310,1.1384
cat,bringing,kitten,1,-14.8470,1.1701
cat,bringing,money,-1,-12.7550,0.8990
cat,carrying,kitten,1,-10.0430,1.1922
cat,carrying,mouse,1,-14.1640,1.0642
cat,catching,bird,1,-10.5490,1.0860
cat,catching,canary,1,-14.4150,0.0000
cat,catching,mouse,1,-10.3090,1.1211
cat,catching,rat,1,-13.3780,0.8549
cat,catching,sight,-1,-11.6760,0.5331
cat,catching,trap,-1,-13.3960,0.0670
cat,catching,trout,-1,-11.8980,1.0972
cat,chasing,bird,1,-10.5980,1.1109
cat,chasing,dog,-1,-9.8940,1.0764
cat,chasing,mouse,1,-9.6380,1.1393
cat,chasing,rat,1,-13.3980,1.0124
cat,chasing,tail,1,-9.9420,1.1449
cat,choosing,moment,-1,-15.0230,1.0170
cat,choosing,sun,-1,-14.2880,0.9285
cat,clawing,way,-1,-12.6700,1.0846
cat,climbing,top,-1,-12.2870,0.9899
cat,climbing,tree,1,-8.6690,1.0279
cat,closing,eye,1,-14.2470,1.0987
cat,clutching,bramble,-1,-17.2170,0.9332
cat,compressing,lip,-1,-16.8340,0.8736
cat,conceiving,pain,-1,-15.3490,1.1197
cat,confirming,suspicion,-1,-15.5940,1.0101
cat,cradling,arm,-1,-13.8180,1.0975
cat,crawling,mind,-1,-14.3890,0.8635
cat,crossing,front,-1,-13.0180,0.3422
cat,crossing,path,1,-10.4480,0.7325
cat,crossing,road,1,-10.3200,0.7745
cat,crossing,street,1,-11.4300,0.6270
cat,crouching,barrel,-1,-15.0620,0.3868
cat,crouching,spring,-1,-14.3620,1.1486
cat,curling,end,-1,-14.6330,0.9860
cat,curling,front,-1,-14.3870,0.6032
cat,curling,lap,1,-16.2120,1.1626
cat,darting,front,-1,-13.8290,0.3858
cat,demonstrating,staining,-1,-14.8380,1.0244
cat,digging,claw,-1,-14.0430,1.0432
cat,dipping,foot,-1,-14.6770,0.9264
cat,disappearing,cry,-1,-15.5440,0.0000
cat,distinguishing,sensitivity,-1,-15.3530,1.0287
cat,dozing,chair,1,-15.1290,1.0221
cat,dozing,sun,1,-13.8830,0.6548
cat,dozing,warmth,-1,-16.1000,0.9480
cat,draging,belly,-1,-18.0660,0.8246
cat,draging,home,-1,-15.7160,1.0542
cat,dreading,fire,-1,-16.1080,0.9366
cat,drinking,milk,1,-9.2350,1.2140
cat,drinking,water,1,-9.1650,1.1617
cat,driving,nail,-1,-14.4970,1.1228
cat,dropping,ground,1,-13.9540,0.1227
cat,dying,egyptian,-1,-13.9520,1.0913
cat,eating,bird,1,-10.2880,1.1116
cat,eating,breakfast,-1,-10.9110,1.0914
cat,eating,canary,1,-14.1110,0.0000
