Subject,Verb,Object,Label,MSRLM Score,VisKE Score
cow,affording,milk,-1,-16.4250,0.8144
cow,asking,question,-1,-13.2960,0.4922
cow,atoning,guilt,-1,-16.6790,0.6965
cow,bellowing,calf,-1,-13.5320,1.1699
cow,belonging,calf,-1,-16.8920,1.0607
cow,breaking,leg,1,-78.9770,0.5591
cow,bringing,calf,-1,-16.2890,1.2172
cow,bringing,farm,-1,-14.4230,0.8466
cow,buying,corn,-1,-14.7920,0.0000
cow,calving,time,-1,-11.3070,1.1268
cow,carrying,calf,-1,-15.3320,1.1842
cow,catching,calf,-1,-15.4730,1.1054
cow,catching,dog,-1,-14.0050,1.0825
cow,catching,sight,-1,-12.6930,0.3693
cow,chewing,cud,1,-9.7400,1.1472
cow,crossing,road,1,-11.6960,1.0709
cow,curing,handful,-1,-17.1310,0.9612
cow,dangling,roof,-1,-15.9490,0.4173
cow,depriving,calf,-1,-18.3760,1.1904
cow,draging,plow,1,-19.5530,0.1776
cow,drinking,ale,-1,-13.2390,0.8964
cow,drinking,milk,1,-9.8800,1.0931
cow,drinking,water,1,-9.5330,0.7561
cow,driving,home,-1,-11.9890,0.9558
cow,dropping,calf,1,-16.0060,1.2121
cow,dropping,head,-1,-13.5730,0.8693
cow,dunging,cake,-1,-18.8680,0.8187
cow,dunging,fuel,-1,-18.5280,0.0000
cow,dunging,ga,-1,-18.5510,0.3717
cow,dunging,manure,-1,-20.1640,0.0000
cow,dunging,paste,-1,-19.2630,0.2625
cow,dunging,use,-1,-17.5800,0.4488
cow,dying,age,-1,-13.8060,0.8559
cow,dying,kite,-1,-13.7670,0.3042
cow,eating,cabbage,-1,-13.0830,0.6723
cow,eating,hay,1,-10.0860,1.2054
cow,entering,clover,1,-16.5130,1.0155
cow,falling,ground,1,-14.0560,0.5339
cow,falling,river,-1,-13.4060,0.8437
cow,feeing,cat,-1,-17.7430,1.0676
cow,feeing,chicken,-1,-17.8660,1.0039
cow,feeing,fish,-1,-17.7960,1.1156
cow,flashing,nanny,-1,-16.8910,0.9439
cow,flying,roof,-1,-13.9860,0.0863
cow,furnishing,family,-1,-14.7180,0.1783
cow,furnishing,milk,1,-15.6840,0.0000
cow,geting,milk,-1,-16.2350,0.3768
cow,geting,nourishment,1,-19.1490,0.5708
cow,giving,birth,1,-8.8910,1.1996
cow,giving,milk,1,-9.8020,1.1945
cow,giving,plenty,-1,-12.8880,0.0369
cow,giving,plunge,-1,-16.0060,0.6957
cow,going,home,-1,-76.5770,0.7884
cow,granting,heart,-1,-16.4880,0.6043
cow,grazing,afternoon,1,-14.3210,1.1711
cow,grazing,field,1,-11.7590,1.2108
cow,grazing,meadow,1,-12.2330,1.2016
cow,hanging,milk,-1,-14.0170,1.0285
cow,hanging,tree,-1,-12.0720,0.0870
cow,harnessing,plow,-1,-18.3990,1.0673
cow,hiding,boot,-1,-15.3250,1.0500
cow,hiding,sandal,-1,-16.6160,1.1209
cow,hiding,shoe,-1,-15.3340,0.9688
cow,hiding,whip,-1,-16.1370,0.9610
cow,hindering,limb,-1,-18.4030,0.8358
cow,hitching,horn,-1,-16.6730,0.0000
cow,indulging,abuse,-1,-16.3170,0.9095
cow,jumping,fence,1,-12.9030,0.0000
cow,jumping,moon,-1,-10.5780,1.1219
cow,kicking,arm,1,-13.4230,0.5950
cow,kicking,bucket,1,-14.5920,0.4461
cow,kicking,kerosene,-1,-16.2260,0.6525
cow,kicking,lamp,1,-14.9770,0.3225
cow,kicking,lantern,1,-15.8330,0.9142
cow,kicking,milk,1,-15.1680,0.3354
cow,kicking,pail,1,-16.5830,0.8273
cow,knowing,calf,-1,-16.5700,1.1975
cow,knowing,science,-1,-14.2240,0.9556
cow,laying,side,1,-13.0880,0.4846
cow,leaving,herd,1,-15.5040,1.1527
cow,licking,calf,1,-15.4050,1.2036
cow,lifting,head,1,-13.3280,0.7417
cow,lodging,fork,-1,-16.6510,0.0077
cow,looking,gate,-1,-79.5430,0.9292
cow,losing,calf,1,-16.1120,1.1921
cow,loving,calf,1,-15.7680,1.1980
cow,lowering,head,1,-14.8150,0.2102
cow,lying,ground,1,-12.6440,1.1525
cow,making,gold,-1,-12.9780,0.4400
cow,making,use,-1,-11.5030,0.4851
cow,meaning,protection,-1,-14.0310,0.4303
cow,milking,contest,-1,-8.8600,0.9037
cow,moving,jaw,1,-13.5140,0.5842
cow,nursing,calf,1,-10.2950,1.2556
cow,offending,brahmin,-1,-18.4780,0.5264
cow,offending,imagination,-1,-17.3370,0.0000
cow,passing,trader,-1,-15.2500,0.2601
cow,poking,compound,-1,-16.0700,0.0091
cow,producing,average,-1,-13.3360,1.0886
cow,producing,calf,1,-14.8110,1.2233
cow,producing,milk,1,-10.0320,1.1445
cow,providing,milk,1,-10.4820,1.0186
cow,putting,head,-1,-14.1350,0.8196
cow,raiding,fruit,-1,-16.0500,0.1948
cow,raising,head,1,-13.4120,1.0858
cow,raising,stock,-1,-12.9710,0.9771
cow,ruminating,repose,-1,-17.5430,0.4629
cow,running,calf,-1,-13.9750,1.2077
cow,sacrificing,hera,-1,-17.8160,1.0162
cow,selling,milk,-1,-13.5340,0.0000
cow,selling,plaintiff,-1,-15.3520,0.0274
cow,shaking,head,1,-12.6820,0.9672
cow,shedding,horn,-1,-15.3470,1.1520
cow,showing,fig,-1,-14.3850,0.4780
cow,showing,sign,-1,-13.5000,0.7411
cow,standing,field,1,-13.2570,1.1325
cow,standing,middle,-1,-13.3290,1.0596
cow,steering,bull,-1,-15.5230,1.1280
cow,steering,heifer,-1,-18.6070,1.2609
cow,sticking,mud,-1,-15.0230,0.0000
cow,straying,garden,1,-15.2740,0.0000
cow,stretching,roadside,-1,-16.0170,0.0992
cow,suckling,calf,1,-9.9470,1.2114
cow,suffering,cowpox,1,-18.5550,0.8587
cow,suffering,mastitis,1,-15.3660,1.0417
cow,supplying,milk,1,-13.8140,0.7768
cow,swallowing,tom,-1,-15.6000,0.9415
cow,swarming,death,-1,-15.3550,0.6397
cow,swinging,head,1,-13.7700,1.0499
cow,switching,tail,1,-15.4150,0.7345
cow,telling,lie,-1,-14.0650,0.8784
cow,terrifying,population,-1,-16.6530,0.8668
cow,testing,association,-1,-9.4700,0.8952
cow,tethering,rope,-1,-13.6100,0.3205
cow,tethering,stake,-1,-14.6500,0.1276
cow,tossing,dog,-1,-13.5180,0.8272
cow,tossing,head,-1,-13.0060,0.1263
cow,turning,head,1,-13.2010,0.8875
cow,tying,back,-1,-13.8570,0.7619
cow,tying,tree,-1,-15.2220,0.1293
cow,tying,wall,-1,-15.5900,0.0000
cow,waiting,hovel,-1,-18.3040,0.0000
cow,walking,canter,-1,-15.6200,1.1046
cow,wandering,calf,-1,-14.6710,1.1250
cow,wanting,salt,-1,-80.7680,0.9540
cow,wearing,bell,1,-13.5750,1.0322
cow,weighing,pound,1,-14.5400,0.9876
cow,worrying,dog,-1,-16.1330,0.5650
cow,yielding,milk,1,-10.5890,1.1105
