Subject,Verb,Object,Label,MSRLM Score,VisKE Score
dog,abandoning,hope,-1,-13.3760,1.1217
dog,accepting,tom,-1,-14.8540,0.6624
dog,accumulating,point,-1,-14.5520,0.4159
dog,acting,manner,-1,-14.0340,1.0860
dog,afflicting,rabies,-1,-18.5160,1.0874
dog,ambling,bank,-1,-14.9300,0.4214
dog,announcing,game,-1,-14.2450,0.9095
dog,annoying,neighbor,-1,-12.9610,0.8308
dog,answering,courtesy,-1,-15.7170,1.0253
dog,answering,name,-1,-14.3310,0.9725
dog,answering,sound,-1,-14.3410,1.0394
dog,approaching,chicken,-1,-14.7830,0.6960
dog,arguing,cruelty,-1,-15.8040,0.8986
dog,asking,restitution,-1,-15.2330,0.8389
dog,attacking,bull,-1,-12.7940,1.1345
dog,attending,agrippa,-1,-82.7260,0.0000
dog,attracting,attention,-1,-11.9510,0.0000
dog,avoiding,fire,-1,-13.2880,0.3960
dog,avouching,innocence,-1,-19.8780,0.9460
dog,baring,fang,-1,-16.8880,1.0207
dog,baring,tooth,1,-16.1300,1.1521
dog,barking,animal,-1,-10.0410,1.1006
dog,barking,background,-1,-12.3990,1.1053
dog,barking,car,-1,-10.4560,1.0850
dog,barking,cat,-1,-8.5390,1.1142
dog,barking,command,-1,-11.8010,1.1158
dog,barking,day,-1,-11.4890,1.0765
dog,barking,distance,-1,-11.6170,0.5407
dog,barking,goose,-1,-13.6390,0.8297
dog,barking,greeting,-1,-12.2600,1.1370
dog,barking,heel,-1,-12.6690,1.0390
dog,barking,house,-1,-10.3930,0.8510
dog,barking,lot,-1,-9.9220,1.1025
dog,barking,moon,-1,-11.4590,1.0570
dog,barking,night,-1,-12.0450,1.0659
dog,barking,poverty,-1,-13.1930,0.1311
dog,barking,reply,-1,-10.6200,1.1562
dog,barking,response,-1,-12.1610,1.0316
dog,barking,something,-1,-11.2540,1.0523
dog,barking,squirrel,-1,-10.6990,0.8745
dog,barking,stranger,-1,-13.6340,1.1426
dog,barking,street,-1,-11.8210,0.9140
dog,barking,village,-1,-12.0240,0.8094
dog,barking,warning,-1,-11.8240,1.0977
dog,barking,way,-1,-11.7530,1.1690
dog,barking,wheel,-1,-12.8610,1.1015
dog,barking,yard,-1,-12.0620,0.9987
dog,barring,way,-1,-14.9700,0.8477
dog,basking,sun,1,-14.3460,0.0000
dog,baying,moon,-1,-12.6360,1.0362
dog,baying,tiber,-1,-17.1830,0.0000
dog,baying,wood,-1,-14.4290,0.8448
dog,bearing,company,-1,-12.4690,0.0000
dog,bearing,owner,-1,-14.9620,1.1271
dog,bearing,sky,-1,-15.1400,0.5350
dog,bearing,tattoo,-1,-15.5200,1.1208
dog,beating,death,-1,-9.7470,0.8556
dog,becoming,companion,-1,-79.7960,1.0569
dog,becoming,man,-1,-77.6730,1.0566
dog,becoming,philosophy,-1,-79.5400,1.0422
dog,becoming,symbol,-1,-79.3060,1.0535
dog,begging,bone,-1,-12.5850,1.0860
dog,begging,food,-1,-11.9080,1.1026
dog,begging,scrap,-1,-13.7990,1.0730
dog,beginning,bay,-1,-15.1210,0.9179
dog,beginning,roar,-1,-15.9380,1.0467
dog,believing,master,-1,-14.4490,1.0630
dog,bewaring,fang,-1,-19.4190,0.4458
dog,bidding,fiddler,-1,-18.6230,0.9963
dog,binding,room,-1,-15.4400,0.5260
dog,binding,step,-1,-14.2740,0.9169
dog,biting,case,-1,-10.2050,1.1123
dog,biting,cat,1,-11.8180,1.2041
dog,biting,child,1,-11.7030,1.1401
dog,biting,companion,-1,-14.3100,1.1512
dog,biting,fly,-1,-11.0740,1.0841
dog,biting,hand,1,-10.6200,1.0175
dog,biting,hog,-1,-14.6720,1.1647
dog,biting,injury,-1,-12.7250,1.0434
dog,biting,leg,1,-12.3880,1.1194
dog,biting,man,1,-10.0770,1.0382
dog,biting,person,1,-12.8820,1.0590
dog,biting,pig,-1,-12.3190,1.1191
dog,biting,prevention,-1,-12.4780,1.0367
dog,biting,servant,-1,-14.5670,0.8952
dog,biting,someone,-1,-9.4880,1.1697
dog,biting,statute,-1,-14.3860,1.1138
dog,biting,stone,-1,-12.7780,1.0505
dog,biting,tail,1,-10.7630,1.1173
dog,biting,victim,1,-12.6950,1.1555
dog,biting,wound,-1,-13.0550,1.1361
dog,bitting,boy,1,-14.3520,0.9562
dog,bitting,cat,1,-14.3450,1.2036
dog,bitting,child,-1,-13.7840,1.1939
dog,bitting,foot,1,-14.4610,1.1881
dog,bitting,hand,1,-14.0550,1.1214
dog,bitting,horse,-1,-12.6510,1.1207
dog,bitting,john,-1,-12.5120,0.3798
dog,bitting,leg,1,-14.8390,1.1433
dog,bitting,mailman,1,-16.3860,1.1015
dog,bitting,man,1,-13.6700,1.0812
dog,bitting,noah,-1,-15.5150,0.6960
dog,bitting,patient,-1,-14.3720,1.2143
dog,bitting,plaintiff,-1,-15.3070,1.1241
dog,bitting,postman,1,-16.4410,0.6434
dog,blaspheming,faculty,-1,-17.4760,0.8528
dog,breaking,gallop,-1,-16.3960,0.7342
dog,breaking,leg,1,-12.6390,0.9418
dog,breaking,silence,-1,-12.5500,0.8532
dog,breeding,purpose,-1,-11.5900,1.1560
dog,bringing,board,-1,-14.2090,0.8510
