Subject,Verb,Object,Label,MSRLM Score,VisKE Score
elephant,according,bruce,-1,-15.5410,1.0179
elephant,allowing,guide,-1,-15.6530,1.0058
elephant,barking,deer,-1,-10.3110,1.1073
elephant,bearing,captivity,-1,-16.5120,1.0292
elephant,bearing,castle,-1,-15.0340,0.2352
elephant,bearing,howdah,-1,-18.3960,0.8276
elephant,bearing,obelisk,-1,-17.0290,0.4810
elephant,boasting,ricardo,-1,-18.1000,0.5825
elephant,breaking,jungle,-1,-16.0060,1.1796
elephant,bringing,america,-1,-13.7820,0.2436
elephant,browsing,peace,-1,-15.2220,0.4718
elephant,calving,hind,-1,-16.0370,0.9492
elephant,carrying,obelisk,-1,-16.7830,0.8485
elephant,carrying,queen,-1,-14.1440,0.5308
elephant,carrying,tower,-1,-14.9230,0.8359
elephant,catching,operation,-1,-14.3530,0.0000
elephant,catching,sight,-1,-12.6430,0.5465
elephant,cleaning,window,-1,-12.8930,0.6689
elephant,crossing,road,1,-10.2940,1.1486
elephant,crossing,stream,1,-12.4120,0.8465
elephant,dancing,hornpipe,-1,-14.8030,0.4805
elephant,dancing,rope,-1,-14.2970,1.0610
elephant,differing,slug,-1,-17.7440,0.1372
elephant,dispossessing,england,-1,-18.5820,0.3063
elephant,drinking,water,1,-9.6020,1.2133
elephant,dwindling,size,-1,-15.5250,1.0964
elephant,entering,side,-1,-14.2600,0.2167
elephant,entering,womb,-1,-16.8860,0.9992
elephant,exercising,alchemy,-1,-17.8050,0.5510
elephant,expecting,conductor,-1,-16.6490,0.2838
elephant,falling,ground,1,-14.1370,0.1964
elephant,falling,knee,1,-15.0190,1.0788
elephant,filling,trunk,1,-16.9380,1.0801
elephant,forcing,way,-1,-14.6540,0.2936
elephant,galloping,horse,-1,-12.3120,1.0599
elephant,gathering,flower,-1,-14.3560,0.4937
elephant,geting,trunk,-1,-18.1470,1.0668
elephant,giving,birth,1,-8.9710,1.2138
elephant,going,eye,-1,-80.1640,1.1018
elephant,going,passenger,-1,-79.9640,0.6756
elephant,grunting,satisfaction,-1,-16.9290,0.6243
elephant,heading,deity,-1,-16.9600,1.0667
elephant,heading,ganesh,-1,-16.2600,1.1190
elephant,heading,ganesha,-1,-16.1480,1.1357
elephant,heading,god,-1,-14.6210,0.7869
elephant,heading,son,-1,-15.6420,0.8316
elephant,hearing,owl,-1,-16.0900,1.0608
elephant,howling,labyrinth,-1,-17.6220,0.8671
elephant,hunting,africa,-1,-11.8470,1.1768
elephant,hunting,excursion,-1,-12.5580,0.8672
elephant,hunting,expedition,-1,-10.4950,0.6437
elephant,interrupting,judith,-1,-18.0620,0.6230
elephant,jumping,fence,1,-13.2620,0.0000
elephant,killing,coolie,-1,-17.0330,0.9554
elephant,killing,thousand,-1,-13.9860,1.1050
elephant,leading,battle,-1,-15.3040,1.0702
elephant,leading,menagerie,-1,-17.6280,0.5226
elephant,lifting,trunk,1,-14.1090,1.1148
elephant,living,century,-1,-14.8830,0.7583
elephant,lodging,barn,-1,-16.0340,0.2817
elephant,lying,side,1,-12.8740,0.7489
elephant,making,bow,-1,-14.2850,1.0761
elephant,making,friend,-1,-14.0340,1.0200
elephant,making,friendship,-1,-13.7730,1.0512
elephant,making,sport,-1,-13.8590,1.0817
elephant,making,use,-1,-11.7790,1.1384
elephant,making,wood,-1,-13.0790,1.0281
elephant,mentioning,spectator,-1,-17.8030,0.4512
elephant,mounting,horse,-1,-15.2190,0.9711
elephant,needing,time,-1,-13.6550,1.0834
elephant,nosing,fish,-1,-17.4610,0.9490
elephant,obeying,command,-1,-14.6560,1.0771
elephant,passing,hand,-1,-14.2080,0.8423
elephant,picking,way,-1,-14.7010,1.0260
elephant,poisoning,arrow,-1,-14.7010,0.8151
elephant,preceding,music,-1,-15.6420,0.8206
elephant,producing,calf,1,-16.2170,1.2385
elephant,protecting,dam,-1,-15.5440,0.0000
elephant,putting,trunk,1,-15.9840,0.9448
elephant,raising,head,1,-14.0960,1.1114
elephant,raising,trunk,1,-15.4670,1.1769
elephant,rampaging,control,-1,-14.5260,0.9788
elephant,reposing,shade,1,-16.5820,0.6502
elephant,resting,tortoise,-1,-15.5530,1.0882
elephant,resting,turn,-1,-14.4040,0.4058
elephant,running,eye,-1,-14.0160,1.1421
elephant,running,horn,-1,-15.0120,0.9035
elephant,seeing,dream,-1,-14.8110,0.0000
elephant,setting,fire,-1,-13.0900,0.5605
elephant,sinking,mud,1,-14.4140,0.7217
elephant,sitting,chest,-1,-13.3690,1.1123
elephant,sitting,fence,-1,-14.2660,0.6526
elephant,sitting,middle,-1,-13.9890,0.8306
elephant,standing,army,-1,-11.5130,0.0000
elephant,standing,back,-1,-11.6270,1.0480
elephant,standing,front,-1,-12.3640,0.9866
elephant,standing,ground,-1,-12.6200,1.1307
elephant,standing,guard,-1,-10.7990,0.8940
elephant,standing,middle,-1,-13.4020,1.0847
elephant,standing,tortoise,-1,-14.6150,1.0190
elephant,stretching,trunk,1,-15.2750,0.8865
elephant,sucking,trunk,1,-16.5340,0.9672
elephant,supporting,world,-1,-13.8310,0.9375
elephant,tapping,dance,-1,-15.0880,0.9901
elephant,testing,behavior,-1,-14.7420,1.0863
elephant,testing,behaviour,-1,-15.4790,0.9196
elephant,thanking,benefactor,-1,-19.3390,0.2066
elephant,tossing,apple,-1,-14.8810,0.9538
elephant,turning,somersault,-1,-15.9640,0.7051
elephant,turning,sound,-1,-14.1730,0.8789
elephant,turning,tail,-1,-13.8720,0.3560
elephant,using,trunk,1,-14.3670,1.0723
elephant,using,tusk,1,-15.7270,1.1098
elephant,watching,fruit,-1,-14.6470,0.9468
elephant,wearing,turban,-1,-13.6040,1.0759
