Subject,Verb,Object,Label,MSRLM Score,VisKE Score
fox,annoying,country,-1,-15.2260,1.0436
fox,avoiding,trouble,-1,-13.6540,0.0000
fox,belonging,harrier,-1,-83.3100,0.7509
fox,bragging,number,-1,-15.2740,0.5314
fox,breaking,cover,-1,-10.6090,0.6523
fox,burying,grandmother,-1,-16.7900,0.8173
fox,carrying,goose,-1,-15.3250,0.0000
fox,catching,poultry,1,-15.0670,1.0734
fox,catching,trap,-1,-14.3760,0.9519
fox,chasing,rabbit,1,-10.7630,0.7285
fox,condemning,trap,-1,-17.1870,0.8707
fox,creeping,body,-1,-14.4470,0.8317
fox,crossing,field,1,-11.5870,0.4668
fox,crossing,path,1,-12.0120,0.2999
fox,crossing,road,1,-9.7310,0.4385
fox,cubbing,street,-1,-14.7450,0.0000
fox,darting,burrow,1,-17.1850,0.6508
fox,digging,hole,1,-12.9600,1.2064
fox,discerning,toil,-1,-18.2390,0.0000
fox,discovering,snare,-1,-17.1320,0.2737
fox,eating,rabbit,1,-10.6790,1.1644
fox,enjoying,chase,-1,-15.2720,0.7027
fox,exposing,sale,-1,-15.1760,1.0263
fox,finding,secret,-1,-13.7310,0.7925
fox,getting,trap,-1,-14.4880,0.7001
fox,going,earth,-1,-80.1510,0.7403
fox,guarding,chicken,-1,-14.8280,0.3321
fox,guarding,hen,-1,-10.4880,0.6070
fox,guarding,henhouse,-1,-10.2490,0.7410
fox,hearing,noise,-1,-13.5620,1.1135
fox,hindering,leg,-1,-15.9900,0.9296
fox,hindering,part,-1,-15.6330,1.0136
fox,hooting,midnight,-1,-17.7850,0.9103
fox,howling,hill,-1,-13.3620,0.4034
fox,hunting,club,-1,-9.1690,1.0179
fox,hunting,country,-1,-9.5520,0.9189
fox,hunting,england,-1,-10.4410,1.0818
fox,hunting,horseback,-1,-10.3210,1.1288
fox,hunting,hound,-1,-9.7720,1.1547
fox,hunting,morning,1,-12.1000,0.8547
fox,hunting,parson,-1,-10.2990,1.1304
fox,hunting,scene,-1,-8.7970,0.9275
fox,hunting,season,-1,-9.3430,1.0785
fox,hunting,squire,-1,-10.0430,0.4080
fox,infringing,law,-1,-15.1950,0.8859
fox,inviting,stork,-1,-17.1100,0.8423
fox,jumping,fence,1,-13.1430,0.9153
fox,keeping,goose,-1,-15.9920,0.4097
fox,knowing,lot,-1,-15.3230,0.6644
fox,laying,floor,-1,-12.6530,0.5274
fox,leaping,wall,-1,-13.7590,1.0226
fox,living,den,1,-13.8380,0.0535
fox,living,hillside,1,-14.7680,0.4065
fox,living,life,-1,-11.7140,0.7684
fox,living,subtlety,-1,-16.7230,0.4900
fox,looking,hole,-1,-78.9340,0.6235
fox,losing,brush,-1,-15.9810,0.9321
fox,losing,tail,1,-14.4920,1.0267
fox,lying,wait,-1,-13.8820,0.8942
fox,making,den,1,-15.0140,0.7407
fox,making,fortune,-1,-14.0310,0.7557
fox,mistaking,smell,-1,-17.4620,0.3891
fox,opening,mouth,1,-13.0620,1.0436
fox,preaching,goose,-1,-16.5230,0.1482
fox,prowling,premise,-1,-16.1840,1.0186
fox,pursuing,hound,-1,-15.2880,0.5356
fox,quitting,girl,-1,-15.5890,1.1082
fox,rearing,litter,1,-15.6960,1.1639
fox,recognizing,trap,-1,-16.7000,0.5482
fox,rolling,rock,-1,-12.1470,0.3982
fox,running,foot,-1,-12.7170,0.6091
fox,running,hole,1,-14.4710,0.6715
fox,running,pond,1,-14.3480,0.0000
fox,running,road,1,-12.1960,0.3224
fox,seeing,cheese,-1,-15.1560,0.7374
fox,seeing,grape,-1,-15.4400,0.9301
fox,seeking,hole,-1,-15.1580,0.0000
fox,shaking,head,1,-12.6650,0.8384
fox,sitting,haunch,1,-17.5100,0.9544
fox,skulking,bush,1,-15.7640,0.2642
fox,speaking,voice,-1,-12.1580,1.0305
fox,stealing,hole,-1,-15.3450,0.0000
fox,stretching,tail,1,-14.1660,0.9941
fox,swimming,pond,1,-13.0570,0.4273
fox,taking,possession,-1,-12.0090,0.7357
fox,taking,refuge,1,-12.2910,0.0000
fox,tearing,piece,1,-15.0230,0.1537
fox,telling,man,-1,-13.7640,0.8571
fox,trimming,coat,-1,-13.8610,1.2020
fox,trotting,side,-1,-12.2300,0.9680
fox,trotting,tango,-1,-15.1400,1.0110
fox,trying,art,-1,-14.5400,1.0036
fox,turning,head,1,-12.9120,1.0378
fox,watching,chicken,-1,-14.1480,0.8707
fox,watching,grape,-1,-15.0790,1.0367
fox,watching,henhouse,-1,-17.2980,0.6623
