Subject,Verb,Object,Label,MSRLM Score,VisKE Score
frog,acting,reservoir,-1,-15.1110,0.2640
frog,annoying,lake,-1,-15.9990,0.1159
frog,becoming,prince,-1,-14.7430,1.0068
frog,beginning,life,1,-14.0800,0.9421
frog,boiling,water,-1,-10.5990,1.0473
frog,catching,fly,1,-9.9710,1.0899
frog,chorusing,behavior,-1,-10.7710,0.0289
frog,climbing,tree,1,-11.9380,1.0388
frog,contracting,influence,-1,-16.0230,0.2419
frog,covering,blood,-1,-14.9050,0.0000
frog,croaking,fish,-1,-12.3810,1.1627
frog,croaking,humanity,-1,-14.7290,1.0830
frog,dancing,master,-1,-12.4590,0.8721
frog,depriving,brain,-1,-15.4790,0.6748
frog,developing,egg,1,-14.6300,1.1797
frog,envying,reptile,-1,-19.4910,1.1208
frog,existing,mountain,1,-15.0090,0.7347
frog,forcing,air,-1,-13.7820,0.0000
frog,gathering,gullet,-1,-18.2360,0.9129
frog,giving,heave,-1,-17.4340,0.3566
frog,gnawing,rat,1,-15.9320,0.9935
frog,guarding,rail,-1,-14.4140,0.4445
frog,hearing,story,-1,-14.5760,1.0480
frog,hooting,owl,-1,-14.4220,1.0749
frog,hopping,room,1,-12.8050,0.9348
frog,imitating,ox,-1,-16.5990,1.0963
frog,jumping,contest,-1,-8.7140,0.4137
frog,jumping,plop,1,-16.1710,0.0000
frog,jumping,pond,1,-13.0730,0.0000
frog,jumping,water,1,-11.8660,1.0812
frog,laying,egg,1,-13.1570,1.1886
frog,leaping,mouth,-1,-14.4040,1.1181
frog,leaping,sound,-1,-13.4200,1.1078
frog,leaping,water,1,-11.9620,1.0480
frog,leaving,water,1,-10.7980,0.0000
frog,lifting,limb,1,-15.6520,0.9958
frog,living,water,1,-12.4650,0.9731
frog,lying,back,1,-12.2560,1.0211
frog,mating,call,-1,-10.1850,1.1295
frog,modifying,influence,-1,-14.5390,0.9261
frog,opening,mouth,1,-13.5640,1.1481
frog,plopping,water,1,-16.8900,0.9881
frog,poisoning,strychnine,-1,-14.0050,1.0701
frog,producing,tadpole,1,-17.9720,1.1602
frog,seeing,figure,-1,-15.1660,1.0311
frog,seeing,fly,-1,-15.2260,0.8229
frog,seeing,page,-1,-14.6470,1.0006
frog,seeking,pool,-1,-15.6740,0.2947
frog,shaking,head,-1,-13.0470,1.1217
frog,showing,man,-1,-13.7590,1.0068
frog,sinking,pike,-1,-14.8360,1.1245
frog,sitting,lily,1,-14.2650,1.0942
frog,sitting,log,1,-13.8150,1.0742
frog,sitting,rock,1,-13.4070,0.9038
frog,skinning,muscle,-1,-14.7990,1.0244
frog,swelling,order,-1,-14.9890,1.1748
frog,throwing,animal,-1,-14.2420,1.1116
frog,turning,prince,-1,-15.3370,1.0281
frog,wanting,education,-1,-15.2570,0.7849
frog,whirling,air,-1,-14.2130,0.5134
frog,whooping,coughing,-1,-14.9420,0.8530
