Subject,Verb,Object,Label,MSRLM Score,VisKE Score
goat,annihilating,aggressor,-1,-20.1480,1.0221
goat,becoming,officiating,-1,-17.2070,0.7688
goat,bragging,month,-1,-17.0040,1.0172
goat,catching,dog,-1,-14.4460,0.9808
goat,choosing,lot,-1,-16.2330,0.0000
goat,commanding,soldier,-1,-15.9940,0.6357
goat,confessing,sin,-1,-12.5920,0.5418
goat,curving,fish,-1,-16.2720,0.4400
goat,depending,beard,-1,-81.4160,0.8888
goat,devouring,straw,-1,-18.4850,0.9582
goat,dipping,joseph,-1,-15.4300,1.0784
goat,dipping,robe,-1,-17.0800,1.0649
goat,dropping,milk,-1,-13.9930,0.9726
goat,eating,anything,-1,-11.8870,1.2109
goat,finding,animal,-1,-14.9350,1.0402
goat,footing,man,-1,-16.2920,0.2423
goat,footing,pan,-1,-17.1490,1.0500
goat,footing,satyr,-1,-19.3390,0.3006
goat,frightening,tiger,-1,-16.6800,0.9191
goat,giving,birth,1,-8.8890,1.1927
goat,giving,milk,1,-13.4380,0.5760
goat,heading,column,-1,-14.0850,0.6633
goat,importing,europe,-1,-15.8050,0.8391
goat,injuring,vine,-1,-18.2830,1.0169
goat,living,lady,-1,-15.1340,1.1333
goat,lowering,head,1,-15.1290,0.0541
goat,making,atonement,-1,-14.1090,0.6630
goat,making,goblin,-1,-15.7690,0.9691
goat,prophesying,misfortune,-1,-20.0290,0.3710
goat,providing,milk,1,-14.6780,1.1000
goat,rearing,poultry,-1,-9.9370,0.9129
goat,running,promontory,-1,-17.0040,0.2612
goat,running,wold,-1,-16.6950,0.8629
goat,saving,tallow,-1,-17.2460,0.8056
goat,seeing,butter,-1,-15.7120,1.0966
goat,shaking,head,1,-12.9810,0.5639
goat,shedding,tear,-1,-14.8600,0.9785
goat,sleeping,guest,-1,-14.3210,1.0354
goat,stretching,limb,1,-15.9240,0.6022
goat,suckling,infant,1,-12.4470,1.1007
goat,supporting,life,-1,-13.9290,0.8346
goat,tethering,post,-1,-13.9790,1.0981
goat,tethering,stake,-1,-14.7280,0.0632
goat,tethering,tree,-1,-15.4800,0.7247
goat,traversing,story,-1,-15.6040,0.0000
goat,tying,post,-1,-12.5070,1.0750
goat,tying,stake,-1,-13.6600,0.7825
goat,tying,tree,-1,-12.5680,0.1558
goat,walking,home,-1,-11.7470,0.9865
