Subject,Verb,Object,Label,MSRLM Score,VisKE Score
hen,accompanying,chicken,1,-15.5510,0.7790
hen,achieving,time,-1,-14.3790,0.0000
hen,arriving,home,-1,-12.5990,0.6203
hen,becoming,mother,1,-14.4810,1.0296
hen,brooding,chicken,-1,-12.9420,1.1758
hen,brooding,egg,1,-12.9570,1.1695
hen,building,nest,1,-14.6060,0.4894
hen,caring,brood,1,-16.7410,1.1720
hen,clucking,duck,-1,-13.1220,0.8356
hen,conducting,shelter,-1,-15.3940,0.1880
hen,continuing,mate,-1,-17.5460,0.0000
hen,covering,chick,1,-15.9860,0.6338
hen,covering,chicken,-1,-15.0520,0.4657
hen,crossing,road,1,-12.6390,0.5959
hen,crossing,stream,-1,-13.6510,0.2339
hen,crying,water,-1,-14.6800,0.0000
hen,defending,brood,1,-17.5310,1.0935
hen,defending,chick,1,-15.5800,0.5856
hen,defending,chicken,-1,-16.1380,0.5688
hen,drinking,water,1,-10.6020,0.8661
hen,entering,nest,1,-14.9180,1.0190
hen,excelling,peacock,-1,-18.9370,0.7031
hen,fascinating,chicken,-1,-16.2120,0.8240
hen,filling,crop,-1,-15.6020,0.3827
hen,finding,grain,-1,-15.3020,0.7370
hen,flying,freedom,-1,-13.9160,0.5999
hen,following,brood,1,-16.2320,0.0000
hen,gathering,brood,1,-15.7470,1.0286
hen,gathering,chick,1,-15.0460,0.3973
hen,gathering,chicken,-1,-14.8760,1.0419
hen,geting,de,-1,-16.3740,0.2733
hen,geting,home,-1,-15.7690,0.0000
hen,giving,cackle,-1,-18.0130,0.6464
hen,giving,danger,-1,-15.9040,0.9073
hen,going,nest,1,-81.6050,1.0922
hen,guarding,chick,1,-15.5560,0.7596
hen,guarding,egg,1,-14.6550,0.9934
hen,hatching,cuckoo,-1,-16.4080,1.1723
hen,hatching,egg,1,-11.3640,1.1079
hen,hearing,word,-1,-14.6610,0.8436
hen,housing,egg,-1,-14.7370,0.8357
hen,housing,production,-1,-12.6740,0.3688
hen,incubating,egg,1,-13.0510,1.0170
hen,keeping,egg,1,-14.0130,1.0370
hen,laying,egg,1,-9.6330,1.1077
hen,leading,brood,1,-16.1870,0.8483
hen,leaving,egg,1,-15.1010,1.0114
hen,leaving,nest,1,-14.4220,1.0624
hen,lying,ground,1,-13.4550,0.9570
hen,making,nest,1,-14.5170,0.9640
hen,mistaking,pheasant,-1,-18.9350,0.0000
hen,opening,eye,1,-14.1900,1.1020
hen,performing,office,-1,-13.6750,0.2455
hen,producing,chicken,-1,-14.2080,0.7581
hen,producing,egg,1,-14.1340,0.5886
hen,protecting,brood,1,-16.3630,1.0840
hen,protecting,chick,1,-15.8910,0.9189
hen,protecting,chicken,-1,-15.6920,0.4753
hen,providing,nest,-1,-15.1820,1.0662
hen,resenting,advance,-1,-17.9520,0.0000
hen,ruffling,feather,1,-13.8780,0.9451
hen,running,road,1,-12.9790,0.2110
hen,seating,pile,-1,-16.6910,0.6174
hen,sheltering,chick,1,-15.0740,0.7957
hen,sitting,egg,1,-15.0010,1.1864
hen,sitting,nest,1,-14.4360,1.1938
hen,smoting,ear,-1,-19.9230,0.7911
hen,spreading,wing,1,-15.2570,0.6267
hen,standing,god,-1,-13.9940,0.3743
hen,staring,duck,-1,-16.9220,1.0451
hen,staring,nothing,-1,-15.3250,0.3038
hen,stealing,bottle,-1,-14.6750,0.5492
hen,stealing,nest,1,-15.6360,0.7855
hen,stewing,chicken,-1,-12.0810,1.1211
hen,straddling,wing,-1,-17.9100,0.0000
hen,striking,temple,-1,-15.2890,0.0948
hen,surrounding,brood,1,-16.6540,1.1041
hen,surrounding,chick,1,-15.5480,0.9652
hen,surrounding,chicken,-1,-15.8800,0.6966
hen,tucking,arm,-1,-16.2100,0.0000
hen,turning,egg,1,-14.4180,1.0675
hen,turning,head,1,-13.1450,0.8822
hen,waiting,flock,-1,-16.0100,0.4329
hen,watching,chick,-1,-14.3210,1.0459
