Subject,Verb,Object,Label,MSRLM Score,VisKE Score
horse,accepting,bit,1,-14.965,1.148
horse,accomplishing,escape,-1,-16.705,0.157
horse,according,custom,-1,-14.389,0.834
horse,admiring,spectacle,-1,-17.094,0.587
horse,adorning,bayard,-1,-17.797,0.312
horse,advancing,face,-1,-13.532,0.224
horse,advancing,interval,-1,-15.796,0.631
horse,advancing,window,-1,-15.123,0.000
horse,advising,city,-1,-14.545,0.542
horse,affecting,grease,-1,-15.960,0.435
horse,affording,room,-1,-14.038,0.149
horse,aiming,arrow,-1,-79.525,1.042
horse,ambling,side,-1,-13.953,0.916
horse,appointing,guest,-1,-15.372,0.436
horse,approaching,animal,-1,-13.335,0.774
horse,approaching,goal,-1,-13.802,0.166
horse,approaching,jump,-1,-13.977,1.071
horse,approaching,trot,-1,-15.953,1.122
horse,approaching,wall,-1,-13.482,0.309
horse,arching,neck,1,-13.334,1.138
horse,arising,courage,-1,-82.746,1.014
horse,arming,greek,-1,-16.857,0.655
horse,arming,pistol,-1,-17.237,0.604
horse,arresting,attention,-1,-14.753,0.939
horse,arriving,lord,-1,-15.095,0.000
horse,ascending,step,-1,-14.348,0.669
horse,assailing,door,-1,-17.159,0.194
horse,assembling,body,-1,-14.945,0.912
horse,assigning,prize,-1,-15.782,0.575
horse,assisting,lady,-1,-15.120,1.005
horse,assuming,command,-1,-12.903,0.942
horse,assuming,suit,-1,-15.802,0.545
horse,attaching,buggy,-1,-16.713,0.758
horse,attaching,carriage,-1,-15.327,1.110
horse,attaching,cart,-1,-15.710,1.006
horse,attaching,vehicle,-1,-14.456,0.665
horse,attaching,wagon,-1,-16.322,0.657
horse,attacking,lion,-1,-11.587,1.167
horse,attacking,regiment,-1,-14.388,0.785
horse,attending,home,-1,-13.279,0.639
horse,attending,motion,-1,-15.075,0.829
horse,attending,person,-1,-14.372,0.447
horse,barding,iron,-1,-13.926,1.028
horse,baring,tooth,-1,-16.551,1.090
horse,bearing,burden,1,-14.243,0.720
horse,bearing,emperor,1,-15.358,0.889
horse,bearing,name,-1,-12.933,0.303
horse,bearing,praise,-1,-15.349,0.818
horse,bearing,rider,1,-15.067,1.068
horse,bearing,weight,-1,-10.777,1.077
horse,beating,foot,-1,-13.779,0.903
horse,becoming,child,-1,-78.714,0.782
horse,becoming,part,-1,-76.650,0.647
horse,becoming,property,-1,-78.835,0.288
horse,becoming,symbol,-1,-79.560,0.752
horse,begging,drink,-1,-15.452,0.656
horse,beginning,attack,-1,-14.635,0.869
horse,beginning,buck,-1,-14.954,1.109
horse,beginning,existence,-1,-15.087,1.012
horse,beginning,tire,-1,-15.693,0.584
horse,bending,head,-1,-13.030,1.104
horse,bending,mace,-1,-16.557,0.620
horse,bending,neck,1,-13.456,1.159
horse,betraying,animality,-1,-20.141,0.311
horse,binding,chariot,-1,-17.077,0.365
horse,binding,gallop,-1,-17.410,0.943
horse,biting,way,-1,-13.033,1.001
horse,blaming,poseidon,-1,-17.569,0.891
horse,blowing,animal,-1,-13.644,1.072
horse,blowing,nostril,-1,-16.758,1.078
horse,bobbing,head,-1,-10.813,1.027
horse,boring,hero,-1,-15.027,0.731
horse,borrowing,gun,-1,-15.483,0.000
horse,bowing,head,1,-12.861,1.171
horse,brandishing,broadsword,-1,-18.199,0.633
horse,brandishing,sword,-1,-12.430,0.681
horse,breaking,arm,-1,-12.699,1.006
horse,breaking,bridle,-1,-11.860,1.084
horse,breaking,canter,-1,-14.621,1.225
horse,breaking,carriage,-1,-14.216,1.153
horse,breaking,control,-1,-12.824,1.124
horse,breaking,fence,1,-13.776,0.000
horse,breaking,gallop,-1,-15.795,1.211
horse,breaking,halter,-1,-13.168,1.149
horse,breaking,hip,1,-12.224,1.113
horse,breaking,ice,-1,-11.729,0.989
horse,breaking,knee,1,-13.188,1.028
horse,breaking,leg,1,-12.038,1.089
horse,breaking,neck,1,-12.527,0.501
horse,breaking,pointer,-1,-14.681,0.892
horse,breaking,road,-1,-12.451,0.000
horse,breaking,run,-1,-11.818,0.739
horse,breaking,silence,-1,-11.949,0.988
horse,breaking,step,-1,-12.487,1.089
horse,breaking,stride,-1,-11.964,1.052
horse,breaking,thigh,-1,-14.417,1.149
horse,breaking,trot,-1,-14.785,1.246
horse,breaking,wind,1,-11.622,0.846
horse,breathing,fire,-1,-10.692,0.869
horse,breathing,instant,-1,-14.549,0.636
horse,breeding,country,-1,-9.865,1.116
horse,breeding,establishment,-1,-9.899,0.964
horse,breeding,farm,-1,-8.447,0.948
horse,breeding,industry,-1,-8.949,0.738
horse,breeding,purpose,-1,-11.399,1.161
horse,bringing,action,-1,-13.027,0.657
horse,bringing,arm,-1,-14.463,0.613
horse,bringing,blood,-1,-13.100,0.714
horse,bringing,door,-1,-14.820,0.021
horse,bringing,foot,-1,-14.263,0.243
horse,bringing,home,-1,-10.799,0.812
horse,bringing,intelligence,-1,-13.408,0.946
horse,bringing,news,-1,-12.548,0.000
horse,bringing,notice,-1,-14.251,0.680
horse,bringing,purpose,-1,-13.888,0.908
horse,bringing,rear,-1,-14.839,0.000
horse,bringing,shop,-1,-14.677,0.278
horse,building,committee,-1,-12.256,0.748
horse,building,fire,-1,-11.950,0.657
horse,building,greek,-1,-14.114,0.426
horse,building,school,-1,-12.643,0.211
horse,burning,stall,-1,-15.803,0.000
horse,bursting,screen,-1,-15.261,0.668
horse,burying,nose,-1,-15.444,0.704
horse,buttering,hay,-1,-18.230,0.628
horse,caparisoning,cloth,-1,-19.786,1.059
horse,caparisoning,gold,-1,-18.828,1.083
horse,caparisoning,journey,-1,-19.530,0.911
horse,capturing,bellerophon,-1,-18.333,0.929
horse,caring,roast,-1,-15.903,0.755
horse,carrying,baggage,1,-12.628,0.712
horse,carrying,bushel,1,-14.782,0.487
horse,carrying,coal,1,-12.042,0.440
horse,carrying,gun,-1,-12.045,0.306
horse,carrying,head,-1,-13.093,0.863
horse,carrying,home,-1,-12.156,0.000
horse,carrying,iron,1,-12.432,0.000
horse,carrying,king,1,-13.162,0.000
horse,carrying,lady,1,-13.508,0.087
horse,carrying,load,1,-12.192,0.949
horse,carrying,man,1,-12.410,0.602
horse,carrying,news,-1,-12.586,0.306
horse,carrying,piece,-1,-13.443,1.078
horse,carrying,prisoner,-1,-14.539,0.476
horse,carrying,provision,1,-14.034,0.533
horse,carrying,rider,1,-14.109,1.036
horse,carrying,roll,-1,-13.368,0.993
horse,carrying,sword,-1,-13.426,0.844
horse,carrying,whip,-1,-14.245,1.064
horse,carrying,wool,1,-13.320,0.153
horse,casing,steel,-1,-13.273,0.979
horse,catching,foot,-1,-14.242,0.394
horse,catching,hold,-1,-12.726,0.968
horse,catching,ride,-1,-13.801,0.989
horse,catching,sight,-1,-12.331,0.000
horse,champing,bit,1,-14.983,0.450
horse,changing,direction,1,-12.273,1.075
horse,charging,battle,1,-14.535,1.088
horse,charging,cavalry,-1,-13.400,1.154
horse,charging,column,-1,-13.687,0.614
horse,charging,end,-1,-13.360,1.013
horse,charging,enemy,1,-13.396,0.664
horse,charging,home,-1,-12.759,0.978
horse,chasing,rider,-1,-14.246,1.167
horse,choosing,place,-1,-14.043,0.000
horse,claiming,race,-1,-10.488,1.119
horse,clapping,hand,-1,-13.210,0.801
horse,clasping,hand,-1,-14.448,0.967
horse,clasping,neck,-1,-16.127,0.737
horse,clattering,road,-1,-14.837,0.000
horse,cleaning,boot,-1,-14.430,1.066
horse,clearing,fence,1,-14.094,0.258
horse,climbing,hill,1,-12.737,0.816
horse,closing,carriage,-1,-15.901,0.000
horse,coasting,stop,-1,-14.080,0.359
horse,coating,iron,-1,-14.649,0.571
horse,cocking,rifle,-1,-13.492,0.425
horse,commanding,captain,-1,-13.453,0.973
horse,commanding,col,-1,-13.840,0.848
horse,commanding,colonel,-1,-13.586,1.036
horse,commanding,general,-1,-11.149,0.938
horse,commanding,lieutenant,-1,-13.537,0.953
horse,commanding,lord,-1,-14.133,1.020
horse,commanding,major,-1,-13.320,1.031
horse,commanding,pipe,-1,-15.490,0.850
horse,commanding,sir,-1,-14.321,0.895
horse,compelling,leader,-1,-15.008,0.896
horse,confounding,auxiliary,-1,-17.510,0.670
horse,considering,union,-1,-14.161,0.062
horse,consisting,man,-1,-80.519,0.676
horse,consisting,similitude,-1,-83.987,0.418
horse,constituting,estate,-1,-15.435,0.353
horse,contemplating,ground,-1,-14.821,0.212
