Subject,Verb,Object,Label,MSRLM Score,VisKE Score
lion,arming,battle,-1,-15.4870,0.4122
lion,asking,fox,-1,-80.6310,0.5798
lion,assembling,person,-1,-15.9210,0.7223
lion,attacking,antelope,1,-14.5140,0.0000
lion,attacking,bull,1,-9.6670,1.0740
lion,attacking,deer,1,-10.2630,1.1403
lion,attacking,elephant,1,-13.6560,1.1590
lion,attacking,gazelle,1,-13.9200,1.2006
lion,attacking,herd,1,-8.9440,1.1176
lion,attacking,horse,-1,-10.5770,1.1921
lion,attacking,prey,1,-12.6910,1.2244
lion,attacking,stag,1,-10.0340,0.9482
lion,baiting,cur,-1,-16.3150,0.8929
lion,baulking,prey,-1,-19.6290,0.0000
lion,bearing,pain,-1,-13.9540,0.4899
lion,bearing,shield,-1,-13.5840,0.8896
lion,bearing,theme,-1,-15.7450,0.7147
lion,bearing,virginity,-1,-16.2180,0.7714
lion,beating,unicorn,-1,-16.7630,0.7773
lion,becoming,lamb,-1,-16.0610,1.0445
lion,becoming,man,-1,-13.3600,0.9133
lion,becoming,monkey,-1,-15.6030,1.2207
lion,beginning,roar,-1,-16.6530,1.1619
lion,behaving,village,-1,-16.2350,0.8494
lion,binding,prey,-1,-16.7130,1.0012
lion,blowing,conch,-1,-14.2180,0.7914
lion,brandishing,firebrand,-1,-18.4620,0.8850
lion,breaking,cover,-1,-13.7950,0.7903
lion,breathing,fire,-1,-12.6230,0.9018
lion,bringing,bay,-1,-15.0970,0.2625
lion,bringing,food,1,-12.5440,0.5702
lion,bristling,mane,1,-15.3280,1.0707
lion,bursting,ear,-1,-15.0690,0.8226
lion,carving,stone,-1,-10.0570,1.0748
lion,catching,sight,-1,-12.6620,1.1494
lion,catching,toil,-1,-17.1680,0.0931
lion,catching,trap,-1,-14.3820,0.5271
lion,charging,bear,-1,-13.2250,1.0963
lion,chasing,stag,1,-14.0320,0.9623
lion,coiling,fold,-1,-17.8240,0.9328
lion,combining,series,-1,-14.7790,0.5118
lion,computing,stature,-1,-17.5840,0.6294
