Subject,Verb,Object,Label,MSRLM Score,VisKE Score
lizard,according,kind,-1,-81.5040,0.4025
lizard,basking,rock,1,-10.5680,1.0751
lizard,basking,sun,1,-13.4560,1.1368
lizard,catching,fly,1,-13.3920,0.0000
lizard,changing,color,1,-10.5440,1.0454
lizard,crawling,chief,-1,-14.8570,0.6302
lizard,extending,leopard,-1,-17.6770,1.0211
lizard,flying,air,1,-12.8810,0.9557
lizard,forming,part,-1,-12.7870,0.0000
lizard,gliding,interval,-1,-16.4490,0.1579
lizard,keeping,court,-1,-14.6680,0.0000
lizard,laying,egg,1,-13.5660,0.8638
lizard,losing,tail,1,-15.3190,0.4448
lizard,lying,back,1,-12.3430,0.8680
lizard,lying,rock,1,-14.1830,1.1384
lizard,making,escape,-1,-14.6230,0.6773
lizard,moving,wall,1,-13.5000,0.2746
lizard,opening,mouth,1,-14.2010,0.8338
lizard,passing,face,-1,-14.9280,0.1667
lizard,pausing,front,-1,-17.4410,0.0000
lizard,playing,hill,-1,-15.2000,0.1605
lizard,running,crag,1,-16.5800,0.2166
lizard,seeing,anything,-1,-13.0850,0.2747
lizard,shedding,skin,1,-10.8080,1.0367
lizard,starting,stone,-1,-15.1410,0.0000
lizard,sunning,rock,1,-13.3550,1.2079
lizard,uniting,tooth,-1,-18.3020,0.0000
lizard,waiting,history,-1,-15.7260,0.5323
lizard,watching,fly,-1,-14.5080,0.4071
