Subject,Verb,Object,Label,MSRLM Score,VisKE Score
man,accompanying,dog,1,-13.6750,0.8606
man,accusing,horse,-1,-14.2050,1.0183
man,adding,bird,-1,-13.9140,0.7994
man,alighting,horse,1,-15.5280,0.4814
man,attacking,lion,1,-10.6370,1.0737
man,attacking,tiger,1,-12.8450,1.1156
man,beating,dog,1,-10.5970,0.8580
man,beating,horse,1,-13.4740,0.8342
man,becoming,tiger,-1,-13.7480,1.0458
man,becoming,wolf,-1,-13.4300,1.0367
man,bestriding,horse,1,-15.4530,1.1014
man,biting,dog,-1,-10.0490,1.1272
man,biting,snake,1,-10.5870,0.8632
man,bitting,dog,-1,-13.4650,1.0507
man,borrowing,horse,-1,-15.1860,0.9204
man,bringing,horse,1,-12.5570,0.9154
man,bringing,monkey,1,-13.9690,0.9983
man,buying,cow,1,-13.9120,0.9696
man,buying,elephant,1,-14.5650,0.9981
man,buying,horse,1,-13.1390,0.8125
man,carrying,cat,1,-12.3420,1.0065
man,carrying,goat,1,-13.2250,0.2221
man,carrying,monkey,1,-12.6760,1.1199
man,carrying,pig,1,-10.6190,0.0000
man,carrying,sheep,1,-12.4340,0.2214
man,catching,dog,1,-12.6970,0.7625
man,catching,horse,1,-12.5410,0.5523
man,catching,pig,1,-13.9630,0.0000
man,clinching,horse,-1,-14.9000,1.1571
man,clothing,goat,-1,-14.4570,0.9502
man,commanding,horse,-1,-13.9540,1.0189
man,conquering,lion,-1,-11.5260,1.0147
man,cutting,horse,1,-11.3530,1.0451
man,dancing,bear,-1,-10.3190,0.9881
man,descending,monkey,-1,-14.6460,0.7838
man,describing,elephant,-1,-14.4050,1.0486
man,deteriorating,cat,-1,-15.5290,0.8216
man,differing,dog,-1,-15.0510,1.0722
man,disguising,bear,-1,-15.6650,0.2956
man,dismounting,horse,1,-13.9680,1.0526
man,dissatisfying,pig,-1,-17.4530,0.5926
man,distressing,wolf,-1,-16.1580,0.2136
man,drawing,horse,1,-12.6420,1.1206
man,dressing,bear,1,-14.1900,1.0496
man,dressing,elephant,1,-14.2410,0.9937
man,dressing,goat,1,-13.2850,0.9927
man,dressing,gorilla,1,-15.3010,0.8511
man,dressing,horse,1,-13.6480,0.3644
man,dressing,lion,1,-14.7270,0.9805
man,driving,cow,1,-13.8130,0.8532
man,driving,horse,1,-9.7920,0.4241
man,driving,ox,1,-13.8030,0.4770
man,driving,pig,-1,-13.9430,0.7046
man,driving,sheep,1,-10.7940,0.3528
man,dying,dog,-1,-11.6700,0.9827
man,eating,lion,-1,-8.8640,1.1684
man,eating,tiger,-1,-8.5440,1.0822
man,eschewing,sloth,-1,-82.6280,0.3301
man,falling,horse,1,-12.7220,0.5789
man,fighting,bear,1,-10.0090,1.0206
man,fighting,lion,1,-9.8610,1.1004
