Subject,Verb,Object,Label,MSRLM Score,VisKE Score
monkey,according,mirror,-1,-16.1820,0.2380
monkey,allowing,time,-1,-13.0820,0.8587
monkey,beginning,chatter,-1,-17.0650,1.1031
monkey,budging,step,-1,-17.7620,0.6365
monkey,catching,hand,-1,-13.4430,0.4010
monkey,catching,infant,-1,-15.0630,1.1067
monkey,chaining,side,-1,-15.5180,0.9383
monkey,chasing,weasel,-1,-15.2710,0.6364
monkey,chattering,parrot,-1,-13.5930,1.0346
monkey,chewing,tobacco,-1,-11.6680,0.8860
monkey,climbing,rigging,1,-12.7880,0.6449
monkey,climbing,tree,1,-10.1020,1.0441
monkey,clinging,mother,1,-13.6070,1.1172
monkey,contaminating,disease,1,-15.9800,0.7516
monkey,dancing,bear,-1,-10.8250,1.0526
monkey,depriving,tail,-1,-17.8200,1.0739
monkey,developing,ulcer,1,-15.7890,0.7290
monkey,dressing,lady,-1,-14.8860,1.1331
monkey,dressing,silk,-1,-15.1630,0.8209
monkey,eating,banana,1,-9.2980,1.1567
monkey,eating,eagle,-1,-8.6060,1.1100
monkey,eating,fruit,1,-9.7570,1.1400
monkey,exhibiting,sort,-1,-15.6230,0.9916
monkey,facing,danger,-1,-13.4850,1.0288
monkey,falling,ground,1,-14.0860,0.0000
monkey,falling,victim,-1,-12.2850,0.7274
monkey,fastening,cord,1,-15.0450,1.0730
monkey,feeing,behavior,-1,-18.1720,1.1771
monkey,finding,condition,-1,-15.0510,0.5541
monkey,finding,pleasure,-1,-14.0000,0.8167
monkey,following,section,-1,-12.0780,0.1833
monkey,frolicking,tree,1,-15.5210,0.0000
monkey,geting,peanut,1,-18.0230,1.0147
monkey,going,donkey,-1,-15.1000,1.0565
monkey,going,london,-1,-14.3440,0.7187
monkey,grasping,object,1,-13.7710,0.7263
monkey,grinning,desperation,-1,-17.0390,1.0734
monkey,hanging,branch,1,-12.6580,1.0907
monkey,hanging,tail,1,-13.4960,1.0596
monkey,hanging,tree,1,-11.6370,1.0714
monkey,holding,banana,1,-9.7710,1.1142
monkey,including,study,-1,-12.8840,1.1546
monkey,invading,sanctity,-1,-18.2530,0.6024
monkey,jumping,bed,-1,-12.4990,1.1096
monkey,jumping,branch,1,-11.9860,1.1306
monkey,jumping,tree,1,-13.1060,1.1266
monkey,leaping,branch,1,-14.5610,0.5738
monkey,making,face,1,-13.4400,1.1481
monkey,making,laugh,-1,-14.5230,1.1100
monkey,making,saccade,-1,-17.3850,0.7004
monkey,making,spring,-1,-13.6000,0.9455
monkey,mothering,university,-1,-14.5460,1.0454
monkey,observing,experimenter,-1,-15.9700,0.5622
monkey,offering,honey,-1,-14.9170,0.9921
monkey,opening,nut,1,-14.9990,1.1634
monkey,ornamenting,tuft,-1,-20.7160,1.1178
monkey,partaking,antic,-1,-20.5830,0.7551
monkey,perching,shoulder,1,-18.1240,0.8598
monkey,performing,action,-1,-13.3700,0.9437
monkey,pressing,lever,1,-14.4550,0.0000
monkey,pulling,thing,-1,-14.1370,0.4146
monkey,pushing,face,-1,-14.8900,0.9684
monkey,putting,nut,-1,-15.0510,1.0960
monkey,puzzling,tree,-1,-15.6890,0.9999
monkey,raising,isolation,-1,-15.7620,1.0130
monkey,rearing,isolation,-1,-15.9770,1.0073
monkey,resembling,man,-1,-14.1820,1.0095
monkey,running,rock,1,-13.2640,0.0000
monkey,seeing,chapter,-1,-14.5970,0.7545
monkey,seeking,fruit,-1,-10.5150,1.1224
monkey,shaking,head,1,-10.4560,1.0398
monkey,shifting,oyster,-1,-16.8880,0.5869
monkey,sitting,back,1,-11.2960,0.9869
monkey,sitting,shoulder,1,-13.2710,0.4542
monkey,sitting,top,-1,-12.9800,1.0635
monkey,sitting,tree,1,-13.4690,1.1076
monkey,sitting,typewriter,-1,-16.3390,0.5789
monkey,standing,entrance,-1,-14.5550,0.0000
monkey,stinging,scorpion,-1,-15.2570,0.9863
monkey,struggling,coat,-1,-16.2530,0.6137
monkey,swinging,branch,1,-13.4340,0.9561
monkey,swinging,tree,1,-12.7760,0.6320
monkey,throwing,dart,-1,-13.3950,0.9328
monkey,turning,head,1,-13.2380,0.8752
monkey,using,cat,-1,-13.2600,1.1211
monkey,using,tail,1,-13.5160,1.0608
monkey,wearing,crown,-1,-12.9150,1.0869
monkey,wrenching,machinery,-1,-14.4370,0.7699
monkey,wrenching,work,-1,-12.0980,0.0193
