Subject,Verb,Object,Label,MSRLM Score,VisKE Score
mouse,adapting,influenza,-1,-17.1910,0.2480
mouse,adapting,scrapie,-1,-18.8160,0.6580
mouse,adapting,strain,-1,-16.8440,0.9170
mouse,adjusting,size,-1,-13.4890,1.0861
mouse,allowing,user,-1,-12.3020,1.0063
mouse,attaching,computer,-1,-14.5160,1.1296
mouse,breeding,colony,-1,-9.9290,0.2654
mouse,building,government,-1,-13.4700,0.1871
mouse,carrying,point,-1,-13.6020,0.7265
mouse,catching,cat,-1,-10.5220,1.1148
mouse,catching,trap,-1,-13.7460,0.8260
mouse,changing,column,-1,-13.1550,0.7728
mouse,changing,size,-1,-12.8480,1.1010
mouse,chasing,cat,-1,-10.1460,1.0706
mouse,choking,trap,1,-16.9300,0.9823
mouse,choosing,command,-1,-80.0350,0.6931
mouse,choosing,menu,-1,-79.2330,0.9986
mouse,clicking,button,-1,-12.1360,1.1433
mouse,clicking,key,-1,-12.9910,1.0533
mouse,colouring,hair,-1,-11.5210,1.1215
mouse,connecting,computer,-1,-12.8700,1.1492
mouse,controlling,movement,-1,-12.5340,0.7599
mouse,controlling,pointer,-1,-15.0470,1.0868
mouse,cornering,cat,-1,-16.5760,0.7641
mouse,costing,franc,-1,-16.7930,0.7908
mouse,creating,box,-1,-13.9620,0.8706
mouse,creating,object,-1,-13.1060,0.9766
mouse,creating,rectangle,-1,-14.8430,1.0322
mouse,creeping,corn,1,-15.6850,0.0858
mouse,creeping,floor,1,-14.7300,0.0000
mouse,crossing,floor,1,-14.1990,0.0802
mouse,demonstrating,requirement,-1,-15.2560,0.8151
mouse,desiring,location,-1,-16.3130,0.5616
mouse,desiring,position,-1,-15.6840,0.9831
mouse,digitizing,tablet,-1,-10.6160,1.0218
mouse,draging,file,-1,-13.2740,1.0942
mouse,draging,object,-1,-15.0510,1.0880
mouse,draging,scroll,-1,-15.6130,0.6537
mouse,draging,window,-1,-14.6250,1.0372
mouse,drawing,box,-1,-12.7550,1.1060
mouse,drawing,line,-1,-12.1270,1.1344
mouse,drawing,rectangle,-1,-12.4550,1.0172
mouse,drawing,shape,-1,-12.6560,1.1344
mouse,drinking,water,1,-9.7840,1.0602
mouse,driving,interface,-1,-14.4760,1.0501
mouse,drowning,pudding,-1,-16.8070,0.8480
mouse,eating,bread,1,-12.1440,1.1672
mouse,eating,cheese,1,-9.3020,1.1050
mouse,eating,library,1,-14.1440,0.5297
mouse,eating,quarter,-1,-14.3220,1.0405
mouse,eating,record,-1,-12.5790,0.0000
mouse,eating,way,-1,-12.5110,1.1706
mouse,entering,area,-1,-13.4200,0.5636
mouse,entering,component,-1,-14.1140,0.7969
mouse,entering,room,1,-13.2110,0.1796
mouse,exhausting,receiver,-1,-16.8770,0.9287
mouse,extending,selection,-1,-14.4960,0.4740
mouse,falling,ceiling,1,-13.7800,0.5151
mouse,feeing,contact,-1,-16.2980,1.0263
mouse,finding,way,-1,-13.5990,0.4840
mouse,following,exposure,-1,-10.1840,0.5983
mouse,following,step,-1,-12.2720,1.0508
mouse,getting,cheese,1,-14.2780,0.9573
mouse,gnawing,branch,1,-13.5750,0.6916
mouse,gnawing,hole,1,-13.1260,0.2891
mouse,gnawing,woodwork,1,-13.6560,0.9728
mouse,harvesting,seed,-1,-13.7460,0.7925
mouse,hearing,lion,-1,-15.8880,0.9851
mouse,helping,lion,-1,-16.0990,1.0859
mouse,highlighting,range,-1,-13.9980,0.9915
mouse,highlighting,text,-1,-10.6000,1.0524
mouse,hiring,spider,-1,-16.1320,0.2812
mouse,holding,button,-1,-12.8960,1.0353
mouse,hovering,button,-1,-13.2440,0.7544
mouse,hovering,control,-1,-12.3150,0.9726
mouse,hovering,image,-1,-12.7660,0.6842
mouse,hovering,link,-1,-13.4160,0.6270
mouse,howling,dog,-1,-13.0420,0.9910
mouse,increasing,resistance,-1,-13.1590,1.0018
mouse,issuing,command,-1,-14.0430,0.0000
mouse,killing,behavior,-1,-10.2440,0.5833
mouse,killing,rat,-1,-13.9700,0.5886
mouse,laughing,cat,-1,-12.9470,1.1311
mouse,leaving,area,-1,-13.4470,0.5079
mouse,leaving,button,-1,-14.8460,0.9255
mouse,living,bower,-1,-15.5320,0.4149
mouse,living,house,1,-13.0750,0.2580
mouse,living,roof,-1,-13.4690,0.3401
mouse,losing,time,-1,-12.7020,0.8456
mouse,lying,back,-1,-12.2880,0.7462
mouse,moving,arrow,-1,-13.3510,0.7747
mouse,moving,block,-1,-12.5870,0.4982
mouse,moving,button,-1,-13.3290,1.0840
mouse,moving,cell,-1,-13.1330,0.8950
mouse,moving,copy,-1,-13.6060,0.6625
mouse,moving,cursor,-1,-10.7480,0.9860
mouse,moving,element,-1,-12.6970,0.8480
mouse,moving,highlight,-1,-13.8610,0.7315
mouse,moving,image,-1,-11.1510,1.0850
mouse,moving,insertion,-1,-14.3720,0.9230
mouse,moving,link,-1,-13.2810,0.8664
mouse,moving,object,-1,-11.4520,0.8784
mouse,moving,pointer,-1,-13.2030,0.8588
mouse,moving,screen,-1,-12.8220,1.0297
mouse,moving,text,-1,-12.3380,0.9793
mouse,moving,window,-1,-12.2010,0.6405
mouse,opening,menu,-1,-13.2330,0.8268
mouse,passing,button,-1,-14.8690,1.0135
mouse,passing,image,-1,-14.6030,0.6960
mouse,passing,link,-1,-14.2270,0.5771
mouse,patching,mutant,-1,-17.4280,0.9187
mouse,placing,cursor,-1,-14.2000,0.7642
mouse,placing,insertion,-1,-15.1460,1.0493
mouse,placing,pointer,-1,-15.4100,0.9195
mouse,playing,corner,-1,-13.6230,0.9713
mouse,pointing,click,-1,-13.3990,1.0838
mouse,pointing,device,-1,-8.3890,1.1319
mouse,poking,head,1,-12.8060,0.9143
mouse,positioning,cursor,-1,-13.4640,1.0767
mouse,positioning,insertion,-1,-13.9860,1.0188
mouse,positioning,pointer,-1,-14.1160,1.0922
mouse,pressing,key,-1,-12.2890,0.9488
mouse,reaching,seed,1,-15.1490,0.6991
mouse,reminding,bride,-1,-17.1880,1.1155
mouse,restoring,stem,-1,-15.1780,1.0486
mouse,revealing,autoradiography,-1,-18.4430,0.9939
mouse,ringing,neck,-1,-15.0540,0.8492
mouse,roaring,disney,-1,-15.0090,1.0491
mouse,running,clock,-1,-12.5510,1.0854
mouse,running,floor,1,-13.7960,0.9896
mouse,running,maze,1,-14.5700,0.6759
mouse,running,plaster,-1,-15.3160,0.0000
mouse,running,room,1,-11.9350,0.7961
mouse,running,show,-1,-12.3840,1.1568
mouse,scampering,floor,1,-14.8250,0.4645
mouse,scratching,cat,-1,-12.5580,1.1432
mouse,scurrying,floor,1,-14.4980,0.8425
mouse,selecting,block,-1,-12.9220,0.9199
mouse,selecting,cell,-1,-13.0300,0.8682
mouse,selecting,command,-1,-13.4300,1.1052
mouse,selecting,datum,-1,-14.3490,1.1079
mouse,selecting,icon,-1,-13.6400,1.0723
mouse,selecting,item,-1,-12.7970,1.0593
mouse,selecting,menu,-1,-12.2670,1.0806
mouse,selecting,object,-1,-13.0250,1.0189
mouse,selecting,option,-1,-12.1690,1.1111
mouse,selecting,range,-1,-12.9630,0.6996
mouse,selecting,text,-1,-10.2690,0.7688
mouse,selecting,word,-1,-13.3700,1.0681
mouse,sending,signal,-1,-13.3430,0.9482
mouse,severing,bottom,-1,-17.0110,0.8979
mouse,shaking,head,1,-12.2090,1.1464
mouse,showing,fig,-1,-13.7930,0.6993
mouse,showing,figure,-1,-13.4950,0.8112
mouse,touching,pad,-1,-14.5500,1.1136
mouse,touching,screen,-1,-13.2040,1.0767
mouse,tracking,speed,-1,-9.7760,1.0797
