Subject,Verb,Object,Label,MSRLM Score,VisKE Score
ox,adorning,ribbon,-1,-18.1430,1.0100
ox,affording,sacrifice,-1,-18.1620,0.0000
ox,appearing,personification,-1,-18.7700,0.9591
ox,ascending,bucket,-1,-16.3150,0.4452
ox,attaching,end,-1,-14.7860,1.0233
ox,bearing,yoke,1,-14.5420,0.9648
ox,belonging,israelite,-1,-18.9470,0.0000
ox,belonging,sanctuary,-1,-17.7240,0.1296
ox,belonging,woman,1,-16.7330,0.5751
ox,bowing,lake,-1,-16.8050,0.1740
ox,causing,damage,1,-12.5550,0.0000
ox,chewing,cud,1,-14.0950,1.0569
ox,choosing,herd,-1,-16.5860,0.8133
ox,crossing,ford,1,-14.7040,0.0000
ox,debarring,touch,-1,-18.3320,0.8380
ox,dividing,price,-1,-15.4020,0.3100
ox,drawing,carriage,1,-15.4700,1.0518
ox,drawing,cart,1,-15.3660,0.9696
ox,drawing,plough,1,-16.0960,0.6276
ox,drawing,wagon,1,-15.8380,0.9521
ox,drinking,water,1,-11.3860,0.7077
ox,drinking,wayside,-1,-18.0310,0.3990
ox,drinking,wine,-1,-12.9840,1.0217
ox,dying,murrain,1,-19.2690,0.5040
ox,eying,hera,-1,-19.6620,0.1714
ox,eying,juno,-1,-18.9900,0.1896
ox,falling,pit,1,-15.7600,0.4184
ox,falling,road,1,-15.1250,0.2680
ox,going,slaughter,1,-16.0000,0.0000
ox,goring,man,1,-13.1390,0.5807
ox,goring,slave,-1,-15.1850,0.7858
ox,herding,picture,-1,-10.2630,0.9898
ox,hiding,buskin,-1,-19.7310,0.3734
ox,hiding,sandal,-1,-17.5880,0.9047
ox,hiding,shield,-1,-16.5520,0.9634
ox,hiding,shilling,-1,-17.9000,0.7458
ox,hiding,thong,-1,-17.1430,0.6884
ox,killing,harvest,-1,-16.1260,0.8267
ox,knowing,master,-1,-15.2190,0.7698
ox,knowing,owner,-1,-15.6810,0.7216
ox,knowing,standard,-1,-15.1860,0.2076
ox,leading,slaughter,-1,-16.0490,0.0000
ox,leading,team,-1,-13.8020,0.3929
ox,licking,nose,1,-15.0490,1.0243
ox,lying,ground,1,-13.4500,0.5104
ox,making,home,-1,-13.0030,0.8550
ox,opening,mouth,1,-14.1110,0.9222
ox,opening,oyster,-1,-15.8510,0.9767
ox,ploughing,field,1,-12.2030,1.1975
ox,plowing,field,1,-12.3650,1.2052
ox,providing,entire,-1,-15.7610,0.3948
ox,pulling,cart,1,-10.0470,1.1397
ox,pulling,plough,1,-14.5810,1.0430
ox,pulling,plow,1,-13.7340,1.1583
ox,reposing,holiday,-1,-17.7210,0.1329
ox,resting,plough,-1,-17.6100,0.8440
ox,roasting,whole,-1,-12.5550,0.5238
ox,scraping,scalp,-1,-18.1150,0.8472
ox,securing,goodwill,-1,-16.2530,0.0000
ox,seeking,nourishment,-1,-15.0600,0.2969
ox,selling,drachma,-1,-19.0720,0.9761
ox,serving,child,-1,-15.3570,0.6763
ox,shivering,fear,-1,-15.5480,0.4060
ox,showing,proportion,-1,-15.0970,0.8485
ox,slaughtering,sheep,-1,-13.1410,0.6253
ox,steering,attempt,-1,-16.8640,0.7801
ox,steering,bull,-1,-15.0100,1.1318
ox,steering,bullock,-1,-17.4980,0.2611
ox,steering,cow,-1,-16.9200,1.0676
ox,steering,heifer,-1,-18.0940,1.1175
ox,stuffing,tow,-1,-17.3220,1.0046
ox,tracing,furrow,1,-18.5370,0.5048
ox,treading,corn,1,-10.5790,0.3935
ox,treading,grain,1,-10.2850,0.4757
ox,using,kind,-1,-14.9340,0.9476
ox,weighing,pound,-1,-15.1200,0.9608
ox,yoking,plough,1,-20.0890,1.0005
ox,yoking,plow,1,-19.5480,1.0049
