Subject,Verb,Object,Label,MSRLM Score,VisKE Score
person,basking,cat,-1,-15.0410,0.5024
person,biting,dog,-1,-11.9510,1.0445
person,biting,snake,1,-13.3130,1.0160
person,breaking,horse,-1,-13.0440,0.4307
person,buying,horse,1,-13.0510,0.2065
person,driving,horse,-1,-11.7560,1.0404
person,hiring,horse,1,-12.8700,0.0537
person,holding,dog,1,-11.7200,0.9463
person,holding,horse,-1,-12.0490,0.7106
person,injuring,dog,1,-13.3320,0.9229
person,keeping,dog,1,-12.6490,0.6674
person,keeping,horse,1,-13.0060,1.0339
person,killing,dog,1,-12.2810,0.8435
person,killing,tiger,1,-13.5680,1.0974
person,killing,whale,1,-14.0870,0.7594
person,killing,wolf,1,-13.4440,0.9331
person,leading,horse,1,-12.2800,1.0203
person,loving,horse,1,-12.4780,1.0758
person,milking,cow,1,-11.8900,1.0550
person,mounting,horse,1,-14.4600,1.1321
person,owning,dog,1,-12.2150,0.5493
person,presenting,whale,1,-13.7670,0.1572
person,purchasing,horse,1,-13.0680,1.0093
person,riding,horse,1,-10.5390,1.0462
person,seeing,lion,-1,-12.9850,1.1169
person,seeing,snake,-1,-13.3570,0.8753
person,sending,horse,-1,-13.9080,0.3083
person,shalling,bee,-1,-18.8140,1.0415
person,walking,dog,1,-10.3740,0.8423
