Subject,Verb,Object,Label,MSRLM Score,VisKE Score
pig,baking,whole,-1,-13.9740,1.0424
pig,bearing,march,-1,-15.3640,0.9739
pig,becoming,hog,1,-81.5970,1.2022
pig,becoming,president,-1,-78.1010,1.1005
pig,belonging,hudson,-1,-16.8060,0.5602
pig,boiling,side,-1,-14.5530,1.0430
pig,building,house,-1,-12.9250,0.5602
pig,catching,fence,-1,-14.8440,0.3333
pig,choosing,palace,-1,-16.0560,0.4307
pig,confirming,opinion,-1,-15.2620,1.0393
pig,dancing,jig,-1,-14.0290,1.0934
pig,drawing,gun,-1,-13.2770,1.0428
pig,eating,dinner,-1,-11.4630,1.0534
pig,facing,lady,-1,-14.8580,1.0494
pig,feeing,experiment,-1,-18.5580,1.1784
pig,finding,acorn,-1,-16.2660,0.9893
pig,footing,bandicoot,-1,-18.8730,1.0702
pig,frisking,pony,-1,-18.7800,0.2132
pig,giving,birth,1,-8.9600,1.0354
pig,giving,rise,-1,-11.7940,0.0000
pig,going,market,-1,-13.2860,0.7251
pig,grubbing,crop,1,-17.9230,0.0000
pig,heading,obstinacy,-1,-18.5940,0.5784
pig,imploring,blessing,-1,-18.7370,0.7848
pig,injuring,corn,1,-16.0090,0.9201
pig,jumping,stile,-1,-16.5800,0.4659
pig,keeping,fowl,-1,-13.9530,0.5428
pig,knowing,sunday,-1,-15.3310,0.8298
pig,lying,ditch,-1,-14.7780,0.0000
pig,making,house,-1,-13.0380,0.0000
pig,making,nothing,-1,-13.5700,0.9580
pig,making,ton,-1,-15.2000,0.8667
pig,moving,python,-1,-15.6970,0.4560
pig,obtaining,death,-1,-14.6010,0.8253
pig,paying,rent,-1,-12.7990,0.4511
pig,paying,slap,-1,-17.3240,1.0580
pig,picking,sky,-1,-14.2920,0.8179
pig,playing,bagpipe,-1,-14.5950,0.7867
pig,playing,part,-1,-12.8120,0.2330
pig,putting,foot,-1,-13.9150,1.0346
pig,receiving,name,-1,-13.5220,0.8575
pig,remembering,temptation,-1,-17.3890,0.5597
pig,requiring,stye,-1,-18.5490,0.6375
pig,responding,inoculation,-1,-18.3640,0.1252
pig,roasting,beef,-1,-9.9940,1.0590
pig,roasting,pit,1,-10.5130,0.0000
pig,rocking,cradle,-1,-12.6460,1.1321
pig,rolling,iron,-1,-14.0080,0.5309
pig,rooting,truffle,1,-16.0390,1.1172
pig,rooting,way,-1,-13.5090,0.1315
pig,running,leg,1,-13.4260,0.6816
pig,scaping,notice,-1,-17.5750,0.6399
pig,seeing,chapter,-1,-14.7680,0.1971
pig,seeing,table,-1,-14.9730,0.8109
pig,shivering,wind,-1,-15.9680,0.5042
pig,slinging,pole,-1,-17.6750,0.0000
pig,spelling,name,-1,-14.0340,0.7446
pig,staying,home,-1,-12.3380,0.7003
pig,struggling,swamp,-1,-17.1630,0.2931
pig,swinging,hook,-1,-13.7220,0.0000
pig,tailing,macaque,-1,-16.6630,1.0587
pig,tailing,monkey,-1,-14.8760,1.1483
pig,teaching,minerva,-1,-15.8090,0.7675
pig,twitching,nose,1,-13.7790,1.1017
pig,using,mossbauer,-1,-15.0860,0.7231
pig,wallowing,heap,-1,-16.4160,0.0000
pig,wallowing,mud,1,-13.3650,0.2833
pig,wearing,wig,-1,-13.0460,1.1245
pig,weighing,gram,-1,-13.5610,0.9293
pig,weighing,pound,-1,-14.3200,1.0911
pig,weighing,stone,-1,-13.6790,0.3359
