Subject,Verb,Object,Label,MSRLM Score,VisKE Score
rabbit,breaking,cover,-1,-14.0220,0.0000
rabbit,breeding,time,-1,-11.1050,1.1743
rabbit,catching,car,-1,-13.3400,0.2757
rabbit,catching,gin,-1,-15.3220,0.0000
rabbit,catching,glare,-1,-15.1530,0.5557
rabbit,catching,headlight,-1,-14.9030,0.7981
rabbit,catching,snare,-1,-15.0980,0.3566
rabbit,catching,trap,-1,-14.0590,0.9538
rabbit,catching,weasel,-1,-15.4620,1.1252
rabbit,collecting,duct,-1,-10.0940,0.5188
rabbit,collecting,tubule,-1,-10.0420,1.0857
rabbit,cooking,chicken,-1,-12.4390,1.1502
rabbit,crossing,path,1,-13.1650,0.6118
rabbit,crossing,road,1,-12.0670,0.5777
rabbit,cutting,piece,-1,-14.5570,0.6950
rabbit,darting,road,1,-14.7330,0.8867
rabbit,descending,colon,-1,-10.1240,1.0203
rabbit,fascinating,serpent,-1,-16.1740,0.8747
rabbit,fascinating,snake,-1,-15.5620,0.0000
rabbit,following,induction,-1,-13.5960,1.0136
rabbit,following,stimulation,-1,-8.8750,0.4629
rabbit,freezing,headlight,-1,-16.5430,0.7917
rabbit,giving,birth,1,-9.3040,1.1615
rabbit,giving,rise,-1,-11.7800,0.8226
rabbit,hunting,season,-1,-9.5130,0.8496
rabbit,hypnotizing,snake,-1,-16.1960,1.0854
rabbit,isolating,heart,-1,-16.6050,0.9757
rabbit,jumping,bag,-1,-13.4380,0.8536
rabbit,losing,meditation,-1,-16.0030,1.0193
rabbit,lying,side,1,-12.2740,1.1021
rabbit,mesmerizing,snake,-1,-16.0130,0.4158
rabbit,nictitating,membrane,-1,-9.4650,1.1515
rabbit,perfusing,lung,-1,-16.7490,0.9346
rabbit,pounding,rice,-1,-10.3560,1.0557
rabbit,producing,antibody,-1,-14.3280,0.9446
rabbit,pursuing,dog,-1,-15.5740,0.9175
rabbit,repeating,cry,-1,-16.7500,1.0953
rabbit,running,front,-1,-12.9150,0.3609
rabbit,running,past,-1,-10.7620,0.0000
rabbit,running,path,1,-12.8650,0.4972
rabbit,running,road,1,-12.2240,0.8862
rabbit,scurrying,road,1,-14.6580,0.0000
rabbit,seeing,chapter,-1,-14.6540,0.7945
rabbit,seeing,figure,-1,-14.9440,1.0533
rabbit,seeing,page,-1,-14.4250,0.9614
rabbit,serving,piece,-1,-13.6910,1.0887
rabbit,sitting,bank,-1,-13.7010,1.0624
rabbit,sitting,stump,1,-14.6110,1.0384
rabbit,skipping,road,-1,-14.9480,0.6336
rabbit,smothering,onion,-1,-17.6670,1.1531
rabbit,spitting,bulldog,-1,-18.0110,0.8914
rabbit,starting,top,-1,-14.0100,0.8557
rabbit,stewing,gravy,-1,-17.0050,1.2004
rabbit,tearing,piece,-1,-15.2460,0.5600
rabbit,trailing,hand,-1,-13.2800,0.4463
rabbit,vanishing,slope,-1,-15.1610,0.0000
rabbit,varying,hare,-1,-9.8490,1.1727
rabbit,wearing,glass,-1,-13.0560,1.1701
