Subject,Verb,Object,Label,MSRLM Score,VisKE Score
sheep,affecting,disease,-1,-14.0790,1.1028
sheep,affecting,scab,-1,-17.8440,1.1290
sheep,affecting,scrapie,-1,-18.3410,1.1579
sheep,appointing,meat,-1,-17.1780,0.7896
sheep,appointing,slaughter,-1,-18.2020,0.5628
sheep,awaiting,slaughter,-1,-10.4590,0.2864
sheep,bearing,bell,1,-14.7220,0.5621
sheep,bearing,wolf,-1,-15.9730,0.1764
sheep,becoming,food,-1,-13.5890,0.4695
sheep,becoming,man,-1,-13.1160,1.0354
sheep,becoming,mutton,-1,-15.9250,1.0023
sheep,bequeathing,man,-1,-17.6600,0.3964
sheep,bitting,ground,-1,-16.0390,0.0000
sheep,bleating,distance,-1,-13.7420,1.0113
sheep,bleating,goat,-1,-11.1050,1.0951
sheep,bleating,hill,-1,-13.6920,1.0045
sheep,breaking,fast,-1,-13.3420,0.9549
sheep,breaking,leg,1,-13.8050,0.8643
sheep,breeding,purpose,-1,-11.9850,1.1565
sheep,breeding,scotland,-1,-13.5570,0.9793
sheep,bringing,home,-1,-11.8070,0.4804
sheep,bringing,slaughter,-1,-15.3850,0.9103
sheep,bringing,spain,-1,-14.4090,0.0000
sheep,burying,snow,-1,-16.5580,1.1034
sheep,carrying,capacity,-1,-10.0610,0.0000
sheep,catching,salmon,-1,-13.1810,0.7172
sheep,changing,hand,-1,-14.0590,0.7826
sheep,chasing,wolf,-1,-79.2910,0.7777
sheep,commanding,lion,-1,-16.2500,0.9709
sheep,committing,care,-1,-17.3750,0.5315
sheep,committing,charge,-1,-17.4670,0.9209
sheep,conceiving,affection,-1,-18.6800,0.4303
sheep,connecting,inauguration,-1,-17.8180,0.2392
sheep,crawling,fence,1,-16.4350,0.7535
sheep,crossing,road,1,-10.2310,0.7684
sheep,cutting,furze,-1,-15.0700,0.3077
sheep,cutting,quarters,-1,-14.8500,0.4744
sheep,cutting,throat,-1,-14.1150,0.4576
sheep,departing,halo,-1,-16.9400,0.6820
sheep,designing,slaughter,-1,-16.7490,0.3317
sheep,destining,slaughter,-1,-20.1820,0.6321
sheep,destroying,lamb,-1,-16.2360,1.1682
sheep,devouring,man,-1,-13.7660,0.9829
sheep,devouring,wolf,-1,-13.5990,1.1574
sheep,dooming,slaughter,-1,-19.4300,0.8851
sheep,drinking,water,1,-10.1240,0.9369
sheep,driving,camp,-1,-14.5500,0.2952
sheep,driving,home,-1,-11.7980,0.2355
sheep,driving,slaughter,-1,-16.3270,0.8661
sheep,dunging,ground,-1,-18.6550,0.0197
sheep,dying,anthrax,1,-15.2310,0.0976
sheep,dying,fatigue,-1,-15.0900,0.0000
sheep,dying,field,1,-13.6760,0.0000
sheep,dying,rot,-1,-16.0380,1.0233
sheep,dying,starvation,1,-15.0750,0.8028
sheep,eating,flesh,-1,-9.3800,0.6304
sheep,eating,leaf,1,-10.4330,1.1077
sheep,eating,man,-1,-12.5770,0.8474
sheep,eating,meat,-1,-10.2210,1.1515
sheep,enduring,peril,-1,-18.1880,0.6305
sheep,esteeming,happiness,-1,-19.2320,0.4306
sheep,estimating,wheat,-1,-15.4520,0.2154
sheep,exceeding,number,-1,-14.3820,0.4801
sheep,falling,monster,-1,-14.9910,0.3912
sheep,falling,pit,1,-15.1740,0.8589
sheep,feeing,batten,-1,-19.8600,0.4489
sheep,feeing,lamb,1,-18.6630,1.1523
sheep,feeing,pig,-1,-18.6910,0.9793
sheep,feeing,raven,-1,-18.8830,1.0646
sheep,feeing,shepherd,-1,-18.7530,0.8603
sheep,filching,drover,-1,-21.0790,0.2701
sheep,finding,mountain,-1,-14.7080,0.8548
sheep,finding,pasturage,-1,-16.0440,1.1229
sheep,finding,pasture,-1,-14.8120,1.0367
sheep,finding,shelter,-1,-13.3440,0.0000
sheep,finding,way,-1,-13.7180,0.6199
sheep,flourishing,locality,-1,-15.2410,0.0000
sheep,flying,seagull,-1,-13.3410,0.8282
sheep,following,administration,-1,-10.3610,1.0420
sheep,following,bell,1,-13.8680,0.5611
sheep,following,domestication,-1,-14.8470,0.1288
sheep,following,god,-1,-12.5190,1.0571
sheep,following,leader,-1,-14.2220,0.8268
sheep,following,ram,1,-14.0650,1.1437
sheep,following,shepherd,1,-14.7390,1.1157
sheep,foretelling,plenty,-1,-18.3960,0.4430
sheep,freezing,death,1,-14.1300,0.4849
sheep,frightening,dog,-1,-15.2970,0.9588
sheep,furnishing,wool,1,-15.7780,0.8093
sheep,giving,birth,1,-9.2140,1.2024
sheep,giving,completion,-1,-15.2060,0.0000
sheep,giving,diet,-1,-14.5130,0.0000
sheep,giving,milk,1,-10.7990,1.1197
sheep,giving,rise,-1,-11.6440,0.0000
sheep,giving,way,-1,-12.0250,0.0000
sheep,giving,wool,1,-15.2480,1.1474
sheep,glittering,sunshine,-1,-15.4370,0.0677
sheep,going,gate,-1,-14.4300,0.0000
sheep,going,market,-1,-13.0190,0.0000
sheep,going,slaughter,1,-14.9870,0.0000
sheep,governing,man,-1,-15.0220,0.7566
sheep,grazing,area,1,-9.6370,1.1124
sheep,grazing,cattle,-1,-10.4190,1.2068
sheep,grazing,country,1,-9.7780,1.1602
sheep,grazing,distance,-1,-12.1820,1.0917
sheep,grazing,field,1,-10.5770,1.2067
sheep,grazing,hill,1,-11.2380,1.0216
sheep,grazing,hillside,1,-13.0570,0.7931
sheep,grazing,land,1,-9.6310,1.1310
sheep,grazing,meadow,1,-11.3040,1.1536
sheep,grazing,neighborhood,-1,-13.0870,1.1785
sheep,grazing,pasture,1,-10.0730,1.1796
sheep,grazing,slope,1,-12.7590,0.7187
sheep,grazing,system,-1,-10.3730,1.0806
sheep,grazing,valley,1,-12.5070,1.1076
sheep,grazing,vicinity,1,-14.1960,0.8518
sheep,growing,wool,1,-14.1770,1.1650
sheep,hailing,snow,-1,-15.6120,0.0000
sheep,hanging,haunch,-1,-17.9980,0.0000
sheep,hanging,head,1,-13.0170,1.0521
sheep,hearing,shepherd,-1,-15.5820,1.0840
sheep,hearing,voice,-1,-14.1260,0.8501
sheep,horning,cattle,-1,-16.0070,0.4738
sheep,hounding,pinfold,-1,-20.7310,0.0000
sheep,imbuing,hand,-1,-17.6250,0.5573
sheep,importing,england,-1,-16.3200,1.0754
sheep,importing,europe,-1,-15.1270,1.0959
sheep,importing,spain,-1,-16.2860,0.0000
sheep,including,lamb,-1,-10.0740,1.2143
sheep,infecting,flock,-1,-17.0720,1.0041
sheep,infecting,scrapie,-1,-18.4550,1.0723
sheep,infringing,goat,-1,-18.2500,0.3566
sheep,intending,slaughter,-1,-17.6940,0.3886
sheep,issuing,river,-1,-15.8570,0.0000
