Subject,Verb,Object,Label,MSRLM Score,VisKE Score
snail,crawling,evening,1,-14.8410,0.5854
snail,crawling,middle,-1,-14.4280,0.6596
snail,creeping,hive,-1,-16.8500,0.0000
snail,dissolving,slime,-1,-16.7830,1.0632
snail,laying,egg,1,-13.8180,1.1168
snail,leaving,egg,1,-15.3350,1.1455
snail,leaving,slime,1,-15.7580,1.0439
snail,leaving,trail,1,-14.8510,0.9414
snail,penetrating,skin,-1,-15.3120,1.0139
snail,putting,horn,-1,-16.6880,1.0083
snail,reaching,ark,-1,-17.0530,0.8541
snail,reaching,top,-1,-13.7150,1.0822
