Subject,Verb,Object,Label,MSRLM Score,VisKE Score
snake,abiding,side,-1,-15.9190,0.0000
snake,adding,leg,-1,-15.1750,0.7653
snake,attaining,length,-1,-15.2780,1.1578
snake,basking,midst,-1,-17.2030,0.1923
snake,basking,sun,1,-13.7420,1.1684
snake,biting,antidote,-1,-13.9670,0.8877
snake,biting,man,1,-12.3530,0.9415
snake,biting,medicine,-1,-14.0430,1.1323
snake,biting,person,1,-13.5980,0.9225
snake,biting,poisoning,-1,-13.9410,1.0971
snake,biting,prey,1,-13.3010,1.1752
snake,biting,serum,-1,-15.0360,1.0402
snake,biting,tail,-1,-10.1160,1.0828
snake,biting,treatment,-1,-12.7110,1.0645
snake,biting,victim,1,-13.4110,0.7799
snake,biting,wound,-1,-13.7710,0.8379
snake,biting,year,-1,-13.3530,1.1137
snake,bitting,child,1,-14.2380,0.8021
snake,bitting,man,1,-14.1240,0.7861
snake,boring,something,-1,-14.4820,0.5556
snake,breathing,ear,-1,-14.2160,0.8627
snake,changing,skin,-1,-13.9430,1.0388
snake,charming,bird,-1,-12.0350,0.9983
snake,chasing,tail,-1,-11.9370,0.8979
snake,climbing,tree,1,-10.5980,0.9004
snake,coiling,body,1,-12.8130,0.9864
snake,coiling,doorstep,1,-16.1230,0.6135
snake,coiling,neck,1,-14.7410,1.0946
snake,coiling,waist,-1,-15.1420,0.8959
snake,coiling,wing,-1,-14.9710,1.0835
snake,continuing,bottom,-1,-16.4820,1.0863
snake,crawling,road,1,-12.6550,1.1346
snake,crawling,room,1,-13.5650,0.4168
snake,crawling,stick,1,-14.3310,0.3858
snake,crawling,throat,-1,-14.3310,0.6597
snake,creeping,camp,-1,-15.1250,0.0350
snake,creeping,nest,1,-15.8670,0.6736
snake,creeping,sky,-1,-15.1390,1.0065
snake,crossing,path,1,-13.1040,0.4755
snake,crossing,road,1,-10.5300,0.9014
snake,crossing,way,-1,-12.1190,0.0820
snake,crushing,prey,1,-14.3370,1.1464
snake,cutting,part,-1,-13.3650,0.7160
snake,cutting,piece,-1,-14.4700,0.3727
snake,darting,poison,-1,-14.2510,0.9202
snake,deriving,name,-1,-16.5550,1.0312
snake,devouring,tail,-1,-15.3290,1.1058
snake,discarding,skin,1,-13.7390,0.9072
snake,dividing,part,-1,-14.6000,0.4960
snake,dogging,victim,-1,-17.4540,0.7976
snake,dropping,ground,-1,-14.3750,0.6709
snake,dropping,head,-1,-13.8610,0.8750
snake,dying,thirst,1,-14.7180,0.9192
snake,easing,shoulder,-1,-14.8560,0.1683
snake,eating,frog,1,-9.4360,1.2241
snake,eating,mouse,1,-9.7990,1.1731
snake,eating,tail,-1,-10.2670,1.0277
snake,engendering,dove,-1,-18.7380,0.4666
snake,enrolling,coil,-1,-17.6850,0.8258
snake,entering,retreat,-1,-14.7540,0.1175
snake,envying,wind,-1,-18.1840,0.9131
snake,falling,ground,-1,-14.1580,0.6002
snake,fascinating,bird,-1,-14.1990,0.8823
snake,finding,way,-1,-13.8980,0.9649
snake,flicking,tongue,1,-12.4570,1.0545
snake,forming,conclusion,-1,-15.3110,0.6829
snake,getting,name,-1,-13.8200,0.7309
snake,giving,birth,-1,-9.4100,0.8401
snake,giving,chase,-1,-13.2470,0.6345
snake,gliding,forest,-1,-14.5880,1.1435
snake,gliding,path,-1,-13.5600,0.8151
snake,going,hole,1,-14.3940,1.1148
snake,growing,length,-1,-14.3890,0.8632
snake,hanging,corral,-1,-16.3610,0.7751
snake,hanging,hand,-1,-12.7710,0.9376
snake,hanging,tree,1,-12.1850,0.5474
snake,hissing,sss,1,-13.4950,0.6780
snake,holding,tail,-1,-14.0860,1.0079
snake,hunting,frog,1,-10.3990,1.1627
snake,imagining,rope,-1,-17.5260,0.6517
snake,injecting,venom,1,-13.6790,1.0989
snake,inventing,poison,-1,-16.6210,1.0258
snake,issuing,mouth,-1,-16.7030,0.6421
snake,killing,prey,1,-12.8880,1.1629
snake,laying,egg,1,-13.0960,1.1906
snake,laying,path,1,-14.3370,0.8372
snake,lifting,head,1,-13.7340,0.8538
snake,lowering,head,1,-14.9330,0.0300
snake,lying,anthill,-1,-17.3140,0.7935
snake,lying,ground,1,-12.6610,0.9077
snake,lying,road,1,-14.0400,0.9546
snake,lying,wait,-1,-13.8790,0.9893
snake,making,appearance,-1,-14.2690,1.0381
snake,making,daddy,-1,-14.1260,1.0705
snake,making,nest,1,-14.5630,1.0926
snake,making,sound,-1,-12.8680,0.0000
snake,making,track,-1,-13.9950,0.0000
snake,making,way,-1,-12.6520,0.3775
snake,missing,stroke,-1,-15.1990,0.6063
snake,moving,head,1,-10.3490,0.5815
snake,opening,mouth,1,-13.6910,1.0616
snake,poking,head,1,-12.7870,0.0000
snake,proving,identity,-1,-13.7380,0.5632
snake,putting,head,-1,-14.0850,0.5461
snake,putting,tail,-1,-15.3440,0.6872
snake,quoting,aristotle,-1,-14.3020,0.9813
snake,raising,head,1,-14.2130,0.9085
snake,reaching,length,-1,-14.5830,1.1464
snake,rearing,head,1,-13.8040,0.6528
snake,receiving,marsh,-1,-17.1380,0.9386
snake,renewing,winter,-1,-16.7410,0.8040
snake,rubbing,nose,1,-13.9090,1.1175
snake,running,water,-1,-11.5410,0.3176
snake,seeing,figure,-1,-14.5450,1.0439
snake,seeing,noose,-1,-16.9610,0.9657
snake,seeing,orlando,-1,-14.5290,0.8575
snake,seeing,page,-1,-14.0260,1.0135
snake,seeing,rope,-1,-15.4830,0.0000
snake,seeing,serpent,-1,-15.9180,0.9323
snake,seizing,bird,1,-15.6850,0.7247
snake,shaking,tail,1,-14.2840,1.1134
snake,shedding,skin,1,-9.5390,1.0763
snake,sinking,fang,1,-17.3400,0.6660
snake,slavering,rabbit,-1,-18.8630,0.9822
snake,sleeping,sun,1,-12.6380,0.2756
snake,slithering,path,1,-12.4850,0.0000
snake,slithering,road,1,-13.2770,1.0525
snake,sloughing,skin,1,-12.6420,0.8161
snake,sparing,worm,-1,-18.1830,0.7909
snake,speaking,truth,-1,-12.9350,0.7664
snake,squeezing,prey,1,-80.0950,0.5874
snake,standing,evil,-1,-14.9530,0.8449
snake,standing,tail,1,-14.5020,0.7704
snake,sticking,head,-1,-13.9230,1.0696
snake,sticking,tongue,-1,-10.6210,1.1169
snake,striking,warning,-1,-14.0820,1.0657
snake,supplying,place,-1,-15.9710,0.4571
snake,supporting,world,-1,-13.9770,1.1069
snake,swallowing,egg,1,-14.5710,1.2262
snake,swallowing,frog,1,-14.2940,1.2225
snake,swallowing,prey,1,-13.6570,1.2014
snake,swallowing,rat,1,-13.8290,1.1992
snake,swallowing,tail,-1,-10.5980,1.0330
snake,symbolizing,disease,-1,-14.0860,1.0222
snake,taking,man,-1,-13.7070,0.7158
snake,telling,eve,-1,-14.5670,0.9903
snake,tempting,eve,-1,-10.6120,1.0371
snake,threading,body,-1,-13.9250,0.8275
snake,transmitting,circle,-1,-17.0040,0.8366
snake,turning,head,1,-13.0940,0.8178
snake,using,tongue,1,-13.7390,1.1444
snake,vanishing,weed,1,-15.4300,0.6080
snake,vibrating,tail,1,-14.0260,1.1743
snake,waiting,weed,1,-16.1710,1.1289
snake,waking,torpor,-1,-18.9390,0.0000
snake,winding,head,-1,-13.0760,0.7003
snake,winding,way,-1,-11.2880,0.5183
snake,working,way,-1,-14.2050,0.6254
snake,wrappeding,neck,1,-22.4170,0.9663
snake,writhing,impatience,-1,-17.0790,0.8111
