Subject,Verb,Object,Label,MSRLM Score,VisKE Score
squirrel,beginning,chatter,-1,-17.3330,0.8829
squirrel,carrying,purpose,-1,-14.6860,1.0255
squirrel,climbing,tree,1,-10.6320,1.0857
squirrel,collecting,nut,1,-15.3410,1.1218
squirrel,cracking,nut,1,-14.7260,1.1194
squirrel,dodging,way,-1,-15.2630,0.4462
squirrel,dropping,nut,1,-15.2140,1.0536
squirrel,eating,nut,1,-9.6030,1.2427
squirrel,falling,ground,1,-14.4330,1.0333
squirrel,falling,prey,-1,-12.7730,0.7615
squirrel,finding,acorn,1,-16.5390,1.1120
squirrel,finding,nut,1,-15.9520,1.1105
squirrel,finding,wood,-1,-14.6150,0.9292
squirrel,flashing,mind,-1,-15.9800,0.4857
squirrel,holding,nut,1,-9.7500,1.1712
squirrel,infesting,place,1,-17.0880,0.8963
squirrel,knocking,heart,-1,-15.0890,0.9102
squirrel,leaping,yard,1,-15.4910,0.8678
squirrel,patting,nut,-1,-18.4980,1.0438
squirrel,running,bole,-1,-16.4960,0.6044
squirrel,running,fence,1,-13.9110,0.5099
squirrel,running,front,-1,-13.4510,0.1473
squirrel,running,path,1,-13.4010,0.5918
squirrel,running,road,1,-12.7600,0.9636
squirrel,running,tree,1,-14.3280,0.9813
squirrel,running,trunk,1,-14.8310,1.0547
squirrel,scampering,fence,1,-15.5180,0.7649
squirrel,scampering,tree,1,-14.7550,1.0045
squirrel,squealing,monkey,-1,-15.0620,0.8476
squirrel,using,tail,1,-14.0590,1.1973
