Subject,Verb,Object,Label,MSRLM Score,VisKE Score
tiger,baiting,dog,-1,-13.2280,1.0335
tiger,bearing,bear,-1,-14.2890,1.0646
tiger,beating,jungle,-1,-15.2370,1.1661
tiger,beginning,roar,-1,-16.6420,1.1789
tiger,binding,jungle,-1,-16.5800,0.7713
tiger,breaking,cover,-1,-13.5700,0.6391
tiger,burning,heat,-1,-12.3290,0.7469
tiger,bursting,sunlight,-1,-15.5790,0.3396
tiger,carrying,man,-1,-13.5650,0.8305
tiger,changing,stripe,-1,-15.4670,0.8385
tiger,clawing,snake,-1,-15.9630,0.9034
tiger,crouching,dragon,-1,-9.7210,0.9863
tiger,crouching,jungle,1,-14.1100,1.1017
tiger,crouching,prey,-1,-15.8930,1.1046
tiger,crouching,spring,-1,-14.5080,1.0093
tiger,draging,man,1,-17.6180,0.6198
tiger,driving,bay,-1,-15.0180,0.4151
tiger,eating,man,1,-12.8470,1.1284
tiger,establishing,robin,-1,-16.3480,1.0355
tiger,finding,nothing,-1,-13.2040,0.7293
tiger,finding,place,-1,-13.9450,0.2246
tiger,following,movement,-1,-14.4500,0.5932
tiger,going,howl,-1,-81.7330,0.5668
tiger,hanging,pool,-1,-13.6050,0.6627
tiger,healing,trauma,-1,-8.7580,0.8254
tiger,hunting,indium,-1,-16.3660,0.6134
tiger,killing,kuki,-1,-16.9920,0.0000
tiger,killing,man,1,-12.1580,1.0602
tiger,killing,something,-1,-12.6480,1.2073
tiger,leaping,prey,1,-15.7190,1.1892
tiger,leaping,way,-1,-13.4550,0.9026
tiger,licking,blood,1,-14.1590,1.0753
tiger,losing,patience,-1,-12.7980,1.1082
tiger,losing,tail,-1,-14.6390,1.1172
tiger,lying,ground,1,-12.8070,1.1507
tiger,lying,wait,-1,-14.0250,1.1568
tiger,making,appearance,-1,-14.3440,1.0692
tiger,making,dash,-1,-14.9540,0.4687
tiger,making,spring,-1,-13.8600,0.9551
tiger,possessing,bosom,-1,-17.7140,0.9250
tiger,pouncing,prey,1,-12.9380,1.1318
tiger,prowling,fold,-1,-14.9800,0.0658
tiger,raising,head,1,-14.2560,1.0111
tiger,seizing,crocodile,1,-15.2250,0.4490
tiger,seizing,prey,1,-13.7280,1.0494
tiger,sharking,galeocerdo,-1,-21.3470,1.1685
tiger,shooting,foot,-1,-13.9570,0.9385
tiger,shooting,indium,-1,-16.7790,0.7226
tiger,shuddering,approach,-1,-17.2770,0.5566
tiger,softening,lion,-1,-17.2710,0.8646
tiger,spreading,scent,-1,-15.9810,0.7793
tiger,springing,jungle,1,-16.4020,0.7665
tiger,springing,lair,1,-17.2980,0.2884
tiger,springing,prey,1,-16.8320,0.9058
tiger,stalking,prey,-1,-10.3490,1.2168
tiger,stooping,head,1,-15.3010,0.2002
tiger,striking,blow,1,-13.9080,1.0482
tiger,taming,lion,-1,-78.8100,1.0924
tiger,tasting,blood,-1,-10.8170,0.9831
tiger,tearing,prey,1,-13.8070,1.1080
tiger,thirsting,blood,-1,-14.5890,0.4114
tiger,trying,bar,-1,-15.4120,0.3158
tiger,turning,tail,1,-13.7320,0.4716
tiger,waggling,head,1,-16.3990,1.1050
tiger,waiting,spring,-1,-14.6170,0.7534
tiger,wanting,sheep,-1,-15.9450,0.9512
tiger,watching,prey,-1,-14.8680,1.2120
tiger,whelping,ease,-1,-18.1090,0.8027
tiger,whining,puppy,-1,-15.0480,1.1647
