Subject,Verb,Object,Label,MSRLM Score,VisKE Score
turtle,basking,sun,1,-12.8320,1.0651
turtle,breaking,surface,1,-14.3860,0.6889
turtle,clinching,argument,-1,-14.9830,0.5740
turtle,composing,essay,-1,-16.0650,0.5527
turtle,crossing,road,1,-10.5480,1.1738
turtle,digging,hole,1,-10.6800,1.1760
turtle,drawing,square,-1,-13.8330,1.1257
turtle,entering,dust,-1,-15.9700,0.6219
turtle,excluding,device,-1,-10.0910,0.4656
turtle,failing,venison,-1,-18.2460,0.9167
turtle,floating,surface,1,-12.8320,1.1222
turtle,frequenting,ocean,-1,-17.9070,0.2883
turtle,getting,name,-1,-14.0500,0.9145
turtle,laying,egg,1,-12.7750,1.2336
turtle,laying,verandah,-1,-17.0950,0.0000
turtle,living,land,1,-13.6120,1.0416
turtle,lying,back,-1,-12.4490,1.0376
turtle,making,progress,-1,-12.0360,0.8366
turtle,mourning,dove,-1,-12.1200,1.1284
turtle,nesting,activity,-1,-8.8780,1.0025
turtle,nesting,area,-1,-9.1740,1.0693
turtle,nesting,beach,1,-8.9390,0.1283
turtle,nesting,ground,-1,-9.3470,1.1613
turtle,nesting,habitat,-1,-8.9880,1.0448
turtle,nesting,season,-1,-8.3060,1.0737
turtle,nesting,site,-1,-9.0760,1.1467
turtle,pulling,head,-1,-12.9930,0.8878
turtle,standing,back,-1,-12.3560,0.9989
turtle,standing,money,-1,-13.7690,1.0137
turtle,standing,protoplasm,-1,-17.7720,0.2762
turtle,sunning,back,-1,-13.6970,0.2716
turtle,turning,back,-1,-11.6360,0.8447
turtle,withdrawing,head,1,-15.0940,1.1537
