Subject,Verb,Object,Label,MSRLM Score,VisKE Score
whale,abating,speed,-1,-17.7270,0.0000
whale,accompanying,calf,1,-16.0820,1.0414
whale,answering,tom,-1,-15.9320,0.0000
whale,appearing,head,-1,-15.1110,1.1178
whale,arming,jaw,-1,-18.6080,0.2914
whale,arriving,greenland,-1,-16.5040,0.2693
whale,attacking,brotherhood,-1,-15.0930,0.1816
whale,attacking,side,-1,-12.7760,1.1245
whale,attaining,length,-1,-16.4840,0.7973
whale,basking,shark,-1,-10.0050,1.0663
whale,belonging,family,1,-14.1830,1.1026
whale,belonging,pod,1,-17.1650,0.9658
whale,breaking,surface,1,-14.2010,1.1552
whale,breaking,water,1,-13.8130,1.0448
whale,breathing,air,1,-11.6510,1.0010
whale,carrying,jonah,-1,-16.0940,0.6175
whale,closing,mouth,1,-15.1460,0.9551
whale,continuing,day,-1,-14.8540,0.0778
whale,contrasting,expression,-1,-14.7750,0.7715
whale,drawing,scale,-1,-12.801,1.0031
whale,drowning,mariner,-1,-15.0210,0.2448
whale,entangling,line,-1,-14.3630,0.9627
whale,exhibiting,london,-1,-15.3090,0.1463
whale,feeing,ground,-1,-18.2360,0.9634
whale,floating,surface,1,-12.9490,1.1698
whale,geting,name,-1,-17.1210,0.1689
whale,geting,throat,-1,-18.1420,1.0039
whale,getting,name,-1,-14.2280,0.8291
whale,giving,birth,1,-10.0220,1.0808
whale,glittering,spout,-1,-18.8160,0.9299
whale,going,flurry,-1,-82.5790,0.7221
whale,going,stair,-1,-81.4860,0.0440
whale,going,way,-1,-78.4640,0.7466
whale,grinding,ocean,-1,-16.7040,0.0000
whale,hanging,ceiling,-1,-12.6910,0.0000
whale,humming,water,-1,-14.6300,0.0000
whale,illuminating,dwelling,-1,-18.2070,0.1023
whale,knowing,name,-1,-15.2280,0.9483
whale,landing,prophet,-1,-16.2850,0.2078
whale,living,sea,1,-13.9060,0.5957
whale,lying,side,-1,-12.9460,0.8733
whale,making,appearance,-1,-14.5760,0.6578
whale,making,water,-1,-13.1540,1.1377
whale,mentioning,book,-1,-16.2400,0.4013
whale,modifying,direction,-1,-16.4480,0.4230
whale,mooring,night,-1,-16.5360,0.0000
whale,opening,mouth,1,-13.8780,1.1069
whale,preceding,chapter,-1,-13.6510,0.2289
whale,pursuing,coast,-1,-16.3610,1.1003
whale,reaching,length,-1,-14.9350,0.9939
whale,reaching,surface,1,-13.8060,1.1323
whale,relaxing,wrath,-1,-17.6180,0.0000
whale,remaining,water,-1,-13.4220,0.7702
whale,rising,ice,-1,-14.7580,1.0651
whale,rising,surface,1,-14.3230,1.1869
whale,scaping,boat,-1,-18.1890,0.0262
whale,seeing,time,-1,-13.7090,0.9916
whale,serving,jonah,-1,-17.5240,0.8395
whale,shoring,fly,-1,-17.8610,0.0000
whale,slumbering,torpidity,-1,-22.1030,0.2279
whale,spouting,blood,-1,-10.9840,0.0019
whale,spouting,distance,1,-13.9970,1.1718
whale,spouting,water,1,-9.8940,1.1566
whale,standing,brute,-1,-16.7430,0.0408
whale,staying,water,-1,-15.7590,0.0000
whale,stranding,beach,1,-13.2380,1.1320
whale,stranding,shore,1,-14.3760,1.1624
whale,striking,ship,-1,-14.5130,0.6998
whale,surfacing,air,1,-13.2960,1.1505
whale,suspending,ceiling,-1,-15.5000,0.6082
whale,swallowing,gudgeon,-1,-18.1590,0.5687
whale,swallowing,jonah,-1,-10.0100,0.7917
whale,swimming,calf,1,-14.7820,1.2153
whale,swimming,head,-1,-12.7840,1.2058
whale,swimming,ocean,1,-12.7150,1.1706
whale,swimming,sea,1,-12.7330,1.1909
whale,taking,place,-1,-11.1100,0.0000
whale,taking,shetland,-1,-16.0830,0.7104
whale,tearing,hunter,-1,-16.6010,0.8333
whale,telling,lie,-1,-14.3100,0.2365
whale,thrilling,generation,-1,-16.0350,0.5779
whale,treating,factory,-1,-16.4320,0.2572
whale,watching,boat,-1,-8.1870,1.0067
whale,watching,cruise,-1,-7.8150,1.1568
whale,watching,excursion,-1,-8.6250,0.7421
whale,watching,expedition,-1,-8.7430,0.8676
whale,watching,industry,-1,-8.8440,0.7464
whale,watching,season,-1,-7.7770,1.1132
whale,watching,sprinkling,-1,-14.3030,0.9092
whale,watching,tour,-1,-7.7540,1.1772
whale,watching,trip,-1,-8.1600,1.1068
whale,watching,vessel,-1,-9.0060,0.8645
whale,yielding,fin,-1,-17.6920,0.7526
