Subject,Verb,Object,Label,MSRLM Score,VisKE Score
wolf,accusing,lamb,-1,-16.8000,0.9058
wolf,accusing,sheep,-1,-16.8370,1.1384
wolf,appearing,harvest,-1,-81.5750,0.6917
wolf,asking,sheep,-1,-15.8830,1.0390
wolf,attacking,flock,1,-14.8290,1.0974
wolf,attacking,human,1,-12.7490,1.0747
wolf,baring,tooth,1,-16.6720,1.2205
wolf,baying,moon,-1,-13.3090,1.0601
wolf,bowing,head,1,-13.4400,1.0599
wolf,bringing,bay,-1,-15.2120,0.0000
wolf,bringing,home,-1,-11.8370,1.0187
wolf,carrying,choice,-1,-15.1650,0.6644
wolf,carrying,sheep,1,-14.4300,0.1551
wolf,catching,sheep,1,-14.0620,1.0517
wolf,catching,sight,-1,-12.6710,0.0000
wolf,catching,trap,-1,-14.3910,0.8033
wolf,changing,coat,1,-14.5780,1.1204
wolf,changing,stroke,-1,-14.6120,0.8486
wolf,commenting,judge,-1,-16.6790,1.1489
wolf,continuing,ravage,-1,-17.6490,0.4379
wolf,creeping,camp,1,-15.9340,0.0000
wolf,cubbing,law,-1,-14.1670,0.0000
wolf,devouring,lamb,1,-15.7250,1.0233
wolf,devouring,little,-1,-13.5670,0.8548
wolf,devouring,sheep,1,-13.4620,1.1290
wolf,disarming,ferocity,-1,-19.3380,0.9353
wolf,disguising,sheep,-1,-16.4650,0.8281
wolf,drawing,head,-1,-12.5540,1.1349
wolf,dressing,sheep,-1,-15.2080,0.7567
wolf,dwelling,lamb,-1,-16.6810,0.4754
wolf,dying,silence,-1,-14.8820,1.0785
wolf,eating,grandmother,-1,-14.9050,1.0430
wolf,eating,lamb,1,-13.4290,1.1437
wolf,eating,little,-1,-12.5770,1.0644
wolf,eating,sheep,1,-13.6380,1.1589
wolf,eating,sugar,-1,-12.4710,0.8473
wolf,employing,lamb,-1,-16.5040,1.0039
wolf,entering,house,-1,-14.0000,0.4846
wolf,expressing,desire,-1,-14.1210,0.8162
wolf,expressing,displeasure,-1,-13.9170,0.9595
wolf,falling,ground,1,-13.8390,0.6081
wolf,falling,lamb,-1,-14.8530,0.9139
wolf,fighting,bull,-1,-12.5860,1.1353
wolf,finding,fawn,-1,-16.0170,1.1295
