Subject,Verb,Object,Label,MSRLM Score,VisKE Score
woman,becoming,wolf,-1,-13.6650,1.1153
woman,bidding,cow,1,-16.7680,0.5004
woman,boiling,goat,1,-15.1740,1.0442
woman,carrying,dog,1,-10.5980,0.8412
woman,crowing,hen,-1,-13.0760,1.0311
woman,driving,cow,1,-14.0620,0.5009
woman,driving,horse,1,-10.2690,0.3207
woman,herding,sheep,1,-10.6450,0.8499
woman,holding,bird,1,-10.0370,1.0448
woman,holding,bison,-1,-13.5470,1.0772
woman,holding,cat,1,-10.0010,1.1425
woman,holding,dog,1,-9.9350,1.0996
woman,holding,snake,1,-12.3840,1.0191
woman,leading,cow,1,-14.1950,0.6683
woman,leading,goat,1,-14.4720,0.7338
woman,leading,horse,1,-10.3680,0.9088
woman,marrying,bear,-1,-14.1380,0.9952
woman,marrying,dog,-1,-13.6780,1.0134
woman,milking,cow,1,-9.5420,0.9567
woman,milking,goat,1,-10.5050,0.4542
woman,mounting,horse,1,-15.0070,1.0521
woman,murmuring,cow,-1,-15.9940,0.0000
woman,owning,cow,1,-15.5470,1.0798
woman,owning,dog,1,-13.3110,0.8640
woman,playing,cat,1,-11.7830,1.0438
woman,putting,cat,1,-12.7790,1.0569
woman,riding,horse,1,-9.0670,1.1173
woman,stopping,horse,1,-13.8160,0.2543
woman,swallowing,cow,-1,-14.8310,0.5113
woman,swallowing,dog,-1,-10.4490,1.0423
woman,swallowing,horse,-1,-10.1310,0.9732
woman,tending,sheep,1,-10.8060,0.0123
woman,walking,dog,1,-8.3870,1.0865
woman,wearing,mink,1,-12.1150,1.1820
