Subject,Verb,Object,Label,MSRLM Score,VisKE Score
bear,accepting,tom,-1,-15.3230,1.0725
bear,according,bruce,-1,-14.7850,0.9319
bear,according,custom,-1,-14.5850,0.9443
bear,adorning,ribbon,-1,-16.1440,0.9971
bear,affecting,disease,-1,-14.4100,1.0642
bear,assuming,suit,-1,-15.9750,0.7997
bear,attaching,buggy,-1,-17.0820,0.9342
bear,attaching,cuff,-1,-15.4260,1.0197
bear,attacking,lion,-1,-11.0600,1.0888
bear,attacking,side,-1,-12.0740,1.1354
bear,attuning,spirit,-1,-18.1480,1.0444
bear,baring,tooth,1,-16.5100,1.0358
bear,barking,cat,-1,-12.4690,1.0786
bear,barking,night,-1,-14.3510,1.0430
bear,barking,squirrel,-1,-13.0050,0.9066
bear,barking,stranger,-1,-15.9400,1.0986
bear,basking,shark,-1,-12.1970,1.0590
bear,bearing,tattoo,-1,-14.8530,1.0586
bear,beating,jungle,-1,-14.5240,0.9869
bear,beating,unicorn,-1,-15.8930,1.0376
bear,becoming,child,-1,-13.8630,1.1057
bear,becoming,companion,-1,-15.1990,1.1002
bear,becoming,symbol,-1,-14.7090,0.9684
bear,belonging,bill,-1,-16.0380,0.9057
bear,bending,neck,1,-13.7150,0.9858
bear,biting,case,-1,-13.8010,1.0413
bear,biting,cat,-1,-13.2660,1.2132
bear,biting,child,1,-13.1510,1.1736
bear,biting,companion,-1,-15.7580,1.1305
bear,biting,dog,-1,-12.1190,1.1625
bear,biting,fly,-1,-12.5220,1.1460
bear,biting,leg,1,-13.8360,1.0594
bear,biting,prevention,-1,-13.9260,1.0991
bear,biting,prey,1,-14.0330,1.1618
bear,biting,serum,-1,-15.7680,0.9993
bear,biting,statute,-1,-15.8340,0.9105
bear,bitting,cat,-1,-16.8280,1.1642
bear,bitting,child,1,-16.2670,1.1156
bear,bitting,dog,-1,-15.2780,1.1345
bear,bitting,horse,-1,-15.1340,1.0576
bear,bitting,someone,-1,-15.5050,1.0443
bear,blooming,water,-1,-13.2300,1.0941
bear,blowing,conch,-1,-13.4670,1.0322
bear,breaking,halter,-1,-14.3470,1.0325
bear,breaking,step,-1,-13.6660,1.0638
bear,breeding,establishment,-1,-12.6740,1.0982
bear,bringing,arm,-1,-14.7130,0.9050
bear,bringing,nail,-1,-14.8040,1.1085
bear,brooding,chicken,-1,-14.7470,1.1147
bear,building,nest,-1,-13.7520,1.0358
bear,burrowing,log,-1,-15.5660,1.1696
bear,burying,snow,-1,-15.3850,0.9379
bear,buzzing,flower,-1,-15.4390,1.0783
bear,caparisoning,gold,-1,-18.9230,0.9348
bear,carrying,basket,-1,-12.6980,0.9222
bear,carrying,head,-1,-13.6160,1.0014
bear,carrying,heart,-1,-13.5940,1.0671
bear,carrying,pollen,-1,-13.2100,1.0636
bear,carrying,roll,-1,-13.8910,0.7996
bear,carrying,sword,-1,-13.9490,0.8319
bear,catching,mouse,-1,-14.0520,0.9690
bear,catching,salmon,1,-9.3680,1.2511
bear,causing,ewe,-1,-16.6990,1.0890
bear,changing,color,-1,-12.4170,1.0623
bear,changing,stripe,-1,-15.2060,1.0370
bear,charging,bear,-1,-12.9800,1.1360
bear,charging,cavalry,-1,-13.5000,1.1430
bear,chasing,car,-1,-12.6660,1.1056
bear,chasing,cat,-1,-12.7540,1.0903
bear,chasing,man,1,-10.7780,1.0208
bear,chasing,prey,1,-12.4460,1.0577
bear,checking,veterinarian,-1,-16.3590,1.0732
bear,chewing,tobacco,-1,-10.6930,1.0667
bear,chewing,toy,-1,-12.9360,1.1358
bear,clapping,hand,-1,-13.3970,0.7328
bear,clasping,hand,-1,-13.1680,0.9335
bear,cleaning,boot,-1,-14.5710,1.0823
bear,climbing,hill,1,-12.3440,0.9934
bear,clinging,mother,1,-13.8440,1.0908
bear,closing,mouth,1,-14.1820,1.1219
bear,coating,iron,-1,-14.6100,1.0365
bear,coiling,neck,-1,-17.0970,0.9974
bear,collecting,honey,-1,-12.9610,1.0843
bear,collecting,nectar,-1,-12.8070,1.0567
bear,collecting,tubule,-1,-12.4570,0.7987
bear,commanding,captain,-1,-14.0460,0.9664
bear,commanding,colonel,-1,-14.1790,1.0492
bear,commanding,general,-1,-11.7420,0.9885
bear,commanding,lieutenant,-1,-14.1300,1.0977
bear,commanding,major,-1,-13.9130,0.8602
bear,commanding,sir,-1,-14.9140,0.9875
bear,committing,care,-1,-17.0460,1.0283
bear,comparing,heart,-1,-14.4220,1.0505
bear,composing,essay,-1,-15.3170,1.0358
bear,compressing,lip,-1,-17.3400,0.8816
bear,computing,stature,-1,-17.7170,1.0065
bear,consisting,man,-1,-81.4280,1.0283
bear,cooking,chicken,-1,-12.3690,1.1279
bear,counting,month,-1,-14.4390,1.0823
bear,covering,eye,1,-13.9930,0.9984
bear,covering,face,1,-13.3650,1.0484
bear,cracking,nut,-1,-14.9990,1.0076
bear,cradling,arm,-1,-13.8570,1.0696
bear,crouching,ground,1,-14.5420,0.9569
bear,crushing,prey,-1,-14.1120,0.9888
bear,cutting,air,-1,-13.1590,0.8687
bear,dancing,rope,-1,-13.4920,1.0138
bear,dazzling,girl,-1,-13.6090,1.0544
bear,depositing,egg,-1,-15.3080,1.1030
bear,depriving,calf,-1,-17.9450,1.0792
bear,digging,claw,-1,-14.0630,0.9470
bear,digging,hole,1,-12.9320,1.1600
bear,dipping,robe,-1,-16.3780,1.0614
bear,drawing,bow,-1,-13.2000,1.0493
bear,drawing,car,-1,-12.9880,1.0759
bear,drawing,cart,-1,-14.2300,1.1573
bear,drawing,claw,-1,-15.2060,1.0664
bear,drawing,coach,-1,-13.9190,1.0199
bear,drawing,hat,-1,-14.1780,1.0918
bear,drawing,honey,-1,-14.0800,1.1479
bear,drawing,ox,-1,-14.6660,1.0966
bear,drawing,sleigh,-1,-15.4460,1.0658
bear,drawing,sword,-1,-13.4700,1.0433
bear,drawing,train,-1,-13.8380,1.0091
bear,drawing,transportation,-1,-14.1980,1.1154
bear,drawing,vehicle,-1,-12.8410,1.0767
bear,drawing,wagon,-1,-14.7020,0.9964
bear,dressing,lady,-1,-14.1460,1.0779
bear,dressing,ostler,-1,-17.6970,1.0656
bear,dressing,red,-1,-12.6230,1.0723
bear,drinking,ale,-1,-13.1420,0.9735
bear,drinking,milk,-1,-10.3680,1.0699
bear,drinking,water,1,-10.3680,1.0940
bear,driving,carriage,-1,-13.6790,1.1421
bear,dropping,shoe,-1,-14.8410,0.7100
bear,eating,carrot,1,-12.9130,1.0744
bear,eating,cat,1,-12.2710,1.1820
bear,eating,corn,1,-10.3320,1.1323
bear,eating,fish,1,-9.5560,1.2322
bear,eating,food,1,-10.9400,1.2036
bear,eating,grass,1,-10.2840,1.1918
bear,eating,hay,-1,-12.4540,1.0999
bear,eating,icecream,-1,-12.8930,1.0290
bear,eating,kid,-1,-13.3090,1.0557
bear,eating,leaf,1,-13.5450,1.1478
bear,eating,man,1,-12.2360,1.1097
bear,eating,meat,1,-11.0640,1.1081
bear,eating,nut,1,-13.2970,1.1929
bear,eating,piece,-1,-13.4850,1.1846
bear,eating,rabbit,1,-12.7930,1.1374
bear,eating,sheep,1,-13.0340,1.1656
bear,emerging,pupa,-1,-15.4420,1.0823
bear,entering,flower,-1,-80.7550,1.1167
bear,examining,pocket,-1,-80.9570,0.9930
bear,excluding,device,-1,-15.0370,1.0485
bear,facing,baboon,-1,-16.9500,1.0752
bear,facing,lady,1,-14.2420,1.0476
bear,fastening,cord,-1,-14.5510,1.1330
bear,feeing,bark,-1,-18.5070,1.0697
bear,feeing,carrion,-1,-19.6310,1.1645
bear,feeing,cat,-1,-17.3120,1.0682
bear,feeing,chicken,-1,-17.4350,1.0038
bear,feeing,insect,-1,-18.4300,1.1537
bear,feeing,kitten,-1,-18.5220,1.2182
bear,feeing,pig,-1,-18.2080,1.1156
bear,fighting,bull,-1,-12.1680,1.1131
bear,filling,air,-1,-13.4150,0.9317
bear,filling,jaw,1,-15.0690,1.0724
bear,fitting,man,-1,-14.4090,1.0699
bear,flirting,head,-1,-15.6380,0.9459
bear,flitting,field,-1,-17.0100,0.9670
bear,flying,fox,-1,-11.4940,1.0599
bear,flying,freedom,-1,-13.5300,0.9906
bear,flying,head,-1,-12.8300,1.0494
bear,flying,seagull,-1,-12.8980,1.0859
bear,foaling,calf,-1,-15.8140,1.1060
bear,foaming,mouth,1,-14.1490,1.1135
bear,following,cook,-1,-14.2780,1.0339
bear,following,devil,-1,-15.2400,0.9692
bear,following,lesion,-1,-14.8460,1.0345
bear,following,nose,-1,-14.8090,1.0591
bear,forgetting,rage,-1,-16.5850,1.0029
bear,frightening,dog,-1,-14.1490,1.1361
bear,frightening,tiger,-1,-15.2730,1.1778
bear,frightening,wolf,-1,-15.0300,1.0683
bear,frothing,mouth,1,-14.8770,1.0071
bear,galloping,foot,1,-14.2380,1.0174
bear,galloping,horse,-1,-11.9770,1.1529
bear,gathering,nectar,-1,-13.1120,1.0758
bear,gelding,mare,-1,-12.6240,1.1239
bear,geting,fight,-1,-16.8840,0.9851
bear,geting,nose,-1,-17.2600,1.1417
bear,geting,possession,-1,-17.4510,1.0075
bear,geting,scent,-1,-17.7630,1.0950
bear,geting,tongue,-1,-17.3660,1.1155
bear,getting,head,-1,-10.0520,1.0315
bear,getting,nose,-1,-13.5520,1.1280
bear,getting,relief,-1,-12.5210,0.8087
bear,giving,breed,-1,-15.0070,1.0931
bear,giving,danger,-1,-15.1760,1.0029
bear,giving,glory,-1,-12.6940,0.7450
bear,giving,lord,-1,-13.9590,0.9864
bear,giving,roar,-1,-15.7380,1.1580
bear,gleaming,patch,-1,-15.4410,0.8661
bear,glittering,spout,-1,-17.0620,1.0171
bear,going,fox,-1,-14.2060,0.9502
bear,grazing,cattle,-1,-11.6570,1.1305
bear,grazing,field,-1,-13.0180,0.8999
bear,grazing,land,-1,-11.3330,0.9986
bear,grazing,meadow,-1,-13.4920,1.0205
bear,grazing,pasture,-1,-12.3790,1.1510
bear,greeting,arthur,-1,-14.3930,1.0014
bear,grooming,service,-1,-12.7590,1.0430
bear,growing,wool,-1,-14.5590,1.0886
bear,growling,bone,-1,-14.5430,1.1088
bear,guarding,bone,-1,-14.9220,0.9504
bear,guarding,egg,-1,-13.9210,1.0937
bear,guarding,sheep,-1,-12.8810,1.1581
bear,guzzling,head,-1,-16.2230,0.8926
bear,hanging,air,-1,-12.2430,0.8869
bear,hanging,branch,1,-12.6900,1.0080
bear,hanging,chain,-1,-11.9020,1.0824
bear,hanging,head,1,-12.4360,0.9417
bear,hanging,milk,-1,-13.6140,1.0405
bear,hanging,nest,-1,-13.2650,0.9985
bear,hanging,tail,-1,-13.5280,0.9899
bear,harnessing,carriage,-1,-17.7260,0.9754
bear,harnessing,cart,-1,-16.2260,0.8811
bear,hatching,cuckoo,-1,-18.5940,1.1269
bear,hatching,egg,-1,-13.5500,1.1785
bear,hearing,name,-1,-13.6400,1.0300
bear,hearing,owl,-1,-15.2540,1.1279
bear,hearing,trumpet,-1,-13.9530,0.9852
bear,herding,sheep,-1,-13.1560,1.1418
bear,hiding,bone,-1,-14.9430,1.0845
bear,hiring,livery,-1,-16.6400,0.7996
bear,holding,arm,-1,-12.2560,1.0830
bear,holding,groom,-1,-13.5320,1.1582
bear,holding,mouse,-1,-13.0820,1.1761
bear,holding,piece,-1,-12.9640,1.1376
bear,holding,revolver,-1,-13.9140,1.0555
bear,holding,shield,-1,-12.3420,0.9095
bear,holding,tail,-1,-13.0620,1.0686
bear,hooting,owl,-1,-13.7880,1.0973
bear,humming,flower,-1,-14.9230,1.0969
bear,hunting,africa,-1,-10.7690,1.1406
bear,hunting,hound,-1,-10.5040,1.0997
bear,hunting,leopard,-1,-11.5930,1.1376
bear,hunting,stamp,-1,-10.4560,1.0670
bear,hurting,paw,1,-15.2620,1.0914
bear,imitating,ox,-1,-16.4900,1.0171
bear,indulging,abuse,-1,-16.7830,0.9382
bear,issuing,mouth,-1,-16.4350,0.9337
bear,jingling,bell,-1,-14.3970,1.0969
bear,joining,army,-1,-13.8600,0.9191
bear,joining,battle,-1,-14.1380,0.7804
bear,keeping,company,-1,-12.6460,0.8121
bear,keeping,egg,-1,-14.2940,0.9512
bear,keeping,mouse,-1,-14.6680,1.0314
bear,keeping,revolver,-1,-15.8440,1.0556
bear,kicking,boy,-1,-14.2320,0.9954
bear,kicking,pail,-1,-17.0980,0.9359
bear,killing,prey,1,-12.7940,1.0965
bear,killing,stag,1,-14.4050,1.0885
bear,knocking,heart,-1,-14.1620,0.9826
bear,knowing,hawk,-1,-15.3450,0.8947
bear,knowing,lip,-1,-15.4030,0.7909
bear,knowing,name,-1,-13.9610,0.9680
bear,leading,boy,-1,-14.5160,0.7943
bear,leading,team,-1,-12.8710,0.8494
bear,leaping,prey,-1,-16.3110,1.1361
