Subject,Verb,Object,Label,MSRLM Score,VisKE Score
bird,accepting,tom,-1,-15.4330,1.0205
bird,according,custom,-1,-14.5190,0.9221
bird,acting,lord,-1,-13.9020,1.0925
bird,adorning,ribbon,-1,-16.1180,1.0079
bird,affecting,disease,-1,-14.5910,1.0632
bird,allowing,guide,-1,-14.8390,0.9550
bird,annoying,country,-1,-14.7940,0.9766
bird,arming,greek,-1,-16.9950,0.9062
bird,attaching,cuff,-1,-15.7440,1.0211
bird,attaching,end,-1,-14.4230,0.9831
bird,attacking,horse,-1,-13.7340,1.1374
bird,attacking,lion,-1,-11.2370,1.1985
bird,baring,tooth,-1,-17.3010,0.9880
bird,barking,house,-1,-13.2940,0.9260
bird,barking,stranger,-1,-16.3050,0.9815
bird,bearding,seal,-1,-18.0600,1.1564
bird,bearing,tattoo,-1,-15.6300,1.0886
bird,bearing,weight,-1,-13.0670,0.9514
bird,beating,jungle,-1,-14.8120,0.9986
bird,becoming,child,-1,-79.1880,1.0393
bird,becoming,companion,-1,-80.5240,1.0175
bird,belonging,bill,-1,-15.2620,1.0286
bird,belonging,cat,-1,-15.4760,1.1438
bird,belonging,family,-1,-13.5090,1.0912
bird,belonging,harrier,-1,-17.4190,1.1054
bird,belonging,sir,-1,-15.0120,0.9949
bird,biting,case,-1,-13.4420,1.0292
bird,biting,cat,-1,-12.9070,1.1533
bird,biting,child,1,-12.7920,1.1776
bird,biting,companion,-1,-15.3990,1.0657
bird,biting,dog,-1,-11.7600,1.1302
bird,biting,fly,-1,-12.1630,1.1070
bird,biting,injury,-1,-13.8140,1.0268
bird,biting,leg,1,-13.4770,1.0558
bird,biting,prevention,-1,-13.5670,1.1215
bird,biting,prey,1,-13.6740,1.0640
bird,bitting,cat,-1,-16.8710,1.1825
bird,bitting,child,1,-16.3100,1.1834
bird,bitting,dog,-1,-15.3210,1.1322
bird,bitting,horse,-1,-15.1770,1.0755
bird,bitting,mouse,1,-17.2670,1.0615
bird,bitting,somebody,-1,-17.8010,1.0699
bird,bitting,someone,-1,-15.5480,1.1080
bird,blowing,conch,-1,-13.8440,0.9590
bird,brandishing,firebrand,-1,-19.7660,0.9835
bird,breaking,canter,-1,-16.0430,0.7289
bird,breaking,halter,-1,-14.5900,1.0750
bird,breaking,step,-1,-13.9090,0.9606
bird,bringing,nail,-1,-14.7750,1.0951
bird,brooding,chicken,-1,-13.0970,1.1653
bird,burrowing,log,-1,-15.3580,1.1149
bird,bursting,screen,-1,-15.2470,0.8626
bird,burying,snow,-1,-15.4370,1.0445
bird,buzzing,flower,-1,-14.9030,1.2188
bird,caparisoning,gold,-1,-18.9660,0.9516
bird,carrying,choice,-1,-14.4090,0.9869
bird,carrying,head,-1,-13.5420,1.0548
bird,carrying,heart,-1,-13.5200,1.1161
bird,carrying,house,-1,-13.7730,1.0402
bird,carrying,pollen,-1,-13.1360,1.1645
bird,carrying,sword,-1,-13.8750,0.9608
bird,carrying,whip,-1,-14.6940,1.0484
bird,casing,steel,-1,-13.6490,0.9664
bird,catching,frisbee,-1,-12.9570,0.8639
bird,catching,mouse,1,-12.8800,0.9274
bird,causing,ewe,-1,-16.7490,1.0423
bird,chafing,sweat,-1,-14.8790,0.9331
bird,chaining,side,-1,-15.0670,0.8239
bird,changing,color,-1,-12.4660,1.0900
bird,changing,stripe,-1,-15.2550,1.0533
bird,charging,cavalry,-1,-14.4340,1.0368
bird,charging,home,-1,-13.7930,0.7206
bird,chasing,cat,-1,-12.7150,0.9645
bird,chasing,gazelle,-1,-13.5480,1.1302
bird,chasing,man,-1,-12.7500,0.8456
bird,chasing,mouse,1,-13.1620,1.0484
bird,chasing,prey,1,-12.4070,0.8927
bird,chewing,tobacco,-1,-10.9590,1.0567
bird,chewing,toy,-1,-13.0730,1.1214
bird,clasping,hand,-1,-13.1120,1.0997
bird,cleaning,boot,-1,-13.8630,1.0355
bird,clinging,mother,-1,-14.0780,0.9938
bird,coating,iron,-1,-14.6100,1.1079
bird,collecting,honey,-1,-10.6100,0.9117
bird,collecting,nectar,1,-12.9370,1.1500
bird,collecting,tubule,-1,-12.5870,0.9037
bird,commanding,captain,-1,-13.8890,0.9960
bird,commanding,colonel,-1,-14.0220,0.9681
bird,commanding,lieutenant,-1,-13.9730,1.0626
bird,commanding,major,-1,-13.7560,1.0478
bird,commanding,sir,-1,-14.7570,1.0488
bird,commenting,judge,-1,-16.5430,1.1174
bird,committing,care,-1,-17.2130,0.9425
bird,computing,stature,-1,-17.7890,1.0834
bird,cooking,chicken,-1,-12.5050,1.1904
bird,costing,pistol,-1,-16.3530,0.8866
bird,counting,month,-1,-14.2700,1.0172
bird,cracking,nut,1,-14.7900,1.1201
bird,cradling,arm,-1,-15.4160,1.0116
bird,crawling,belly,-1,-14.9220,1.0554
bird,crawling,sofa,-1,-16.1030,1.0107
bird,crushing,prey,-1,-14.7890,0.9598
bird,darting,flower,1,-15.1830,1.1203
bird,dazzling,girl,-1,-13.6990,0.9581
bird,descending,colon,-1,-12.2170,1.0181
bird,digging,hole,1,-13.4260,0.9179
bird,dipping,robe,-1,-16.5140,1.0356
bird,directing,day,-1,-13.5560,0.9990
bird,displaying,banner,-1,-79.4460,0.8154
bird,dogging,victim,-1,-14.5650,0.8375
bird,drawing,bow,-1,-12.8340,1.1165
bird,drawing,buggy,-1,-14.6700,1.0828
bird,drawing,car,-1,-12.6220,1.0808
bird,drawing,carriage,-1,-13.9680,1.1480
