Subject,Verb,Object,Label,MSRLM Score,VisKE Score
cat,accepting,tom,-1,-15.1870,1.1501
cat,accomplishing,escape,-1,-16.5950,0.8401
cat,according,bruce,-1,-14.7340,1.1334
cat,according,custom,-1,-14.5340,1.0666
cat,acting,lord,-1,-13.7180,0.9613
cat,acting,manner,-1,-14.3210,1.1243
cat,adorning,ribbon,-1,-16.6210,1.0649
cat,affecting,disease,-1,-14.4270,1.1308
cat,annoying,country,-1,-14.3100,1.1241
cat,arching,neck,1,-13.0090,1.0834
cat,arresting,attention,-1,-14.4360,0.9941
cat,assembling,person,-1,-15.1350,0.7899
cat,assuming,suit,-1,-15.8420,0.8335
cat,attaching,buggy,-1,-17.3270,0.9140
cat,attaching,end,-1,-14.3500,0.8526
cat,attacking,lion,-1,-10.9030,1.1698
cat,attacking,side,-1,-11.9170,1.1337
cat,banding,program,-1,-13.4280,1.0821
cat,baring,tooth,1,-16.5810,1.1447
cat,barking,background,-1,-14.5620,1.1050
cat,barking,cat,-1,-10.6920,0.9328
cat,barking,house,-1,-12.7860,1.0088
cat,barking,night,-1,-14.2080,1.1129
cat,barking,stranger,-1,-15.7970,1.1095
cat,basking,shark,-1,-11.8250,1.0922
cat,bearding,seal,-1,-14.1450,1.0934
cat,bearing,tattoo,-1,-15.1810,1.0733
cat,beating,unicorn,-1,-16.1750,0.9904
cat,becoming,apollo,-1,-15.1420,1.0404
cat,becoming,child,-1,-13.2870,1.0603
cat,becoming,prince,-1,-13.7760,1.0291
cat,becoming,symbol,-1,-14.1330,1.0131
cat,belonging,bill,-1,-15.3330,1.0479
cat,belonging,cat,-1,-15.5470,1.0181
cat,belonging,family,-1,-13.5800,1.1736
cat,belonging,harrier,-1,-17.4900,0.9922
cat,belonging,sir,-1,-15.0830,1.0111
cat,binding,gallop,-1,-17.1690,0.9587
cat,biting,case,-1,-12.8990,1.1808
cat,biting,cat,1,-9.9260,1.1810
cat,biting,child,1,-12.2490,1.1773
cat,biting,companion,-1,-14.8560,1.1698
cat,biting,fly,-1,-11.6200,1.1651
cat,biting,injury,-1,-13.2710,1.1358
cat,biting,leg,1,-12.9340,1.1496
cat,biting,prevention,-1,-13.0240,1.1483
cat,biting,prey,1,-13.1310,1.0319
cat,biting,serum,-1,-14.8660,1.1100
cat,biting,statute,-1,-14.9320,1.0419
cat,bitting,cat,-1,-14.9600,1.1809
cat,bitting,child,-1,-14.3990,1.1570
cat,bitting,horse,-1,-13.2660,1.1113
cat,bitting,somebody,-1,-15.8900,1.1542
cat,bitting,someone,-1,-13.6370,1.1736
cat,blooming,water,-1,-13.5130,1.0351
cat,blowing,conch,-1,-13.7880,1.0074
cat,brandishing,firebrand,-1,-18.4640,1.0382
cat,breaking,canter,-1,-15.7620,1.0570
cat,breaking,halter,-1,-14.3090,1.1015
cat,breathing,air,-1,-11.2870,0.9872
cat,breeding,establishment,-1,-11.9400,1.1502
cat,bringing,arm,-1,-14.5690,0.8889
cat,bringing,blood,-1,-13.2060,1.0284
cat,bringing,nail,-1,-14.6600,1.1910
cat,brooding,chicken,-1,-14.1990,1.1779
cat,building,nest,-1,-13.7320,1.1658
cat,burrowing,log,-1,-15.3040,1.1884
cat,burying,snow,-1,-14.8690,1.0312
cat,buzzing,flower,-1,-15.1420,1.1415
cat,caparisoning,cloth,-1,-19.3750,0.9485
cat,carrying,basket,-1,-9.9130,1.0946
cat,carrying,choice,-1,-14.5900,1.0245
cat,carrying,house,-1,-13.9540,1.1157
cat,carrying,man,-1,-13.0400,0.9708
cat,carrying,obelisk,-1,-16.7600,0.9575
cat,carrying,piece,-1,-14.0730,1.0500
cat,carrying,pollen,-1,-13.3170,1.1216
cat,carrying,roll,-1,-13.9980,1.1225
cat,carrying,sword,-1,-14.0560,1.0263
cat,carrying,whip,-1,-14.8750,1.0152
cat,casing,steel,-1,-13.2920,1.1059
cat,catching,ball,1,-12.5510,1.1454
cat,catching,frisbee,-1,-13.3380,1.0111
cat,causing,ewe,-1,-16.2900,1.0624
cat,changing,color,-1,-12.1650,1.1152
cat,changing,hand,-1,-13.4430,1.0504
cat,changing,stripe,-1,-14.9540,1.0606
cat,charging,bear,-1,-13.3970,1.1539
cat,charging,cavalry,-1,-13.9170,1.0504
cat,chasing,car,-1,-12.2140,1.0727
cat,chasing,cat,1,-12.3020,1.1038
cat,chasing,gazelle,-1,-13.1350,1.0763
cat,chasing,rabbit,1,-12.0150,1.1181
cat,checking,veterinarian,-1,-16.2990,1.2067
cat,chewing,tobacco,-1,-10.2530,1.1034
cat,chewing,toy,-1,-12.3670,1.1384
cat,choosing,mate,-1,-14.8450,1.1318
cat,choosing,tree,-1,-14.4180,1.0751
cat,clapping,hand,-1,-12.9810,1.0878
cat,clasping,hand,-1,-14.0370,1.0566
cat,cleaning,boot,-1,-13.9800,1.0763
cat,clinging,mother,-1,-13.5070,1.0187
cat,closing,mouth,1,-14.2530,1.1327
cat,coasting,stop,-1,-13.6690,0.8870
cat,coating,iron,-1,-14.1070,1.0384
cat,coiling,neck,-1,-16.5910,1.0454
cat,collecting,honey,-1,-13.2730,1.0523
cat,collecting,nectar,-1,-13.1190,1.1753
cat,collecting,tubule,-1,-12.7690,0.9975
cat,commanding,captain,-1,-13.7330,1.0216
cat,commanding,colonel,-1,-13.8660,0.9476
cat,commanding,lieutenant,-1,-13.8170,1.0319
cat,commanding,sir,-1,-14.6010,0.9795
cat,committing,care,-1,-17.0460,0.9870
cat,comparing,heart,-1,-14.3540,1.0677
cat,computing,stature,-1,-16.9760,1.0002
cat,cooking,chicken,-1,-12.3090,1.1263
cat,costing,pistol,-1,-16.1350,1.0000
cat,counting,month,-1,-14.7210,1.0785
cat,covering,eye,1,-14.0270,1.1087
cat,covering,face,1,-13.3990,1.1116
cat,cracking,nut,-1,-13.4090,1.0808
cat,crawling,belly,-1,-14.0550,1.1690
cat,crawling,sofa,1,-15.2360,1.1049
cat,crouching,ground,1,-13.6360,1.1134
cat,crushing,prey,-1,-14.0660,1.1598
cat,cutting,air,-1,-13.1680,1.0562
cat,darting,flower,-1,-15.4210,0.9622
cat,dazzling,girl,-1,-13.2450,0.9820
cat,depositing,egg,-1,-14.5810,1.1165
cat,depriving,calf,-1,-17.4390,0.9893
cat,descending,colon,-1,-12.6150,1.1545
cat,digging,hole,1,-12.9120,1.0375
cat,dipping,robe,-1,-16.9130,1.1150
cat,directing,day,-1,-13.9370,1.0150
cat,displaying,banner,-1,-13.9550,0.7853
cat,disquieting,dreamer,-1,-18.1460,0.9489
cat,diving,water,1,-11.8670,0.9239
cat,drawing,bow,-1,-12.8840,1.1373
cat,drawing,cart,-1,-13.9140,1.1770
cat,drawing,claw,-1,-14.8900,1.0833
cat,drawing,hat,-1,-13.8620,1.1065
cat,drawing,honey,-1,-13.7640,1.1278
cat,drawing,ox,-1,-14.3500,1.1550
cat,drawing,sleigh,-1,-15.1300,1.1469
cat,drawing,swarm,-1,-15.2170,0.9849
cat,drawing,sword,-1,-13.1540,1.0581
cat,drawing,train,-1,-13.5220,1.0617
cat,drawing,transportation,-1,-13.8820,1.1155
cat,drawing,vehicle,-1,-12.5250,1.1078
cat,drawing,wagon,-1,-14.3860,0.9983
cat,dressing,lady,-1,-14.3660,1.1286
cat,dressing,ostler,-1,-17.9170,1.0809
cat,dressing,red,-1,-12.8430,1.0944
cat,drinking,ale,-1,-12.7710,1.0860
cat,drinking,beer,-1,-10.3100,1.1567
cat,driving,car,-1,-10.3560,1.0778
cat,driving,carriage,-1,-13.5300,1.0653
cat,driving,cart,-1,-13.3540,1.0997
cat,dropping,shoe,-1,-14.7630,1.0253
cat,dunging,cake,-1,-17.9310,0.9602
cat,dying,minute,-1,-13.3040,1.1877
cat,dying,silence,-1,-13.9570,1.0549
cat,eating,apple,-1,-11.7610,1.1685
cat,eating,banana,-1,-10.4960,1.1573
cat,eating,carrot,1,-12.5680,1.1918
cat,eating,contest,-1,-10.7490,1.1554
cat,eating,corn,1,-10.1060,1.1535
cat,eating,dinner,-1,-10.5210,1.1411
cat,eating,eagle,-1,-12.4580,0.9360
cat,eating,grass,1,-9.8390,1.1943
cat,eating,hay,-1,-12.1090,1.1285
cat,eating,icecream,1,-12.5480,1.1471
cat,eating,leaf,1,-13.2000,1.1410
cat,eating,man,-1,-11.8910,1.1706
cat,eating,nut,-1,-12.9520,1.0866
cat,eating,piece,-1,-13.1400,1.1695
cat,eating,rabbit,1,-12.4480,1.1914
cat,eating,sheep,-1,-12.6890,1.1288
cat,emerging,pupa,-1,-15.4510,1.1591
cat,entering,flower,-1,-15.0020,1.1023
cat,examining,pocket,-1,-81.3870,1.1082
cat,examining,veterinarian,-1,-79.3150,1.1477
cat,excluding,device,-1,-14.5040,1.0373
cat,expecting,food,-1,-13.5630,1.0579
cat,facing,baboon,-1,-16.5330,1.1520
cat,facing,lady,-1,-13.8250,1.1192
cat,falling,ankle,-1,-14.3500,0.9857
cat,falling,fatigue,-1,-13.8740,1.1367
cat,falling,front,-1,-13.4630,1.0443
cat,falling,hand,-1,-13.1990,1.1221
cat,falling,want,-1,-14.1060,1.1046
cat,fastening,cord,-1,-14.6510,1.1499
cat,feeing,carrion,-1,-19.1250,0.9380
cat,feeing,cat,-1,-16.8060,1.0556
cat,feeing,chicken,-1,-16.9290,1.0469
cat,feeing,insect,-1,-17.9240,1.1476
cat,feeing,pig,-1,-17.7020,1.1702
cat,feeing,plain,-1,-17.3080,0.9731
cat,filling,air,-1,-13.5380,1.0022
cat,filling,jaw,1,-15.1920,1.0191
cat,finding,companion,-1,-14.6960,1.1505
cat,finding,winner,-1,-15.3810,1.0275
cat,firing,gun,-1,-12.7050,0.9513
cat,fixing,heel,-1,-14.9380,1.0890
cat,flapping,wing,-1,-12.0560,1.0293
cat,flashing,nanny,-1,-16.0540,1.0451
cat,flirting,head,-1,-15.3880,1.0331
cat,fluttering,nest,-1,-17.1290,1.1122
cat,flying,direction,-1,-13.5890,1.0257
cat,flying,fox,-1,-10.3800,1.0056
cat,flying,overhead,-1,-11.7480,0.9051
cat,flying,seagull,-1,-12.6640,1.1265
cat,flying,space,-1,-12.5230,1.0213
cat,foaming,mouth,1,-13.2100,1.1061
cat,following,nose,-1,-14.6140,1.1666
cat,following,wagon,-1,-15.1720,0.9984
cat,forgetting,rage,-1,-16.4520,1.0329
cat,frightening,dog,-1,-14.3810,1.1197
cat,frightening,tiger,-1,-15.5050,1.0642
cat,frightening,wolf,-1,-15.2620,1.1077
cat,frothing,mouth,1,-14.3710,1.1551
cat,furnishing,leather,-1,-14.0120,1.0347
cat,furnishing,saddle,-1,-16.2680,1.1194
cat,galloping,field,-1,-13.9850,1.0980
cat,galloping,hoof,-1,-14.1800,1.1114
cat,galloping,horse,-1,-11.8260,1.1591
cat,gathering,honey,-1,-13.6850,1.0172
cat,gathering,pollen,-1,-13.6130,1.1636
cat,gelding,mare,-1,-11.8300,1.1616
cat,geting,fight,-1,-16.0350,0.9895
cat,geting,possession,-1,-16.6020,1.1249
cat,geting,scent,-1,-16.9140,1.1540
cat,getting,head,-1,-11.7890,1.1516
cat,getting,honey,-1,-12.8540,1.0782
cat,getting,name,-1,-12.9220,1.0481
cat,getting,nose,-1,-13.1450,1.0388
cat,getting,relief,-1,-12.1140,1.1333
cat,giving,breed,-1,-14.8960,1.1471
cat,giving,food,-1,-12.3370,1.1438
cat,giving,glory,-1,-12.5830,1.0764
cat,giving,horse,-1,-13.3020,0.8967
cat,giving,lord,-1,-13.8480,1.0132
cat,giving,master,-1,-13.4730,1.0275
cat,giving,roar,-1,-15.6270,1.1081
cat,giving,word,-1,-13.1780,1.0292
cat,glittering,spout,-1,-17.0710,1.0771
cat,going,nut,-1,-13.8530,1.1485
cat,grazing,cattle,-1,-12.4660,1.1665
cat,grazing,field,-1,-13.8270,0.8445
cat,grazing,land,-1,-12.1420,0.6589
cat,grazing,meadow,-1,-14.3010,0.9333
cat,grazing,pasture,-1,-13.1880,0.9454
cat,grazing,skirt,-1,-14.4470,1.0202
cat,greeting,arthur,-1,-14.4050,1.0794
cat,grooming,service,-1,-8.6110,1.0416
cat,grooming,tool,-1,-9.7080,1.1382
cat,growing,wool,-1,-14.6130,1.1582
cat,growling,bone,-1,-14.7600,1.1466
cat,growling,prey,-1,-15.6270,1.1980
cat,guarding,bone,-1,-14.9470,1.1433
cat,guarding,egg,-1,-13.9460,1.1004
cat,guarding,sheep,-1,-12.9060,1.0674
cat,guzzling,head,-1,-15.7170,1.0036
cat,hanging,air,-1,-12.1340,1.0524
cat,hanging,branch,1,-12.5810,1.0832
cat,hanging,chain,-1,-11.7930,1.1020
cat,hanging,forehead,-1,-14.9720,1.0455
cat,hanging,head,1,-12.3270,1.1244
cat,hanging,milk,-1,-13.5050,1.1080
cat,hanging,tail,-1,-13.4190,1.0751
cat,harnessing,carriage,-1,-17.2200,1.0005
cat,hatching,cuckoo,-1,-17.6110,1.1524
cat,hatching,egg,-1,-12.5670,1.1721
cat,hearing,name,-1,-13.7880,1.0985
cat,hearing,noise,-1,-13.1300,1.1458
cat,hearing,owl,-1,-15.4020,1.1538
cat,hearing,trumpet,-1,-14.1010,0.9971
cat,hearing,voice,-1,-13.5900,1.0509
cat,herding,sheep,-1,-10.3980,1.1182
cat,hiding,bone,-1,-14.4830,1.1395
cat,holding,arm,-1,-12.6390,1.0559
cat,holding,executioner,-1,-16.1940,0.9969
cat,holding,groom,-1,-13.9150,1.1501
cat,holding,piece,-1,-13.3470,1.0805
cat,holding,rein,-1,-14.4820,1.0806
cat,holding,shield,-1,-12.7250,1.0435
cat,hooting,owl,-1,-13.2820,1.1059
cat,hovering,nest,-1,-16.2990,1.0323
cat,howling,pain,-1,-12.9580,1.1690
cat,humming,bird,-1,-11.5260,1.0793
cat,humming,flower,-1,-14.9440,1.1192
cat,hunting,africa,-1,-11.9920,1.1128
cat,hunting,hound,-1,-12.5470,1.1467
cat,hunting,leopard,-1,-12.8160,1.2083
cat,hunting,parson,-1,-13.8450,1.0730
cat,hunting,stamp,-1,-12.7980,1.1436
cat,hurting,paw,1,-15.4030,1.1567
cat,imitating,ox,-1,-16.4610,1.0044
cat,indulging,abuse,-1,-16.2130,1.0918
cat,issuing,mouth,-1,-16.5480,1.0473
cat,jingling,bell,-1,-13.8910,1.1113
cat,joining,army,-1,-13.7280,1.0584
cat,keeping,company,-1,-12.3510,0.9920
