Subject,Verb,Object,Label,MSRLM Score,VisKE Score
chimpanzee,accepting,tom,-1,-17.1350,1.0860
chimpanzee,accomplishing,escape,-1,-18.8810,1.0457
chimpanzee,according,bruce,-1,-16.0540,1.1970
chimpanzee,according,custom,-1,-15.8540,1.0877
chimpanzee,acting,lord,-1,-16.1530,1.1589
chimpanzee,acting,manner,-1,-16.7560,1.0746
chimpanzee,adding,faith,-1,-16.7250,1.0989
chimpanzee,adorning,ribbon,-1,-19.4120,0.9291
chimpanzee,affecting,disease,-1,-15.6920,1.2119
chimpanzee,allowing,guide,-1,-16.8110,1.1885
chimpanzee,annoying,country,-1,-16.6910,1.0207
chimpanzee,arching,neck,1,-16.2880,1.0107
chimpanzee,arresting,attention,-1,-16.6280,1.1124
chimpanzee,arriving,border,-1,-17.8370,1.1465
chimpanzee,assembling,person,-1,-17.4210,1.0709
chimpanzee,assuming,suit,-1,-17.9120,1.1597
chimpanzee,atoning,guilt,-1,-18.0280,0.9523
chimpanzee,attaching,cuff,-1,-17.3760,1.0489
chimpanzee,attaching,end,-1,-16.0550,1.0897
chimpanzee,attacking,horse,-1,-15.3670,1.1167
chimpanzee,attacking,lion,-1,-12.8700,1.1968
chimpanzee,attacking,side,-1,-13.8840,1.1670
chimpanzee,attuning,spirit,-1,-19.9280,1.0938
chimpanzee,banding,program,-1,-15.7140,1.1654
chimpanzee,baring,tooth,1,-16.7940,1.1706
chimpanzee,barking,background,-1,-16.6680,1.0438
chimpanzee,barking,cat,-1,-14.4320,1.0984
chimpanzee,barking,house,-1,-14.8920,1.0384
chimpanzee,barking,night,-1,-16.3140,1.1617
chimpanzee,barking,squirrel,-1,-14.9680,1.1766
chimpanzee,barking,stranger,-1,-17.9030,1.1112
chimpanzee,barking,way,-1,-16.0220,1.1769
chimpanzee,basking,shark,-1,-14.5490,0.9963
chimpanzee,bearding,seal,-1,-19.7970,1.1118
chimpanzee,bearing,tattoo,-1,-17.4320,1.0212
chimpanzee,bearing,weight,-1,-14.8690,1.0255
chimpanzee,beating,jungle,-1,-15.8670,1.0344
chimpanzee,beating,unicorn,-1,-17.2360,0.9360
chimpanzee,becoming,apollo,-1,-17.1440,1.0405
chimpanzee,becoming,child,-1,-15.2890,1.2066
chimpanzee,becoming,companion,-1,-16.6250,1.1062
chimpanzee,becoming,part,-1,-13.2250,1.1333
chimpanzee,becoming,prince,-1,-15.7780,1.1890
chimpanzee,becoming,symbol,-1,-16.1350,1.1292
chimpanzee,belonging,bill,-1,-16.4700,1.1344
chimpanzee,belonging,cat,-1,-16.6840,1.1901
chimpanzee,belonging,family,-1,-14.7170,1.1645
chimpanzee,belonging,genu,-1,-19.4800,0.9886
chimpanzee,belonging,sir,-1,-16.2200,1.0586
chimpanzee,bending,neck,1,-15.9900,1.0841
chimpanzee,biting,case,-1,-16.6500,1.0679
chimpanzee,biting,cat,-1,-16.1150,1.1770
chimpanzee,biting,child,1,-16.0000,1.1556
chimpanzee,biting,companion,-1,-18.6070,1.1326
chimpanzee,biting,dog,-1,-14.9680,1.1233
chimpanzee,biting,fly,-1,-15.3710,1.0264
chimpanzee,biting,injury,-1,-17.0220,1.1765
chimpanzee,biting,leg,1,-16.6850,1.1563
chimpanzee,biting,prevention,-1,-16.7750,1.1163
chimpanzee,biting,prey,-1,-16.8820,1.2212
chimpanzee,biting,statute,-1,-18.6830,1.1103
chimpanzee,bitting,cat,-1,-18.6080,1.1225
chimpanzee,bitting,child,-1,-18.0470,1.1724
chimpanzee,bitting,dog,-1,-17.0580,1.1534
chimpanzee,bitting,mouse,-1,-19.0040,1.2335
chimpanzee,bitting,somebody,-1,-19.5380,1.1114
chimpanzee,bitting,someone,-1,-17.2850,1.1162
chimpanzee,blooming,water,-1,-15.3570,1.1146
chimpanzee,breaking,arm,1,-15.9510,1.1843
chimpanzee,breaking,control,-1,-16.0760,1.1098
chimpanzee,breaking,pointer,-1,-17.9330,1.0667
chimpanzee,breaking,step,-1,-15.7390,1.1427
chimpanzee,breaking,surface,-1,-15.6270,0.9910
chimpanzee,breaking,wheel,-1,-15.4150,1.1498
chimpanzee,breathing,air,-1,-13.9150,1.1322
chimpanzee,breathing,fire,-1,-14.6620,1.0919
chimpanzee,breeding,establishment,-1,-13.4140,1.1265
chimpanzee,bringing,arm,-1,-16.9280,1.1145
chimpanzee,bringing,blood,-1,-15.5650,1.0478
chimpanzee,bringing,nail,-1,-17.0190,1.1157
chimpanzee,building,fire,1,-13.7590,1.1389
chimpanzee,building,nest,1,-15.5660,1.1904
chimpanzee,burrowing,log,-1,-18.2130,1.1455
chimpanzee,bursting,ear,-1,-17.3940,1.1284
chimpanzee,bursting,screen,-1,-17.8200,1.0485
chimpanzee,bursting,sunlight,-1,-17.8370,0.9080
chimpanzee,burying,snow,-1,-17.8550,1.0736
chimpanzee,buzzing,flower,-1,-17.3410,1.0906
chimpanzee,caparisoning,gold,-1,-20.7030,0.9058
chimpanzee,carrying,choice,-1,-15.6020,1.1637
chimpanzee,carrying,head,-1,-14.7350,1.1501
chimpanzee,carrying,heart,-1,-14.7130,1.2293
chimpanzee,carrying,house,-1,-14.9660,1.1141
chimpanzee,carrying,man,-1,-14.0520,1.1841
chimpanzee,carrying,piece,-1,-15.0850,1.1951
chimpanzee,carrying,pollen,-1,-14.3290,1.1818
chimpanzee,carrying,roll,-1,-15.0100,1.1254
chimpanzee,carrying,whip,-1,-15.8870,1.0700
chimpanzee,casing,steel,-1,-15.2680,1.1373
chimpanzee,catching,ball,1,-15.7300,1.0934
chimpanzee,catching,mouse,-1,-16.4400,1.0949
chimpanzee,chaining,side,-1,-16.8040,1.0874
chimpanzee,changing,color,-1,-14.1500,1.0722
chimpanzee,changing,hand,-1,-15.4280,1.1765
chimpanzee,changing,stripe,-1,-16.9390,1.1260
chimpanzee,charging,bear,-1,-15.4740,1.0616
chimpanzee,charging,cavalry,-1,-15.9940,0.9226
chimpanzee,charging,home,-1,-15.3530,1.1875
chimpanzee,chasing,car,-1,-15.9450,1.1534
chimpanzee,chasing,cat,-1,-16.0330,1.2049
chimpanzee,chasing,gazelle,-1,-16.8660,1.0828
chimpanzee,chasing,man,1,-16.0680,1.1997
chimpanzee,chasing,mouse,-1,-16.4800,1.1127
chimpanzee,chasing,prey,-1,-15.7250,1.1611
chimpanzee,checking,veterinarian,-1,-18.3850,1.1073
chimpanzee,chewing,tobacco,-1,-11.7130,1.0314
chimpanzee,chewing,toy,-1,-13.8270,1.1336
chimpanzee,choosing,mate,-1,-16.9220,1.0968
chimpanzee,choosing,tree,-1,-16.4950,1.1489
chimpanzee,clapping,hand,1,-16.0800,1.2012
chimpanzee,climbing,hill,1,-13.2870,1.0668
chimpanzee,clinging,mother,1,-16.8730,1.1235
chimpanzee,closing,mouth,1,-16.0080,1.0994
chimpanzee,coiling,neck,-1,-18.8770,0.9162
chimpanzee,collecting,honey,1,-15.5960,1.1954
chimpanzee,collecting,nectar,-1,-15.4420,1.0954
chimpanzee,commanding,captain,-1,-16.0190,1.0074
chimpanzee,commanding,general,-1,-13.7150,1.1190
chimpanzee,commanding,lieutenant,-1,-16.1030,0.8436
chimpanzee,commanding,major,-1,-15.8860,1.0713
chimpanzee,commanding,sir,-1,-16.8870,1.0287
chimpanzee,commenting,judge,-1,-17.5130,1.1420
chimpanzee,committing,care,-1,-18.0460,1.1630
chimpanzee,comparing,heart,-1,-15.1450,1.0549
chimpanzee,competing,field,-1,-16.5640,1.0518
chimpanzee,composing,essay,-1,-17.0970,0.8959
chimpanzee,compressing,lip,1,-19.1200,1.0490
chimpanzee,computing,stature,-1,-18.6940,0.9733
chimpanzee,consisting,man,-1,-17.8340,1.0755
chimpanzee,cooking,chicken,-1,-13.9510,1.1949
chimpanzee,costing,pistol,-1,-18.2920,0.8804
chimpanzee,counting,month,-1,-16.8030,1.1061
chimpanzee,covering,eye,1,-16.0680,1.1343
chimpanzee,covering,face,1,-15.4400,1.1307
chimpanzee,cracking,nut,1,-15.1180,1.1958
chimpanzee,cradling,arm,-1,-17.1530,1.1130
chimpanzee,crawling,belly,-1,-17.3470,1.0718
chimpanzee,crawling,fence,-1,-18.6460,1.1037
chimpanzee,crawling,sofa,-1,-18.5280,1.0359
chimpanzee,crossing,current,-1,-15.0130,0.9712
chimpanzee,crossing,path,1,-14.6160,0.8498
chimpanzee,crossing,road,1,-13.5180,0.7588
chimpanzee,crouching,ground,1,-17.7180,0.9185
chimpanzee,crushing,prey,-1,-16.7980,1.1673
chimpanzee,cutting,air,-1,-15.2450,1.0978
chimpanzee,dancing,rope,-1,-15.5950,1.0822
chimpanzee,darting,flower,-1,-18.9610,1.0764
chimpanzee,dazzling,girl,-1,-15.3510,1.0694
chimpanzee,destroying,husband,-1,-18.0460,1.1271
chimpanzee,digging,claw,-1,-16.8420,1.1753
chimpanzee,directing,day,-1,-16.0210,1.1883
chimpanzee,displaying,banner,-1,-15.2010,0.9022
chimpanzee,dividing,cloak,-1,-17.4820,1.0722
chimpanzee,dividing,price,-1,-16.6710,1.0695
chimpanzee,dogging,victim,-1,-18.6880,0.9261
chimpanzee,drawing,bow,-1,-14.6420,0.9665
chimpanzee,drawing,buggy,-1,-16.4780,0.9622
chimpanzee,drawing,car,-1,-14.4300,1.0777
chimpanzee,drawing,cart,-1,-15.6720,1.1638
chimpanzee,drawing,claw,-1,-16.6480,1.0719
chimpanzee,drawing,coach,-1,-15.3610,0.9252
chimpanzee,drawing,equipment,-1,-13.4790,1.0769
chimpanzee,drawing,hat,-1,-15.6200,1.0939
chimpanzee,drawing,honey,-1,-15.5220,1.1711
chimpanzee,drawing,ox,-1,-16.1080,1.0663
chimpanzee,drawing,sleigh,-1,-16.8880,0.9889
chimpanzee,drawing,swarm,-1,-16.9750,0.9513
chimpanzee,drawing,sword,-1,-14.9120,0.9708
chimpanzee,drawing,train,-1,-15.2800,1.0318
chimpanzee,drawing,transportation,-1,-15.6400,1.0522
chimpanzee,drawing,vehicle,-1,-14.2830,1.0389
chimpanzee,dressing,lady,-1,-16.2580,1.1297
chimpanzee,drinking,ale,-1,-14.5540,1.0505
chimpanzee,drinking,beer,-1,-12.8000,1.0911
chimpanzee,drinking,milk,1,-13.0890,1.2171
chimpanzee,drinking,water,1,-11.3270,1.1355
chimpanzee,driving,car,-1,-13.9580,1.1436
chimpanzee,driving,carriage,-1,-15.7320,0.9141
chimpanzee,driving,cart,-1,-15.5560,1.0812
chimpanzee,driving,jackal,-1,-18.8490,1.1170
chimpanzee,driving,north,-1,-14.5780,1.0004
chimpanzee,dropping,shoe,-1,-17.2850,0.9129
chimpanzee,dunging,use,-1,-18.9290,0.6486
chimpanzee,dying,minute,-1,-16.3560,1.2028
chimpanzee,dying,silence,-1,-17.0090,1.1404
chimpanzee,eating,apple,1,-13.3240,1.1576
chimpanzee,eating,banana,1,-10.6310,1.1485
chimpanzee,eating,breakfast,-1,-12.4740,1.1887
chimpanzee,eating,carrot,1,-14.1310,1.1673
chimpanzee,eating,cat,-1,-13.4890,1.2184
chimpanzee,eating,contest,-1,-12.3120,1.2312
chimpanzee,eating,corn,-1,-13.3940,1.1465
chimpanzee,eating,dinner,-1,-12.5760,1.1312
chimpanzee,eating,eagle,-1,-14.0210,1.1879
chimpanzee,eating,fish,-1,-12.4880,1.2352
chimpanzee,eating,food,1,-12.1580,1.2157
chimpanzee,eating,grass,1,-12.9640,1.1865
chimpanzee,eating,hay,1,-13.6720,1.1824
chimpanzee,eating,icecream,1,-14.1110,1.1352
chimpanzee,eating,kid,-1,-14.5270,1.2198
chimpanzee,eating,leaf,1,-14.7630,1.2029
chimpanzee,eating,man,-1,-13.4540,1.2122
chimpanzee,eating,meat,1,-12.2820,1.1923
chimpanzee,eating,nut,1,-14.5150,1.1910
chimpanzee,eating,piece,-1,-14.7030,1.2144
chimpanzee,eating,rabbit,-1,-14.0110,1.1251
chimpanzee,eating,sheep,-1,-14.2520,1.1967
chimpanzee,emerging,pupa,-1,-16.9730,1.0271
chimpanzee,enjoying,community,-1,-15.2970,1.1826
chimpanzee,entering,flower,-1,-17.1980,1.1214
chimpanzee,entering,rome,-1,-16.0890,1.1585
chimpanzee,esteeming,happiness,-1,-20.5290,0.9957
chimpanzee,examining,pocket,-1,-16.4410,1.1258
chimpanzee,examining,veterinarian,-1,-14.3690,1.0517
chimpanzee,exciting,pity,-1,-16.6350,1.0321
chimpanzee,expecting,food,-1,-15.8470,1.0852
chimpanzee,facing,baboon,-1,-19.1820,1.0965
chimpanzee,facing,lady,-1,-16.4740,1.1408
chimpanzee,falling,ankle,-1,-17.1630,1.0138
chimpanzee,falling,branch,1,-15.2230,1.1153
chimpanzee,falling,fatigue,-1,-16.6870,1.0463
chimpanzee,falling,front,-1,-16.2760,1.0775
chimpanzee,falling,hand,-1,-16.0120,1.1438
chimpanzee,falling,love,-1,-15.2230,1.1711
chimpanzee,falling,river,-1,-15.4290,1.0460
chimpanzee,falling,time,-1,-15.2290,1.2220
chimpanzee,falling,want,-1,-16.9190,1.2295
chimpanzee,fastening,cord,-1,-16.3310,0.8519
chimpanzee,fearing,fire,-1,-16.7140,1.1399
chimpanzee,feeing,bark,-1,-20.2870,1.2148
chimpanzee,feeing,carrion,-1,-21.4110,1.1235
chimpanzee,feeing,cat,-1,-19.0920,1.2351
chimpanzee,feeing,chicken,-1,-19.2150,1.2348
chimpanzee,feeing,insect,-1,-20.2100,1.1962
chimpanzee,feeing,kitten,-1,-20.3020,1.1856
chimpanzee,feeing,pig,-1,-19.9880,1.1935
chimpanzee,feeing,plain,-1,-19.5940,1.2255
chimpanzee,fighting,bull,-1,-13.9720,1.1448
chimpanzee,filling,air,-1,-15.4610,1.2113
chimpanzee,filling,jaw,-1,-17.1150,1.1140
chimpanzee,finding,companion,-1,-16.2440,1.1558
chimpanzee,finding,way,-1,-14.8630,1.1956
chimpanzee,finding,winner,-1,-16.9290,1.2232
chimpanzee,firing,gun,-1,-14.5910,1.0179
chimpanzee,fitting,man,-1,-15.9800,1.1069
chimpanzee,fixing,heel,-1,-17.1360,1.0592
chimpanzee,flapping,wing,-1,-14.7840,1.1239
chimpanzee,fleeing,hill,-1,-17.9550,1.0467
chimpanzee,fleeing,sight,-1,-18.6480,1.2049
chimpanzee,flirting,head,-1,-17.8550,1.0443
chimpanzee,floating,surface,-1,-15.4040,1.0806
chimpanzee,fluttering,ground,-1,-18.3880,1.0207
chimpanzee,flying,direction,-1,-15.5980,1.0386
chimpanzee,flying,fish,-1,-12.9730,1.1087
chimpanzee,flying,fox,-1,-13.2690,0.9761
chimpanzee,flying,freedom,-1,-15.3050,1.0121
chimpanzee,flying,front,-1,-15.3380,1.0096
chimpanzee,flying,head,-1,-14.6050,1.0756
chimpanzee,flying,house,-1,-14.3410,1.1825
chimpanzee,flying,man,-1,-14.0280,1.1003
chimpanzee,flying,overhead,-1,-13.7570,1.0093
chimpanzee,flying,space,-1,-14.5320,0.9295
chimpanzee,flying,top,-1,-14.6370,1.1336
chimpanzee,flying,water,-1,-14.6460,1.0521
chimpanzee,foaling,calf,-1,-17.5940,1.1601
chimpanzee,foaming,mouth,1,-15.9290,1.0998
chimpanzee,following,cook,-1,-15.7050,1.1078
chimpanzee,following,devil,-1,-16.6670,1.0273
chimpanzee,following,lesion,-1,-16.2730,1.0956
chimpanzee,following,nose,-1,-16.2360,1.1332
chimpanzee,following,removal,-1,-14.5600,1.1580
chimpanzee,following,wagon,-1,-16.7940,0.9593
chimpanzee,forgetting,rage,-1,-18.8390,0.9193
chimpanzee,frightening,dog,-1,-16.5940,1.1216
chimpanzee,frightening,tiger,-1,-17.7180,1.0721
chimpanzee,frightening,wolf,-1,-17.4750,1.1113
chimpanzee,frothing,mouth,1,-16.6570,0.9377
chimpanzee,furnishing,saddle,-1,-18.5590,0.7438
chimpanzee,galloping,foot,-1,-16.8840,1.0282
chimpanzee,galloping,hoof,-1,-16.9770,1.0457
chimpanzee,galloping,horse,-1,-14.6230,1.0918
chimpanzee,gathering,honey,1,-15.8070,1.1668
chimpanzee,gathering,nectar,-1,-15.6630,1.0860
chimpanzee,gathering,pollen,-1,-15.7350,1.0149
chimpanzee,gathering,speed,-1,-15.0740,1.0931
chimpanzee,gelding,mare,-1,-14.8620,1.0675
chimpanzee,geting,cream,-1,-18.5120,1.1559
chimpanzee,geting,fight,-1,-18.6640,1.2142
chimpanzee,geting,nose,-1,-19.0400,1.1273
chimpanzee,geting,possession,-1,-19.2310,1.1824
chimpanzee,geting,scent,-1,-19.5430,1.2240
chimpanzee,geting,tongue,-1,-19.1460,1.1391
chimpanzee,getting,head,-1,-14.2060,1.1951
chimpanzee,getting,honey,-1,-15.2710,1.1423
chimpanzee,getting,name,-1,-15.3390,1.1458
chimpanzee,getting,nose,-1,-15.5620,1.0773
chimpanzee,getting,relief,-1,-14.5310,1.0513
chimpanzee,giving,breed,-1,-16.5870,1.1613
chimpanzee,giving,danger,-1,-16.7560,1.2076
chimpanzee,giving,food,1,-14.0280,1.2196
chimpanzee,giving,glory,-1,-14.2740,1.0209
chimpanzee,giving,horse,-1,-14.9930,1.1137
chimpanzee,giving,lord,-1,-15.5390,1.0958
chimpanzee,giving,master,-1,-15.1640,1.0924
chimpanzee,giving,roar,-1,-17.3180,1.1682
chimpanzee,giving,word,-1,-14.8690,1.0540
chimpanzee,gleaming,patch,-1,-17.6250,0.7410
chimpanzee,gliding,forest,-1,-17.7880,1.1508
chimpanzee,glittering,spout,-1,-19.6730,1.0425
chimpanzee,gnashing,tooth,1,-17.2900,1.0533
chimpanzee,going,earth,-1,-16.6820,1.1278
chimpanzee,going,fox,-1,-16.3370,1.2063
chimpanzee,going,nut,-1,-16.2310,1.1761
chimpanzee,going,way,-1,-14.2770,1.1966
chimpanzee,grazing,cattle,-1,-14.3040,0.9931
chimpanzee,grazing,land,-1,-13.9800,1.1357
chimpanzee,greeting,arthur,-1,-15.6310,1.0456
chimpanzee,grooming,service,-1,-12.8570,1.2420
chimpanzee,grooming,tool,-1,-13.1070,1.2156
chimpanzee,growing,wool,-1,-15.9210,1.1276
chimpanzee,growling,bone,-1,-18.7830,1.0807
chimpanzee,growling,prey,-1,-19.6500,1.1260
chimpanzee,guarding,bone,-1,-17.9550,1.0710
chimpanzee,guarding,egg,-1,-16.9540,1.1230
chimpanzee,guarding,sheep,-1,-15.9140,1.0905
chimpanzee,hanging,air,-1,-13.4810,1.1859
chimpanzee,hanging,branch,1,-13.9280,1.1084
chimpanzee,hanging,chain,-1,-13.1400,1.1686
chimpanzee,hanging,forehead,-1,-16.3190,0.9787
chimpanzee,hanging,head,-1,-13.6740,1.1887
chimpanzee,hanging,milk,-1,-14.8520,1.1877
chimpanzee,hanging,nest,-1,-14.5030,1.1537
chimpanzee,hanging,tail,-1,-14.7660,1.1552
chimpanzee,harnessing,cart,-1,-18.0060,1.0751
chimpanzee,hatching,egg,-1,-14.8390,1.1874
chimpanzee,hearing,name,-1,-15.7220,1.1815
chimpanzee,hearing,noise,-1,-15.0640,1.0698
chimpanzee,hearing,owl,-1,-17.3360,1.1278
chimpanzee,hearing,shepherd,-1,-16.9800,1.0839
chimpanzee,hearing,sound,-1,-14.5260,1.1656
chimpanzee,hearing,trumpet,-1,-16.0350,1.0335
chimpanzee,hearing,voice,-1,-15.5240,1.1210
chimpanzee,helping,hand,-1,-12.3790,1.1513
chimpanzee,herding,sheep,-1,-14.9360,1.1451
chimpanzee,hiding,bone,-1,-17.6250,1.1216
chimpanzee,holding,arm,-1,-13.9420,1.1290
chimpanzee,holding,groom,-1,-15.2180,1.2143
chimpanzee,holding,mouse,-1,-14.7680,1.1515
chimpanzee,holding,piece,-1,-14.6500,1.1359
chimpanzee,holding,rein,-1,-15.7850,1.1017
chimpanzee,holding,shield,-1,-14.0280,1.0650
chimpanzee,holding,tail,-1,-14.7480,1.1401
chimpanzee,hooting,owl,-1,-12.2740,1.1107
chimpanzee,hovering,nest,-1,-19.2110,1.1522
chimpanzee,howling,pain,-1,-16.5340,1.1172
chimpanzee,humming,bird,-1,-14.0490,1.1680
chimpanzee,humming,flower,-1,-17.4670,1.0380
chimpanzee,hunting,africa,-1,-13.1180,1.2085
chimpanzee,hunting,hound,-1,-13.6730,1.1071
chimpanzee,hunting,leopard,-1,-13.9420,1.1503
chimpanzee,hunting,parson,-1,-14.9710,0.9795
chimpanzee,hunting,stamp,-1,-13.9240,1.1388
chimpanzee,hurting,paw,-1,-17.7730,1.0744
chimpanzee,imitating,ox,-1,-19.4870,1.0241
chimpanzee,indulging,abuse,-1,-18.5630,1.0779
chimpanzee,issuing,mouth,-1,-17.8620,1.1371
chimpanzee,jingling,bell,-1,-16.1770,1.0390
chimpanzee,joining,army,-1,-15.6240,1.0535
chimpanzee,joining,battle,-1,-15.9020,1.2066
chimpanzee,keeping,company,-1,-14.7350,1.2058
chimpanzee,keeping,door,-1,-16.1650,0.9924
chimpanzee,keeping,egg,-1,-16.3830,1.1455
chimpanzee,keeping,mouse,-1,-16.7570,1.1327
chimpanzee,keeping,sheep,-1,-15.4670,1.1070
chimpanzee,keeping,tooth,-1,-16.8310,1.1294
chimpanzee,kicking,boy,-1,-16.5780,1.0031
chimpanzee,kicking,heel,-1,-16.9970,0.9744
chimpanzee,killing,digestion,-1,-17.8550,1.1547
chimpanzee,killing,prey,-1,-15.6280,1.1801
chimpanzee,killing,stag,-1,-17.2390,1.0585
chimpanzee,knocking,heart,-1,-16.8370,1.1316
chimpanzee,knowing,danger,-1,-16.8860,1.0730
chimpanzee,knowing,gentleman,-1,-17.4000,0.9913
chimpanzee,knowing,hawk,-1,-17.8050,1.0652
chimpanzee,knowing,lip,-1,-17.8630,1.1287
chimpanzee,knowing,meat,-1,-17.5140,1.0446
chimpanzee,knowing,name,-1,-16.4210,1.1861
chimpanzee,knowing,science,-1,-15.9420,1.1450
chimpanzee,knowing,strength,-1,-17.1720,1.0882
chimpanzee,lashing,side,-1,-17.4600,0.8569
chimpanzee,leading,boy,-1,-16.1200,1.1083
chimpanzee,leading,team,-1,-14.4750,1.2180
chimpanzee,leaping,air,1,-17.6040,1.0928
chimpanzee,leaping,lair,-1,-20.0300,0.9525
chimpanzee,leaping,prey,-1,-19.5640,1.1079
chimpanzee,leaping,wall,-1,-17.0640,1.0033
chimpanzee,leaving,pail,-1,-18.3480,1.0778
chimpanzee,letting,man,-1,-16.2030,1.1178
chimpanzee,licking,calf,-1,-16.7200,1.1308
chimpanzee,licking,cub,-1,-16.4780,1.1131
chimpanzee,licking,face,-1,-13.9110,1.1766
chimpanzee,licking,kitten,-1,-15.6910,1.1246
chimpanzee,licking,master,-1,-15.0510,1.0759
chimpanzee,licking,nose,-1,-15.1350,1.1594
chimpanzee,licking,paw,-1,-15.0590,1.0704
chimpanzee,lifting,latch,-1,-16.7740,0.9833
chimpanzee,lifting,mane,-1,-18.7950,1.0989
chimpanzee,lighting,fire,1,-13.6070,1.1005
chimpanzee,liking,bone,-1,-17.8920,0.8948
chimpanzee,liking,figure,-1,-16.8740,1.1305
chimpanzee,liking,fish,-1,-16.5560,1.1581
chimpanzee,liking,icecream,-1,-19.7180,0.9005
chimpanzee,liking,way,-1,-16.8250,1.1378
chimpanzee,limping,paw,-1,-17.8200,1.0891
chimpanzee,listening,voice,-1,-15.9670,1.0863
chimpanzee,living,house,-1,-13.9690,1.0484
chimpanzee,living,lady,-1,-15.4840,1.1758
chimpanzee,living,lamb,-1,-15.6640,1.1319
chimpanzee,lolling,tongue,-1,-15.8200,1.0268
chimpanzee,looking,dog,-1,-79.1650,1.1932
chimpanzee,looking,food,-1,-79.3680,1.2192
chimpanzee,looking,hole,-1,-80.1560,1.0843
chimpanzee,losing,dinner,-1,-17.1710,1.0755
chimpanzee,losing,flesh,-1,-16.2840,1.0761
chimpanzee,losing,scent,-1,-17.2020,1.0580
chimpanzee,losing,weight,-1,-12.8880,1.1307
