Subject,Verb,Object,Label,MSRLM Score,VisKE Score
cow,according,custom,-1,-15.0330,1.0455
cow,acting,lord,-1,-14.7780,1.0071
cow,adorning,ribbon,-1,-18.0630,0.9988
cow,appointing,meat,-1,-17.1260,0.9732
cow,attaching,buggy,-1,-17.4190,1.0179
cow,attaching,cuff,-1,-15.7630,1.0387
cow,attacking,lion,-1,-12.4610,1.1895
cow,banding,program,-1,-13.6630,1.0812
cow,baring,tooth,-1,-17.6890,1.1083
cow,barking,cat,-1,-13.3080,0.9291
cow,barking,house,-1,-13.7680,0.7551
cow,barking,stranger,-1,-16.7790,1.0090
cow,basking,shark,-1,-12.4290,1.0125
cow,bearding,seal,-1,-18.4480,1.0834
cow,beating,unicorn,-1,-16.7700,1.0227
cow,becoming,child,-1,-14.3160,1.1742
cow,belonging,cat,-1,-15.8410,1.0664
cow,belonging,family,-1,-13.8740,1.1415
cow,belonging,genu,-1,-18.6370,0.9819
cow,bending,mace,-1,-17.8100,0.8908
cow,biting,cat,-1,-13.6550,1.1198
cow,biting,child,-1,-13.5400,1.1465
cow,biting,companion,-1,-16.1470,1.0643
cow,biting,dog,-1,-12.5080,1.1488
cow,biting,prey,-1,-14.4220,1.1714
cow,biting,serum,-1,-16.1570,0.9985
cow,bitting,cat,-1,-17.2590,1.0407
cow,bitting,child,-1,-16.6980,1.1430
cow,bitting,dog,-1,-15.7090,1.0960
cow,bitting,horse,-1,-15.5650,1.0246
cow,blowing,conch,-1,-13.9750,1.0285
cow,breaking,canter,-1,-81.5600,0.9440
cow,breeding,establishment,-1,-12.3030,1.1557
cow,bringing,arm,-1,-15.0880,0.9875
cow,bringing,nail,-1,-15.1790,1.1749
cow,brooding,chicken,-1,-15.1780,1.0599
cow,building,nest,-1,-14.4150,1.0530
cow,burrowing,log,-1,-16.8640,1.0044
cow,bursting,sunlight,-1,-15.9720,1.0909
cow,carrying,basket,-1,-13.3370,0.9905
cow,carrying,heart,-1,-14.2330,0.9107
cow,casing,steel,-1,-13.4750,0.9348
cow,catching,frisbee,-1,-14.3550,0.9205
cow,catching,mouse,-1,-14.2780,0.9249
cow,changing,color,-1,-12.9580,1.0341
cow,changing,hand,-1,-14.2360,1.0538
cow,changing,stripe,-1,-15.7470,0.8585
cow,charging,bear,-1,-13.7430,1.1562
cow,charging,cavalry,-1,-14.2630,1.1747
cow,chasing,gazelle,-1,-14.0850,1.0608
cow,chasing,prey,-1,-12.9440,1.1290
cow,chasing,rabbit,-1,-12.9650,1.0949
cow,chewing,toy,-1,-12.8920,1.1210
cow,choosing,mate,-1,-15.6750,1.1077
cow,clasping,hand,-1,-14.9740,0.9964
cow,cleaning,boot,-1,-14.7210,1.0412
cow,clinging,mother,-1,-15.5240,1.0750
cow,closing,mouth,1,-15.1810,1.0708
cow,coating,iron,-1,-14.3170,0.9038
cow,collecting,nectar,-1,-13.5560,1.1217
cow,commanding,colonel,-1,-15.0960,0.9205
cow,commanding,sir,-1,-15.8310,1.0494
cow,commenting,judge,-1,-16.7120,1.1201
cow,competing,field,-1,-15.2040,1.0804
cow,cooking,chicken,-1,-12.9610,1.0404
cow,counting,month,-1,-15.3260,0.9822
cow,covering,eye,-1,-14.5570,1.1370
cow,crossing,path,1,-12.7940,0.9740
cow,descending,colon,-1,-12.8230,1.0562
cow,digging,hole,1,-13.9650,1.0443
cow,dipping,robe,-1,-16.9510,0.9859
cow,disquieting,dreamer,-1,-19.0830,0.8730
cow,diving,water,-1,-13.2060,1.0704
cow,drawing,car,-1,-13.4670,1.1213
cow,drawing,carriage,1,-14.8130,1.1667
cow,drawing,cart,1,-14.7090,1.1681
cow,drawing,claw,-1,-15.6850,1.0411
cow,drawing,equipment,-1,-12.5160,1.0752
cow,drawing,hat,-1,-14.6570,1.1515
cow,drawing,honey,-1,-14.5590,1.0492
cow,drawing,ox,-1,-15.1450,1.1347
cow,drawing,sleigh,1,-15.9250,1.1572
cow,drawing,sword,-1,-13.9490,1.0582
cow,drawing,transportation,-1,-14.6770,1.1161
cow,drawing,vehicle,1,-13.3200,1.0863
cow,dressing,lady,-1,-14.9840,1.1185
cow,dressing,red,-1,-13.4610,1.0769
cow,driving,car,-1,-10.7950,1.0756
cow,driving,carriage,-1,-14.0960,1.1641
cow,driving,jackal,-1,-17.2130,1.1529
cow,dropping,shoe,-1,-14.8960,0.8879
cow,eating,apple,1,-12.3570,1.2079
cow,eating,banana,1,-12.5350,1.0251
cow,eating,breakfast,-1,-11.5070,1.0472
cow,eating,carrot,1,-13.1640,1.0963
cow,eating,cat,-1,-12.5220,1.1393
cow,eating,dinner,-1,-11.6090,1.0849
cow,eating,food,-1,-11.1910,1.1152
cow,eating,grass,1,-9.0670,1.2273
cow,eating,kid,-1,-13.5600,1.0669
cow,eating,leaf,1,-13.7960,1.1239
cow,eating,meat,-1,-11.3150,1.1377
cow,eating,nut,-1,-13.5480,1.1653
cow,eating,piece,-1,-13.7360,1.2366
cow,eating,rabbit,-1,-13.0440,1.1334
cow,esteeming,happiness,-1,-19.1800,0.9083
cow,facing,baboon,-1,-17.3680,1.0709
cow,falling,hand,-1,-13.9890,1.0707
cow,fastening,cord,-1,-14.9820,1.0454
cow,feeing,bark,-1,-18.9380,1.0694
cow,feeing,carrion,-1,-20.0620,1.1483
cow,feeing,insect,-1,-18.8610,1.1244
cow,feeing,kitten,-1,-18.9530,1.1643
cow,feeing,pig,-1,-18.6390,1.0298
cow,feeing,plain,-1,-18.2450,0.9676
cow,fighting,bull,-1,-12.5960,1.2187
cow,filling,jaw,1,-15.6790,1.0374
cow,finding,winner,-1,-16.0820,1.0237
cow,fluttering,nest,-1,-18.0660,1.1037
cow,flying,freedom,-1,-13.8320,1.1384
cow,flying,head,-1,-13.1320,1.1405
cow,flying,man,-1,-12.5550,1.0531
cow,flying,sky,-1,-12.9400,1.1585
cow,flying,space,-1,-13.0590,1.0802
cow,flying,top,-1,-13.1640,1.0713
cow,foaling,calf,-1,-10.7400,1.1022
cow,following,lesion,-1,-15.1870,1.1426
cow,following,removal,-1,-13.4740,1.0402
cow,frightening,dog,-1,-15.2450,1.1403
cow,furnishing,leather,-1,-14.9540,0.7006
cow,galloping,field,-1,-14.3240,1.0806
cow,galloping,horse,-1,-12.1650,1.0635
cow,galloping,side,-1,-14.6640,1.1124
cow,gathering,pollen,-1,-14.0560,1.0426
cow,gelding,mare,-1,-12.4920,1.1519
cow,geting,cream,-1,-17.1630,1.0264
cow,getting,head,-1,-12.6070,1.0607
cow,giving,horse,-1,-13.4820,1.1399
cow,giving,lord,-1,-14.0280,1.0748
cow,giving,word,-1,-13.3580,1.1552
cow,glittering,spout,-1,-18.3240,1.0370
cow,going,nut,-1,-79.9140,1.0720
cow,grazing,cattle,-1,-10.3980,1.2253
cow,grazing,land,1,-10.8000,1.1670
cow,grazing,pasture,1,-11.1200,1.2014
cow,grazing,skirt,-1,-12.3790,1.1043
cow,greeting,arthur,-1,-15.1570,0.9998
cow,hanging,branch,-1,-13.0930,1.0557
cow,hanging,chain,-1,-12.3050,0.9783
cow,hanging,head,1,-12.8390,1.0395
cow,hanging,tail,-1,-13.9310,1.1391
cow,harnessing,carriage,-1,-18.1570,1.0722
cow,hatching,cuckoo,-1,-17.8840,1.1753
cow,hatching,egg,-1,-12.8400,1.1605
cow,hearing,owl,-1,-16.1510,1.0438
cow,hearing,sound,-1,-13.3410,0.9702
cow,herding,sheep,-1,-10.7850,1.1567
cow,hitching,buggy,-1,-17.1260,1.0007
cow,hitching,rack,-1,-13.3300,0.8935
cow,holding,arm,-1,-13.2530,1.0315
cow,holding,groom,-1,-14.5290,1.0334
cow,holding,mouse,-1,-14.0790,1.0330
cow,holding,piece,-1,-13.9610,0.9742
cow,holding,rein,-1,-15.0960,1.1263
cow,holding,revolver,-1,-14.9110,1.0089
cow,holding,shield,-1,-13.3390,1.0972
cow,hooting,owl,-1,-14.2190,1.0700
cow,humming,flower,-1,-16.1180,1.1438
cow,hunting,africa,-1,-12.6440,1.2094
cow,hunting,hound,-1,-13.1990,1.2062
cow,hunting,leopard,-1,-13.4680,1.1012
cow,hurting,paw,-1,-15.9510,1.0606
cow,imitating,ox,-1,-17.0980,1.1329
cow,jingling,bell,-1,-14.8280,1.1473
cow,keeping,egg,-1,-14.2400,1.0077
cow,keeping,mouse,-1,-14.6140,1.0410
cow,keeping,sheep,-1,-13.3240,1.1446
cow,keeping,tooth,-1,-14.6880,1.1218
cow,kicking,heel,1,-14.1360,1.0998
cow,killing,digestion,-1,-14.9540,1.0514
cow,killing,prey,-1,-12.7270,1.1439
cow,knowing,lip,-1,-16.1450,0.9172
cow,knowing,meat,-1,-15.7960,1.1424
cow,leading,boy,-1,-14.9570,1.0934
cow,lengthening,stride,-1,-15.1910,1.0790
cow,licking,cub,-1,-15.1630,1.2164
cow,licking,face,1,-12.5960,1.1907
cow,licking,kitten,1,-14.3760,1.1757
cow,licking,nose,1,-13.8200,1.1917
cow,licking,paw,-1,-13.7440,1.1331
cow,liking,bone,-1,-15.8430,1.1130
cow,liking,figure,-1,-14.8250,1.0615
cow,liking,fish,-1,-14.5070,1.1049
cow,liking,icecream,-1,-17.6690,1.0785
cow,listening,gramophone,-1,-16.5170,1.0132
cow,looking,dog,-1,-78.2680,1.1431
cow,losing,dinner,-1,-15.3710,1.0185
cow,losing,weight,-1,-10.2970,1.0800
cow,lying,lamb,-1,-14.1290,1.1310
cow,lying,snow,1,-12.9090,1.2153
cow,lying,table,-1,-13.9170,1.1271
cow,lying,wait,-1,-13.8620,1.1468
cow,making,appearance,-1,-14.1220,1.0129
cow,making,attempt,-1,-14.2280,0.9677
cow,making,flour,-1,-13.7040,1.0465
cow,making,flower,-1,-13.2130,1.0602
cow,making,man,-1,-13.2190,0.9953
cow,meaning,man,-1,-13.0430,1.0499
cow,mentioning,shakespeare,-1,-15.8040,1.0165
cow,moving,head,1,-12.1310,0.9533
cow,moving,kitten,-1,-15.0240,1.1337
cow,moving,tongue,1,-14.1440,1.0774
cow,moving,tooth,-1,-15.0710,1.0624
cow,needing,shepherd,-1,-16.4270,1.0324
cow,nesting,season,-1,-12.7300,1.0655
cow,nursing,kitten,-1,-14.7750,1.1638
cow,nursing,pup,-1,-15.2120,1.2195
cow,obtaining,fleece,-1,-17.0070,1.1426
cow,offering,neck,-1,-15.3140,0.8902
cow,offering,object,-1,-15.1970,0.9418
cow,opening,eye,1,-14.5650,1.2031
cow,opening,jaw,1,-14.5940,1.0568
cow,opening,mouth,1,-13.7680,1.1208
cow,opening,oyster,-1,-15.5080,0.9611
cow,ornamenting,tuft,-1,-20.6530,1.1070
cow,packing,animal,-1,-15.4150,1.0760
cow,packing,mule,-1,-15.9960,1.0674
cow,paddling,canoe,-1,-13.8390,1.1189
cow,paring,nail,-1,-17.5070,0.9778
cow,pawing,air,-1,-16.5240,1.0559
cow,paying,attention,-1,-11.3980,0.9844
cow,perching,branch,-1,-15.9870,1.0215
cow,perching,tree,-1,-15.7000,1.1200
cow,picking,crumb,-1,-17.1090,0.8964
cow,piercing,arrow,-1,-14.5630,1.0659
cow,pinning,buffalo,-1,-17.1760,0.9657
cow,piping,plover,-1,-12.5670,1.2046
cow,playing,kitten,-1,-14.6810,1.1599
cow,playing,mouse,-1,-14.4590,1.1112
cow,playing,polo,-1,-13.5770,1.0499
cow,playing,yarn,-1,-15.6530,1.0112
cow,ploughing,field,1,-13.1020,1.2231
cow,plowing,field,1,-13.5480,1.2227
cow,poising,flower,-1,-18.4410,1.0917
cow,poising,jaw,-1,-19.2420,1.0688
cow,poisoning,arrow,-1,-15.6740,1.0014
cow,pollinating,flower,-1,-15.2320,1.1445
cow,pressing,hand,-1,-14.5810,1.0029
cow,providing,wool,-1,-15.0970,1.0178
cow,pulling,buggy,1,-14.5090,1.1770
cow,pulling,cart,1,-13.0340,1.1572
cow,pulling,plough,1,-14.9180,1.1823
cow,pulling,sleigh,-1,-13.5570,1.1903
cow,pursuing,hawk,-1,-16.3190,1.0006
cow,pushing,face,-1,-14.6000,1.0306
cow,putting,nose,-1,-14.9830,1.1674
cow,quoting,aristotle,-1,-14.6130,1.0107
cow,quoting,darwin,-1,-14.7680,0.8008
cow,racing,bet,-1,-12.9870,1.0227
