Subject,Verb,Object,Label,MSRLM Score,VisKE Score
dog,accomplishing,escape,-1,-16.6270,0.7637
dog,according,bruce,-1,-14.4770,0.9442
dog,according,custom,-1,-14.2770,1.0218
dog,acting,lord,-1,-13.4310,1.0533
dog,adding,faith,-1,-14.6160,1.0033
dog,adorning,ribbon,-1,-16.4580,1.0420
dog,affecting,disease,-1,-13.9330,1.1873
dog,annoying,country,-1,-14.2160,1.0896
dog,appointing,meat,-1,-16.3690,1.0720
dog,arching,neck,1,-13.5250,1.0953
dog,arresting,attention,-1,-14.5700,0.9511
dog,assuming,suit,-1,-15.6170,1.0456
dog,attaching,cuff,-1,-14.7840,1.0798
dog,attacking,horse,1,-13.1670,1.0978
dog,attacking,lion,-1,-10.6700,1.1881
dog,attacking,side,-1,-11.6840,1.1127
dog,attuning,spirit,-1,-17.8220,1.0073
dog,banding,program,-1,-13.6280,1.1180
dog,basking,shark,-1,-10.4910,0.9554
dog,bearding,seal,-1,-14.9490,1.1127
dog,bearing,weight,-1,-12.9570,1.1033
dog,beating,unicorn,-1,-15.4970,0.9956
dog,becoming,apollo,-1,-80.3150,1.0388
dog,becoming,child,-1,-78.4600,1.0647
dog,becoming,part,-1,-76.3960,1.1161
dog,becoming,prince,-1,-78.9490,1.1371
dog,belonging,bill,-1,-14.9510,1.1057
dog,belonging,cat,-1,-15.1650,1.1193
dog,belonging,family,-1,-13.1980,1.1321
dog,belonging,harrier,-1,-17.1080,1.1688
dog,belonging,sir,-1,-14.7010,1.0968
dog,bending,neck,1,-13.8080,1.1064
dog,biting,dog,1,-8.9750,1.1726
dog,biting,serum,-1,-14.3200,1.0985
dog,bitting,mouse,-1,-14.7410,1.1257
dog,bitting,somebody,-1,-15.2750,1.1820
dog,bitting,someone,-1,-13.0220,1.1964
dog,blooming,water,-1,-13.2440,1.0608
dog,breaking,canter,-1,-15.2220,0.8031
dog,breaking,control,-1,-13.4250,1.0019
dog,breaking,halter,-1,-13.7690,1.1153
dog,breaking,pointer,-1,-15.2820,1.0630
dog,breathing,air,-1,-11.0420,1.1210
dog,breathing,fire,-1,-10.6090,0.9099
dog,breeding,establishment,-1,-8.9260,1.0511
dog,bringing,arm,-1,-14.3510,1.0679
dog,bringing,blood,-1,-12.9880,1.1503
dog,bringing,nail,-1,-14.4420,1.1294
dog,brooding,chicken,-1,-14.1070,1.1555
dog,building,fire,-1,-11.9070,0.7402
dog,building,nest,-1,-13.7140,1.0168
dog,burrowing,log,-1,-14.5860,1.0197
dog,bursting,ear,-1,-14.7000,1.1434
dog,bursting,sunlight,-1,-15.1430,1.0337
dog,burying,snow,-1,-14.5010,1.1102
dog,buzzing,flower,-1,-15.3050,1.0911
dog,caparisoning,cloth,-1,-19.5550,0.9571
dog,carrying,head,-1,-13.1100,1.0138
dog,carrying,pollen,-1,-12.7040,1.0592
dog,carrying,roll,-1,-13.3850,1.0453
dog,carrying,sword,-1,-13.4430,1.0228
dog,casing,steel,-1,-12.6840,1.0618
dog,catching,mouse,-1,-13.2350,1.1149
dog,catching,salmon,1,-12.0800,1.0313
dog,causing,ewe,-1,-16.0520,1.2172
dog,chafing,sweat,-1,-14.1120,0.9396
dog,changing,color,-1,-12.0800,1.1476
dog,changing,stripe,-1,-14.8690,0.9178
dog,charging,bear,-1,-13.0000,1.1243
dog,charging,cavalry,-1,-13.5200,1.1489
dog,charging,home,-1,-12.8790,0.8513
dog,chasing,mouse,1,-12.5380,1.0360
dog,chasing,prey,1,-11.7830,0.8892
dog,chewing,tobacco,-1,-9.4670,1.0978
dog,choosing,mate,-1,-14.3680,1.1147
dog,choosing,tree,-1,-13.9410,0.8789
dog,clasping,hand,-1,-14.2170,1.0825
dog,cleaning,boot,-1,-13.8370,1.0716
dog,clinging,mother,-1,-13.8990,1.1381
dog,closing,mouth,1,-14.1430,1.1064
dog,clutching,bramble,-1,-17.7100,0.9647
dog,coating,iron,-1,-13.9720,1.1184
dog,coiling,neck,-1,-16.7710,1.1406
dog,collecting,honey,-1,-13.2960,0.9433
dog,collecting,nectar,-1,-13.1420,1.1346
dog,commanding,colonel,-1,-13.8110,0.9968
dog,commanding,lieutenant,-1,-13.7620,1.0136
dog,commanding,sir,-1,-14.5460,1.0160
dog,commenting,judge,-1,-16.7150,1.1257
dog,committing,care,-1,-16.6140,1.1300
dog,comparing,heart,-1,-79.4970,1.1363
dog,compressing,lip,-1,-17.0140,1.0698
dog,computing,stature,-1,-17.3960,1.0030
dog,cooking,chicken,-1,-12.0400,1.1725
dog,counting,month,-1,-14.7620,1.0931
dog,covering,eye,1,-13.8580,1.1653
dog,covering,face,1,-13.2300,1.1023
dog,cracking,nut,-1,-14.4520,1.0939
dog,cradling,arm,-1,-13.9630,1.0214
dog,crushing,prey,-1,-14.3590,1.1005
dog,cutting,air,-1,-13.1080,1.1005
dog,dancing,rope,-1,-13.4480,1.0662
dog,darting,flower,-1,-15.3060,1.0023
dog,depositing,egg,-1,-14.3720,1.1325
dog,depriving,calf,-1,-17.2500,1.1437
dog,descending,colon,-1,-12.2920,1.0850
dog,destroying,husband,-1,-15.1580,0.9418
dog,digging,claw,-1,-13.0130,1.1588
dog,dogging,victim,-1,-15.1920,1.0356
dog,drawing,bow,-1,-12.8340,1.1059
dog,drawing,car,-1,-12.6220,1.0474
dog,drawing,carriage,1,-13.9680,1.1274
dog,drawing,cart,1,-13.8640,1.1195
dog,drawing,claw,-1,-14.8400,1.0580
dog,drawing,equipment,-1,-11.6710,0.8830
dog,drawing,hat,-1,-13.8120,1.1266
dog,drawing,honey,-1,-13.7140,1.1019
