Subject,Verb,Object,Label,MSRLM Score,VisKE Score
elephant,according,custom,-1,-15.3410,0.9224
elephant,acting,lord,-1,-14.8340,1.0356
elephant,adorning,ribbon,-1,-16.4880,1.0021
elephant,arching,neck,-1,-15.1890,0.8116
elephant,arresting,attention,-1,-15.5290,1.0044
elephant,attaching,buggy,-1,-17.9330,0.9880
elephant,attaching,cuff,-1,-16.2770,1.0612
elephant,attacking,horse,-1,-14.1160,1.0220
elephant,attacking,lion,-1,-11.6190,1.1678
elephant,attacking,side,-1,-12.6330,1.0944
elephant,attuning,spirit,-1,-18.8290,1.0314
elephant,baring,tooth,-1,-17.9390,1.1432
elephant,barking,cat,-1,-13.8610,1.0664
elephant,barking,night,-1,-15.7430,1.1128
elephant,barking,stranger,-1,-17.3320,1.0525
elephant,basking,shark,-1,-12.2290,1.0602
elephant,bearding,seal,-1,-18.6980,1.2080
elephant,bearing,tattoo,-1,-15.7890,1.0656
elephant,beating,unicorn,-1,-16.5150,0.9340
elephant,becoming,child,-1,-14.4700,1.1479
elephant,becoming,companion,-1,-15.8060,1.0371
elephant,becoming,part,-1,-12.4060,1.1167
elephant,becoming,symbol,-1,-15.3160,1.0477
elephant,belonging,family,-1,-14.7410,1.0704
elephant,biting,case,-1,-14.7050,1.0653
elephant,biting,prey,-1,-14.9370,1.1707
elephant,biting,serum,-1,-16.6720,0.9931
elephant,bitting,cat,-1,-17.5090,1.1386
elephant,bitting,child,-1,-16.9480,1.1117
elephant,bitting,dog,-1,-15.9590,1.1251
elephant,bitting,horse,-1,-15.8150,1.0175
elephant,bitting,mouse,-1,-17.9050,1.1284
elephant,bitting,somebody,-1,-18.4390,1.0082
elephant,bitting,someone,-1,-16.1860,1.1429
elephant,blooming,water,-1,-14.2580,0.8790
elephant,blowing,conch,-1,-13.7860,1.0564
elephant,brandishing,firebrand,-1,-20.4040,0.8127
elephant,breaking,step,-1,-14.2310,1.1113
elephant,breathing,air,-1,-12.3270,1.1082
elephant,breeding,establishment,-1,-12.6950,1.1849
elephant,bringing,blood,-1,-14.0120,1.0096
elephant,bringing,nail,-1,-15.4660,1.0639
elephant,burrowing,log,-1,-17.1140,1.1603
elephant,bursting,ear,-1,-15.3050,0.9115
elephant,burying,snow,-1,-15.7740,0.9490
elephant,buzzing,flower,-1,-16.2420,1.1108
elephant,caparisoning,cloth,-1,-20.5620,1.0755
elephant,carrying,head,-1,-13.7460,1.0770
elephant,carrying,heart,-1,-13.7240,1.0534
elephant,carrying,house,-1,-13.9770,0.9684
elephant,carrying,roll,-1,-14.0210,0.9142
elephant,carrying,sword,-1,-14.0790,0.9551
elephant,casing,steel,-1,-14.1690,0.9987
elephant,catching,mouse,-1,-14.2280,0.8903
elephant,chaining,side,-1,-15.7050,1.1743
elephant,changing,color,-1,-13.1740,1.0923
elephant,changing,hand,-1,-14.4520,1.0085
elephant,changing,stripe,-1,-15.9630,1.0000
elephant,charging,bear,-1,-12.8550,1.2311
elephant,charging,cavalry,-1,-13.3750,1.0460
elephant,charging,home,-1,-12.7340,1.1524
elephant,chasing,gazelle,-1,-14.0140,1.1870
elephant,chasing,man,1,-13.2160,1.1183
elephant,chasing,mouse,-1,-13.6280,1.0797
elephant,chasing,prey,-1,-12.8730,1.1756
elephant,chasing,rabbit,-1,-12.8940,1.0802
elephant,chewing,tobacco,-1,-11.8780,1.0064
elephant,chewing,toy,-1,-13.9920,1.2145
elephant,clasping,hand,-1,-15.2240,0.7887
elephant,cleaning,boot,-1,-15.2180,1.0776
elephant,clinging,mother,-1,-15.7740,1.1647
elephant,closing,mouth,1,-15.0850,1.0070
