Subject,Verb,Object,Label,MSRLM Score,VisKE Score
giraffe,according,bruce,-1,-81.3490,0.9753
giraffe,according,custom,-1,-81.1490,0.9198
giraffe,acting,manner,-1,-16.2590,1.0685
giraffe,adorning,ribbon,-1,-18.9150,1.0118
giraffe,allowing,guide,-1,-16.3140,1.1541
giraffe,approaching,trot,-1,-17.5920,0.9996
giraffe,arching,neck,1,-15.7910,1.0145
giraffe,assembling,person,-1,-16.9240,0.9963
giraffe,assuming,suit,-1,-17.4150,0.9768
giraffe,attaching,buggy,-1,-18.5350,1.0384
giraffe,attaching,cuff,-1,-16.8790,1.0215
giraffe,attaching,end,-1,-15.5580,0.9674
giraffe,attacking,horse,-1,-15.2540,1.1188
giraffe,attacking,lion,-1,-12.7570,1.1866
giraffe,attuning,spirit,-1,-19.4310,1.1078
giraffe,baring,tooth,-1,-18.5410,1.0599
giraffe,barking,night,-1,-16.2990,0.9879
giraffe,barking,stranger,-1,-17.8880,1.0639
giraffe,bearding,seal,-1,-19.3000,1.0138
giraffe,bearing,tattoo,-1,-16.9350,0.9936
giraffe,beating,jungle,-1,-16.7290,0.8865
giraffe,becoming,child,-1,-15.3930,1.0520
giraffe,becoming,companion,-1,-16.7290,0.9702
giraffe,belonging,bill,-1,-16.4600,0.9227
giraffe,bending,neck,1,-13.9240,1.0891
giraffe,biting,child,-1,-15.5030,0.9878
giraffe,biting,companion,-1,-18.1100,0.8330
giraffe,biting,fly,-1,-14.8740,1.0506
giraffe,biting,leg,-1,-16.1880,0.9897
giraffe,biting,prey,-1,-16.3850,0.9757
giraffe,biting,serum,-1,-18.1200,0.7938
giraffe,biting,statute,-1,-18.1860,1.0040
giraffe,bitting,cat,-1,-16.5090,1.0156
giraffe,bitting,child,-1,-15.9480,0.9913
giraffe,bitting,dog,-1,-14.9590,1.1169
giraffe,bitting,horse,-1,-14.8150,1.1018
giraffe,bitting,somebody,-1,-17.4390,0.9796
giraffe,breaking,canter,-1,-17.3760,1.0334
giraffe,breaking,control,-1,-15.5790,1.0525
giraffe,breaking,halter,-1,-15.9230,1.0701
giraffe,breaking,pointer,-1,-17.4360,0.9918
giraffe,breaking,step,-1,-15.2420,0.8266
giraffe,breathing,fire,-1,-14.1650,0.9756
giraffe,bringing,nail,-1,-15.9840,1.1847
giraffe,burying,snow,-1,-17.3580,0.9703
giraffe,buzzing,flower,-1,-16.8440,1.0947
