Subject,Verb,Object,Label,MSRLM Score,VisKE Score
horse,according,bruce,-1,-14.5890,0.9926
horse,acting,lord,-1,-13.9460,1.0667
horse,acting,manner,-1,-14.5490,0.9540
horse,adorning,ribbon,-1,-16.2780,1.0583
horse,affecting,disease,-1,-13.9210,1.0008
horse,atoning,guilt,-1,-16.1530,0.8126
horse,attaching,cuff,-1,-15.0570,1.0864
horse,barking,cat,-1,-12.7130,1.0782
horse,barking,house,-1,-13.1730,0.6255
horse,basking,shark,-1,-12.6740,1.0443
horse,bearing,tattoo,-1,-15.2510,1.0456
horse,beating,unicorn,-1,-15.5170,1.0130
horse,becoming,companion,-1,-80.0500,0.9228
horse,becoming,prince,-1,-79.2030,1.0592
horse,belonging,cat,-1,-15.4840,1.1160
horse,belonging,family,-1,-13.5170,1.1161
horse,belonging,genu,-1,-18.2800,1.0010
horse,belonging,sir,-1,-15.0200,1.0604
horse,biting,leg,1,-13.3720,0.8290
horse,bitting,child,-1,-14.1070,1.1116
horse,bitting,dog,-1,-13.1180,1.1079
horse,bitting,horse,-1,-10.1660,1.0877
horse,bitting,somebody,-1,-15.5980,1.0238
horse,bitting,someone,-1,-13.3450,1.1295
horse,blowing,conch,-1,-13.1880,1.0808
horse,breathing,air,-1,-11.3890,1.0322
horse,brooding,chicken,-1,-14.6520,1.1433
horse,burrowing,log,-1,-16.3380,1.0636
horse,bursting,ear,-1,-14.8350,1.0053
horse,catching,frisbee,1,-13.9930,1.0720
horse,causing,ewe,-1,-16.3330,1.1129
horse,changing,stripe,-1,-14.9350,0.9649
horse,chasing,gazelle,-1,-13.7420,1.1528
horse,chasing,man,1,-12.9440,0.9750
horse,checking,veterinarian,-1,-16.4130,1.0452
horse,chewing,tobacco,-1,-10.0930,0.7786
horse,chewing,toy,-1,-12.8580,1.0959
horse,choosing,mate,-1,-14.7410,1.0517
horse,coiling,neck,-1,-17.0020,1.0711
horse,collecting,nectar,-1,-12.7060,1.1432
horse,collecting,tubule,-1,-12.3560,0.9778
horse,committing,care,-1,-17.1740,1.0886
horse,competing,field,-1,-13.7390,1.1192
horse,cooking,chicken,-1,-12.9800,0.9541
horse,covering,eye,-1,-13.8630,0.9613
horse,cracking,nut,-1,-14.8090,0.9841
