Subject,Verb,Object,Label,MSRLM Score,VisKE Score
lion,accepting,tom,-1,-15.9390,1.0159
lion,according,bruce,-1,-15.1240,1.0550
lion,according,custom,-1,-14.9240,1.0258
lion,acting,lord,-1,-14.5910,1.0235
lion,acting,manner,-1,-15.1940,0.9991
lion,adorning,ribbon,-1,-16.2740,0.9696
lion,affecting,disease,-1,-14.6350,1.0525
lion,approaching,trot,-1,-16.1940,0.8473
lion,arming,greek,-1,-17.2320,0.9858
lion,atoning,guilt,-1,-16.5280,0.8784
lion,attaching,cuff,-1,-15.7440,1.0399
lion,attaching,end,-1,-14.4230,0.9549
lion,attacking,lion,1,-10.9730,1.1032
lion,attuning,spirit,-1,-18.4280,1.0595
lion,baring,tooth,1,-16.1910,1.1591
lion,barking,background,-1,-14.7170,0.8040
lion,barking,cat,-1,-12.4810,1.1749
lion,barking,night,-1,-14.3630,1.0694
lion,barking,stranger,-1,-15.9520,0.8740
lion,barking,way,-1,-14.0710,0.9856
lion,basking,shark,-1,-11.7860,1.0032
lion,bearding,seal,-1,-18.2970,1.1296
lion,bearing,tattoo,-1,-15.6300,1.1035
lion,beating,jungle,-1,-15.3940,0.9192
lion,becoming,child,-1,-14.1470,1.0695
lion,becoming,part,-1,-12.0830,0.8732
lion,becoming,symbol,-1,-14.9930,1.0698
lion,belonging,bill,-1,-16.1730,0.7866
lion,belonging,cat,-1,-16.3870,1.0994
lion,belonging,genu,-1,-19.1830,0.8701
lion,belonging,harrier,-1,-18.3300,0.7220
lion,biting,case,-1,-13.7440,1.0640
lion,biting,cat,-1,-13.2090,1.1739
lion,biting,child,1,-13.0940,1.1485
lion,biting,dog,-1,-12.0620,1.1353
lion,biting,fly,-1,-12.4650,1.1221
lion,biting,injury,-1,-14.1160,1.1463
lion,biting,leg,1,-13.7790,1.1510
lion,biting,prevention,-1,-13.8690,1.1750
lion,biting,prey,1,-13.9760,1.2305
lion,bitting,cat,-1,-17.1080,1.1781
lion,bitting,child,-1,-16.5470,1.1959
lion,bitting,dog,-1,-15.5580,1.1743
lion,bitting,horse,-1,-15.4140,1.1653
lion,bitting,mouse,-1,-17.5040,0.9815
lion,bitting,somebody,-1,-18.0380,1.0348
lion,bitting,someone,-1,-15.7850,1.1922
lion,blooming,water,-1,-13.5320,1.0346
lion,breaking,halter,-1,-14.7880,0.9415
lion,breaking,pointer,-1,-16.3010,0.7158
lion,breathing,air,-1,-11.8760,1.0417
lion,breeding,establishment,-1,-12.7620,1.1209
lion,bringing,blood,-1,-13.6040,1.1619
lion,bringing,nail,-1,-15.0580,1.1044
lion,brooding,chicken,-1,-15.0270,1.0517
lion,building,fire,-1,-11.9200,0.7097
lion,burrowing,log,-1,-16.7130,1.0107
lion,bursting,screen,-1,-15.4950,0.9088
lion,bursting,sunlight,-1,-15.5120,1.0555
lion,burying,snow,-1,-16.3550,1.0511
lion,caparisoning,cloth,-1,-20.1610,0.9360
lion,caparisoning,gold,-1,-19.2030,0.9929
lion,carrying,basket,-1,-13.2430,0.9653
lion,carrying,choice,-1,-15.0280,1.0180
lion,carrying,head,-1,-14.1610,1.0419
lion,carrying,house,-1,-14.3920,0.9769
lion,carrying,pollen,-1,-13.7550,1.0429
lion,carrying,roll,-1,-14.4360,1.0318
lion,carrying,sword,-1,-14.4940,0.9675
lion,carrying,whip,-1,-15.3130,1.0765
lion,casing,steel,-1,-13.7680,0.8864
lion,catching,ball,-1,-13.5370,0.7823
lion,catching,frisbee,-1,-14.3240,0.5365
lion,catching,salmon,-1,-13.0920,0.6253
lion,changing,hand,-1,-14.0370,0.9231
lion,changing,stripe,-1,-15.5480,0.8582
lion,charging,cavalry,-1,-13.7450,1.0882
lion,charging,home,-1,-13.1040,1.0470
lion,chasing,car,1,-12.6920,1.1162
lion,chasing,cat,-1,-12.7800,1.1941
lion,chasing,gazelle,1,-13.6130,1.1825
lion,chasing,mouse,-1,-13.2270,1.1443
lion,chasing,prey,1,-12.4720,1.1952
lion,checking,veterinarian,-1,-16.9700,1.0750
lion,chewing,tobacco,-1,-11.7290,0.7302
lion,chewing,toy,-1,-13.8430,1.1638
lion,choosing,tree,-1,-15.4220,1.0291
lion,clapping,hand,-1,-13.6600,0.8545
lion,clasping,hand,-1,-13.1430,1.0209
lion,cleaning,boot,-1,-15.1860,0.8336
lion,climbing,hill,1,-12.9830,0.9938
lion,clinging,mother,1,-14.7690,1.1487
lion,closing,mouth,1,-14.2150,0.8335
lion,coating,iron,-1,-14.6100,0.9975
lion,coiling,neck,-1,-17.3770,0.9824
lion,collecting,honey,-1,-14.5920,0.9673
lion,collecting,nectar,-1,-14.4380,1.1640
lion,collecting,tubule,-1,-14.0880,0.8722
lion,commanding,captain,-1,-13.9490,0.9072
lion,commanding,colonel,-1,-14.0820,0.8937
lion,commanding,major,-1,-13.8160,0.9071
lion,commanding,sir,-1,-14.8170,0.9480
lion,commenting,judge,-1,-16.5310,1.1207
lion,comparing,heart,-1,-14.9710,1.0341
lion,compressing,lip,-1,-17.6200,0.9743
lion,cooking,chicken,-1,-13.6310,1.1424
lion,costing,pistol,-1,-16.7950,1.0242
lion,covering,eye,1,-14.4540,1.0902
lion,covering,face,1,-13.8260,1.0702
lion,cradling,arm,-1,-15.6530,0.9325
lion,crushing,prey,1,-14.5140,1.0035
lion,dancing,rope,-1,-13.5390,1.0085
lion,dazzling,girl,-1,-13.8510,1.0154
lion,depriving,calf,-1,-18.2250,1.0339
