Subject,Verb,Object,Label,MSRLM Score,VisKE Score
panda,according,custom,-1,-15.8530,1.1094
panda,acting,lord,-1,-15.3390,1.0715
panda,acting,manner,-1,-15.9420,0.9522
panda,adding,faith,-1,-15.9650,1.0111
panda,adorning,ribbon,-1,-18.3370,1.0430
panda,affecting,disease,-1,-14.6170,1.0738
panda,annoying,country,-1,-15.5500,1.0423
panda,approaching,trot,-1,-17.5100,1.0058
panda,arming,greek,-1,-17.6570,0.8412
panda,arresting,attention,-1,-15.5530,1.1353
panda,assembling,person,-1,-16.3460,1.0735
panda,assuming,suit,-1,-17.0210,0.9825
panda,atoning,guilt,-1,-16.9530,0.8050
panda,attaching,buggy,-1,-17.9570,1.0662
panda,attaching,cuff,-1,-16.3010,1.0800
panda,attaching,end,-1,-14.9800,1.0788
panda,attacking,horse,-1,-15.0240,1.1008
panda,attacking,lion,-1,-12.5270,1.0817
panda,attuning,spirit,-1,-18.8530,0.9479
panda,banding,program,-1,-14.6390,1.1409
panda,baring,tooth,1,-17.9630,1.1915
panda,barking,cat,-1,-13.6300,0.8676
panda,barking,house,-1,-14.0900,1.0200
panda,barking,night,-1,-15.5120,1.0961
panda,barking,squirrel,-1,-14.1660,1.0764
panda,barking,stranger,-1,-17.1010,1.0028
panda,barking,way,-1,-15.2200,1.0034
panda,basking,shark,-1,-13.4740,1.0775
panda,bearding,seal,-1,-18.7220,1.1034
panda,bearing,tattoo,-1,-16.6470,1.0650
panda,bearing,weight,-1,-14.0840,1.0788
panda,beating,jungle,-1,-16.0120,0.9864
panda,beating,unicorn,-1,-17.3810,1.0111
panda,becoming,apollo,-1,-16.6670,1.0608
panda,becoming,child,-1,-14.8120,1.1662
panda,becoming,companion,-1,-16.1480,1.1114
panda,becoming,part,-1,-12.7480,1.1346
panda,becoming,prince,-1,-15.3010,1.0863
panda,becoming,symbol,-1,-15.6580,1.0785
panda,belonging,bill,-1,-16.7140,0.8192
panda,belonging,cat,-1,-16.9280,1.1099
panda,belonging,family,-1,-14.9610,1.1132
panda,belonging,sir,-1,-16.4640,0.8794
panda,bending,mace,-1,-18.0160,0.7359
panda,bending,neck,1,-14.9150,1.0254
panda,biting,case,-1,-15.5750,1.1016
panda,biting,child,1,-14.9250,1.1668
panda,biting,companion,-1,-17.5320,1.0262
panda,biting,dog,-1,-13.8930,1.1477
panda,biting,fly,-1,-14.2960,0.9993
panda,biting,injury,-1,-15.9470,0.9776
panda,biting,leg,1,-15.6100,1.1341
panda,biting,prevention,-1,-15.7000,1.1100
panda,biting,prey,-1,-15.8070,1.1569
panda,biting,statute,-1,-17.6080,0.9667
panda,bitting,cat,-1,-17.5330,1.1227
panda,bitting,child,-1,-16.9720,1.1719
panda,bitting,dog,-1,-15.9830,1.1408
panda,bitting,horse,-1,-15.8390,1.1338
panda,bitting,mouse,-1,-17.9290,1.1072
panda,bitting,somebody,-1,-18.4630,1.1088
panda,bitting,someone,-1,-16.2100,1.1722
panda,blooming,water,-1,-14.2820,1.0031
panda,blowing,conch,-1,-14.9910,1.1037
panda,breaking,arm,1,-14.6600,1.1466
panda,breaking,canter,-1,-16.5820,0.8349
panda,breaking,control,-1,-14.7850,1.0699
panda,breaking,wheel,-1,-14.1240,1.1862
panda,breathing,air,-1,-12.8400,1.1185
panda,breathing,fire,-1,-13.5870,1.0880
panda,breeding,establishment,-1,-12.1820,1.1485
panda,bringing,arm,-1,-15.8600,0.9849
panda,bringing,blood,-1,-14.4970,1.0308
panda,bringing,nail,-1,-15.9510,1.1918
panda,building,nest,1,-14.4070,0.9090
panda,bursting,ear,-1,-16.3190,1.0264
panda,burying,snow,-1,-16.7800,1.1836
panda,buzzing,flower,-1,-16.2660,1.1104
panda,carrying,basket,-1,-13.8880,0.9949
panda,carrying,choice,-1,-15.6730,1.0987
panda,carrying,head,-1,-14.8060,1.1496
panda,carrying,heart,-1,-14.7840,1.1115
panda,carrying,house,-1,-15.0370,1.0505
panda,carrying,man,-1,-14.1230,1.0035
panda,carrying,pollen,-1,-14.4000,1.0631
panda,carrying,roll,-1,-15.0810,1.0171
panda,carrying,sword,-1,-15.1390,0.8998
panda,carrying,whip,-1,-15.9580,1.0093
panda,casing,steel,-1,-14.1930,1.1875
panda,catching,ball,-1,-14.6550,1.0788
panda,catching,frisbee,-1,-15.4420,1.0364
panda,catching,salmon,-1,-14.2100,0.9094
panda,changing,color,-1,-13.3620,1.0655
panda,changing,hand,-1,-14.6400,1.0798
panda,changing,stripe,-1,-16.1510,1.0389
panda,charging,bear,-1,-14.3990,1.1159
panda,charging,cavalry,-1,-14.9190,0.9677
panda,charging,home,-1,-14.2780,1.1225
panda,chasing,cat,-1,-14.0530,1.1024
panda,chasing,gazelle,-1,-14.8860,0.7638
panda,chasing,man,-1,-14.0880,1.0957
panda,chasing,mouse,-1,-14.5000,1.0883
panda,chasing,prey,-1,-13.7450,1.1051
panda,checking,veterinarian,-1,-17.8700,1.1899
panda,chewing,tobacco,-1,-11.5740,0.9260
panda,chewing,toy,-1,-13.6880,1.1784
panda,choosing,mate,-1,-15.8470,1.1677
panda,choosing,tree,-1,-15.4200,1.0347
panda,clapping,hand,-1,-15.0050,0.9585
panda,clasping,hand,-1,-15.2480,1.0691
panda,cleaning,boot,-1,-15.3760,0.8637
panda,climbing,hill,1,-12.5980,0.9802
panda,clinging,mother,1,-14.8770,1.1757
panda,closing,mouth,1,-15.3540,1.1208
