Subject,Verb,Object,Label,MSRLM Score,VisKE Score
rabbit,accepting,tom,-1,-15.8480,1.0076
rabbit,according,bruce,-1,-15.1870,1.0563
rabbit,according,custom,-1,-14.9870,1.0247
rabbit,acting,lord,-1,-14.5830,1.0775
rabbit,adorning,ribbon,-1,-18.1250,1.1048
rabbit,affecting,disease,-1,-14.4050,1.1218
rabbit,annoying,country,-1,-15.4040,1.0549
rabbit,appointing,meat,-1,-17.1880,0.9185
rabbit,arresting,attention,-1,-15.3410,0.8712
rabbit,assuming,suit,-1,-16.2900,0.9493
rabbit,atoning,guilt,-1,-16.7410,0.9430
rabbit,attaching,buggy,-1,-17.7450,1.0151
rabbit,attaching,cuff,-1,-16.0890,1.0219
rabbit,attacking,lion,-1,-11.8380,1.1095
rabbit,baring,tooth,-1,-17.7510,1.1251
rabbit,barking,background,-1,-15.3780,0.9983
rabbit,barking,cat,-1,-13.1420,1.1496
rabbit,barking,house,-1,-13.6020,0.8496
rabbit,barking,stranger,-1,-16.6130,1.0225
rabbit,barking,way,-1,-14.7320,1.0624
rabbit,bearding,seal,-1,-18.5100,0.9031
rabbit,bearing,tattoo,-1,-15.9150,1.0500
rabbit,bearing,weight,-1,-13.3520,0.9938
rabbit,beating,unicorn,-1,-16.5250,1.0012
rabbit,becoming,apollo,-1,-16.0270,0.9478
rabbit,becoming,child,-1,-14.1720,0.9971
rabbit,becoming,companion,-1,-15.5080,1.0777
rabbit,becoming,part,-1,-12.1080,1.0414
rabbit,becoming,symbol,-1,-15.0180,0.9851
rabbit,belonging,bill,-1,-16.7010,0.9399
rabbit,belonging,family,-1,-14.9480,1.1072
rabbit,belonging,genu,-1,-19.7110,1.0423
rabbit,belonging,sir,-1,-16.4510,0.9936
rabbit,bending,neck,-1,-14.7030,1.0735
rabbit,biting,case,-1,-13.7790,1.1391
rabbit,biting,cat,-1,-13.2440,1.1804
rabbit,biting,child,1,-13.1290,1.1436
rabbit,biting,companion,-1,-15.7360,1.1545
rabbit,biting,dog,-1,-12.0970,1.1807
rabbit,biting,injury,-1,-14.1510,1.0766
rabbit,biting,leg,1,-13.8140,1.1585
rabbit,biting,prevention,-1,-13.9040,1.1378
rabbit,bitting,cat,-1,-17.3210,1.1347
rabbit,bitting,child,-1,-16.7600,1.1365
rabbit,bitting,dog,-1,-15.7710,1.1502
rabbit,bitting,horse,-1,-15.6270,1.1053
rabbit,bitting,mouse,-1,-17.7170,1.0724
rabbit,bitting,somebody,-1,-18.2510,1.0708
rabbit,blowing,conch,-1,-14.2090,1.0961
rabbit,breaking,arm,-1,-14.5460,0.9578
rabbit,breaking,halter,-1,-15.0150,0.8916
rabbit,breaking,step,-1,-14.3340,1.0525
rabbit,breaking,wheel,-1,-14.0100,0.8358
rabbit,breathing,air,-1,-11.7260,0.9789
rabbit,breathing,fire,-1,-12.4730,1.0824
rabbit,bringing,nail,-1,-15.3530,1.1229
rabbit,building,hut,-1,-14.8740,0.6265
rabbit,building,nest,1,-14.0540,1.1652
rabbit,burrowing,log,1,-14.4050,1.0501
rabbit,bursting,ear,-1,-16.1070,1.0841
rabbit,bursting,screen,-1,-16.5330,0.8597
rabbit,caparisoning,cloth,-1,-20.3740,0.9814
rabbit,caparisoning,gold,-1,-19.4160,0.9321
rabbit,carrying,basket,-1,-10.5220,1.1494
rabbit,carrying,choice,-1,-14.9110,1.0274
rabbit,carrying,head,-1,-14.0440,1.0104
rabbit,carrying,heart,-1,-14.0220,1.1402
rabbit,carrying,piece,-1,-14.3940,0.9245
rabbit,carrying,sword,-1,-14.3770,0.9235
rabbit,casing,steel,-1,-13.9070,1.0455
rabbit,catching,frisbee,-1,-14.0010,0.8444
rabbit,catching,mouse,-1,-13.9240,0.9807
rabbit,catching,salmon,-1,-12.7690,0.7689
rabbit,causing,ewe,-1,-17.1590,1.1201
rabbit,changing,hand,-1,-14.1800,1.0892
rabbit,changing,stripe,-1,-15.6910,1.0382
rabbit,charging,cavalry,-1,-14.9490,1.1138
rabbit,charging,home,-1,-14.3080,1.1264
rabbit,chasing,cat,1,-12.7510,1.1156
rabbit,chasing,mouse,-1,-13.1980,1.0074
rabbit,checking,veterinarian,-1,-16.9880,1.0663
rabbit,chewing,tobacco,-1,-10.7510,1.0491
rabbit,chewing,toy,-1,-12.8650,1.0751
rabbit,choosing,tree,-1,-15.1310,0.8414
rabbit,clapping,hand,-1,-14.7930,0.9358
rabbit,clasping,hand,-1,-15.0360,0.9681
rabbit,cleaning,boot,-1,-14.7460,1.0666
