Subject,Verb,Object,Label,MSRLM Score,VisKE Score
sheep,according,bruce,-1,-80.3770,0.9194
sheep,according,custom,-1,-80.1770,0.8749
sheep,acting,lord,-1,-14.6470,1.0128
sheep,adorning,ribbon,-1,-16.7300,0.9340
sheep,attaching,cuff,-1,-16.0790,1.0019
sheep,attaching,end,-1,-14.7580,0.9340
sheep,baring,tooth,-1,-17.7410,1.1498
sheep,barking,cat,-1,-12.7530,0.9830
sheep,barking,night,-1,-14.6350,1.1250
sheep,barking,squirrel,-1,-13.2890,1.0303
sheep,barking,stranger,-1,-16.2240,1.0576
sheep,basking,shark,-1,-12.1960,0.7890
sheep,bearding,seal,-1,-18.5000,0.8899
sheep,bearing,tattoo,-1,-15.8830,0.8826
sheep,becoming,part,-1,-11.8390,0.9714
sheep,becoming,symbol,-1,-14.7490,0.9889
sheep,belonging,cat,-1,-15.5590,1.0853
sheep,belonging,family,-1,-13.5920,1.1670
sheep,bending,neck,-1,-14.5270,1.1050
sheep,biting,cat,-1,-12.8000,1.1745
sheep,biting,child,1,-12.6850,1.0495
sheep,biting,injury,-1,-13.7070,1.0172
sheep,biting,prey,-1,-13.5670,1.1853
sheep,biting,serum,-1,-15.3020,0.9685
sheep,biting,statute,-1,-15.3680,0.8623
sheep,bitting,dog,-1,-15.7610,1.0661
sheep,bitting,horse,-1,-15.6170,0.9999
sheep,bitting,someone,-1,-15.9880,0.8738
sheep,blooming,water,-1,-14.0600,0.8036
sheep,breaking,arm,-1,-14.4660,0.8308
sheep,breaking,halter,-1,-14.9350,1.0625
sheep,breathing,fire,-1,-13.0330,1.0023
sheep,breeding,establishment,-1,-11.5980,1.0623
sheep,brooding,chicken,-1,-15.2300,1.0101
sheep,buzzing,flower,-1,-16.0440,1.0106
sheep,catching,ball,-1,-13.6260,0.7461
sheep,causing,ewe,-1,-16.5050,1.2125
sheep,changing,stripe,-1,-15.5700,0.5909
sheep,charging,bear,-1,-13.9080,1.1097
sheep,charging,cavalry,-1,-14.4280,0.9129
sheep,chasing,gazelle,-1,-79.4270,1.1154
sheep,chasing,prey,-1,-78.2860,1.0189
sheep,chewing,tobacco,-1,-11.0150,1.0151
sheep,chewing,toy,-1,-13.1290,1.2267
sheep,choosing,mate,-1,-15.2960,1.1566
sheep,clasping,hand,-1,-15.0260,0.9823
sheep,cleaning,boot,-1,-15.1770,0.8878
sheep,collecting,nectar,-1,-13.5580,0.9497
sheep,commanding,colonel,-1,-14.8550,0.9651
sheep,commanding,lieutenant,-1,-14.8060,0.9107
sheep,commenting,judge,-1,-16.6480,1.1116
sheep,competing,field,-1,-14.7290,0.7047
sheep,compressing,lip,-1,-17.8230,0.9247
sheep,cooking,chicken,-1,-13.0600,0.9598
sheep,counting,month,-1,-14.0980,1.0836
sheep,covering,eye,-1,-14.3710,1.0447
sheep,covering,face,-1,-13.7430,0.9117
sheep,cracking,nut,-1,-15.3580,1.0191
sheep,crawling,sofa,-1,-16.3170,0.7131
sheep,crossing,current,-1,-13.1230,1.0818
sheep,crossing,river,1,-12.3450,1.0006
sheep,cutting,air,-1,-13.3520,0.9182
sheep,darting,front,-1,-16.0720,0.7312
sheep,descending,colon,-1,-12.4760,0.8887
sheep,disquieting,dreamer,-1,-19.1350,0.7094
sheep,drawing,bow,-1,-13.7170,0.9074
sheep,drawing,car,-1,-13.5050,1.0923
sheep,drawing,cart,-1,-14.7470,1.1808
sheep,drawing,hat,-1,-14.6950,1.0941
sheep,drawing,ox,-1,-15.1830,0.9764
sheep,drawing,sleigh,-1,-15.9630,1.0640
sheep,drawing,swarm,-1,-16.0500,1.0393
sheep,drawing,train,-1,-14.3550,0.9755
sheep,drawing,transportation,-1,-14.7150,1.0632
sheep,drawing,vehicle,-1,-13.3580,1.0228
sheep,dressing,lady,-1,-14.1770,1.1086
sheep,dressing,red,-1,-12.6540,1.0349
sheep,drinking,ale,-1,-13.4080,0.9982
sheep,drinking,milk,1,-11.9430,1.0948
sheep,driving,north,-1,-12.7510,0.8309
sheep,dropping,shoe,-1,-14.9770,1.0678
sheep,dunging,cake,-1,-18.9200,0.5170
sheep,eating,apple,1,-12.4470,1.1506
sheep,eating,carrot,1,-13.2540,1.1073
sheep,eating,cat,-1,-12.6120,1.1483
sheep,eating,corn,1,-12.5170,1.0596
sheep,eating,eagle,-1,-13.1440,0.9078
sheep,eating,fish,-1,-11.6110,1.0130
sheep,eating,grass,1,-9.4610,1.2201
sheep,eating,hay,1,-10.7940,1.2055
sheep,eating,icecream,-1,-13.2340,1.0181
sheep,eating,piece,-1,-13.8260,1.2093
sheep,eating,rabbit,-1,-13.1340,1.1895
sheep,emerging,pupa,-1,-15.6070,0.9856
sheep,entering,flower,-1,-14.9510,0.8955
sheep,falling,ankle,-1,-15.0480,0.7230
sheep,falling,hand,-1,-13.8970,0.8143
sheep,fastening,cord,-1,-15.0340,0.8466
sheep,feeing,bark,-1,-18.9900,1.0791
sheep,feeing,cat,-1,-17.7950,1.1340
sheep,feeing,kitten,-1,-19.0050,1.1247
sheep,fighting,bull,-1,-12.7690,1.1268
sheep,filling,jaw,1,-15.6200,1.1666
sheep,finding,companion,-1,-15.0990,0.9586
sheep,flapping,wing,-1,-13.4870,0.7956
sheep,fluttering,nest,-1,-18.1180,0.9211
sheep,flying,fish,-1,-11.6410,0.7426
sheep,flying,front,-1,-14.0060,0.8353
sheep,flying,house,-1,-13.0090,0.8008
sheep,flying,sky,-1,-13.0810,0.8036
sheep,foaling,calf,-1,-16.2970,0.7333
sheep,foaming,mouth,1,-14.6320,0.9257
sheep,following,cook,-1,-13.8570,1.1717
sheep,following,lesion,-1,-14.4250,1.0444
sheep,following,nose,-1,-14.3880,1.1404
sheep,frightening,tiger,-1,-16.4210,0.9808
sheep,frothing,mouth,1,-15.3600,1.0484
sheep,galloping,field,-1,-14.2030,0.8483
sheep,gathering,honey,-1,-12.8640,0.8273
sheep,gathering,nectar,-1,-12.7200,1.0413
sheep,gathering,pollen,-1,-12.7920,0.6085
sheep,gelding,mare,-1,-13.5650,0.9319
sheep,geting,cream,-1,-17.2150,1.0384
sheep,geting,fight,-1,-17.3670,0.9684
sheep,geting,nose,-1,-17.7430,1.1969
sheep,geting,scent,-1,-18.2460,1.0231
sheep,geting,tongue,-1,-17.8490,1.1763
sheep,getting,head,-1,-12.5690,1.1727
sheep,getting,nose,-1,-13.9250,1.1753
sheep,giving,breed,-1,-15.4170,1.1959
sheep,giving,food,-1,-12.8580,1.0771
sheep,giving,horse,-1,-13.8230,1.1570
sheep,giving,master,-1,-13.9940,0.9985
sheep,giving,word,-1,-13.6990,0.8699
sheep,glittering,spout,-1,-18.3760,0.9565
sheep,going,fox,-1,-14.2930,0.9191
sheep,going,nut,-1,-14.1870,1.1494
sheep,grazing,skirt,-1,-11.4500,0.9963
sheep,grooming,service,-1,-12.3710,1.0083
sheep,grooming,tool,-1,-12.6210,0.9452
sheep,guarding,bone,-1,-14.7030,1.0429
sheep,guarding,sheep,-1,-12.6620,1.0824
sheep,hanging,branch,-1,-13.2710,1.0168
sheep,hanging,chain,-1,-12.4830,1.0088
sheep,hanging,milk,-1,-14.1950,1.0699
sheep,hanging,nest,-1,-13.8460,1.0019
sheep,hanging,tail,-1,-14.1090,1.1885
